stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
APRICENA;2013;1;0.2;0;0.2;1;0;0.6;0;0;0;14.8;0;50.4
APRICENA;2013;2;0;0.6;1.6;4;0.2;0.2;0;0;0;0;0;1.2
APRICENA;2013;3;0;6.2;0;9.2;0.2;0.4;0;0;0;0;0;0
APRICENA;2013;4;0;0;0.2;0;0;1.4;3.8;0;0;0;0;0
APRICENA;2013;5;0;0;1.6;1.2;4.4;0;0;0;0;6.8;21.4;0.2
APRICENA;2013;6;0;2.2;1;0;5;0;0;0;0;1.4;0.2;0.2
APRICENA;2013;7;0;0.2;1;0;0;0;0;0;0;0;0;1.6
APRICENA;2013;8;0;1.8;1.2;0;0;0;0;0;0;13.6;0;0
APRICENA;2013;9;0;0;0;0;0.2;0;0;25;5.2;0.2;0.2;0
APRICENA;2013;10;0.2;0.4;4.4;0;0;0;0;0.2;8;0.2;3.8;0.2
APRICENA;2013;11;6.6;0.2;0.4;0;24.8;0;0;0;0;0;8.6;0
APRICENA;2013;12;11.6;8.2;2.8;0;0.2;0;0;0;0.4;1;29.8;0
APRICENA;2013;13;0;1.2;2.4;0;8.2;0;0;0;0;0.2;5.4;0
APRICENA;2013;14;0.8;0.2;9.2;0;0;0;9.6;0;0;0;21.2;0.4
APRICENA;2013;15;0;4.2;0.2;0;0;0;0;0;0;0;0.2;6.6
APRICENA;2013;16;0.2;3.2;0;0;0.6;0;0;0;8;0;0;0
APRICENA;2013;17;4.6;0;0;0;0;0;0;0;0.4;0;1.2;0
APRICENA;2013;18;0;5.8;0;0;0;0;0;0;0;0;0.4;0.2
APRICENA;2013;19;0.2;0.2;0;0;0;0;0;0;0;0;13.6;0
APRICENA;2013;20;0.2;0.2;2.6;0;0;0;0;1.4;0;0;1;0.2
APRICENA;2013;21;1.4;0;0.6;0.4;2.6;0;0;0;0;0;0;0.2
APRICENA;2013;22;0;0.6;0;1.6;9.4;0;0;0;0;0.2;3;0.4
APRICENA;2013;23;3.8;4.6;0;0;51.6;0;0;0;0;0.2;1.4;0
APRICENA;2013;24;0.6;0.4;0;0;0.2;3.6;0;0;0;0.2;0;0.2
APRICENA;2013;25;0.6;0;6.8;0.2;0;0;0;1;0;0;19.2;0
APRICENA;2013;26;0;0;3.2;0;0;0;0;0;0;0.2;12;8.2
APRICENA;2013;27;0.2;0;0.2;6.2;0;0;0;7;0;0;2.6;22
APRICENA;2013;28;0.2;0.2;0.2;0;0;0.2;0;0.4;0;0.2;0.2;0.2
APRICENA;2013;29;4.6;NA;0;0;0;0.4;0;0;5.2;0.2;0.2;0
APRICENA;2013;30;0.2;NA;0;0;0;0.2;0;0;28.2;0.2;2;0.4
APRICENA;2013;31;0;NA;0.4;NA;0;NA;0;0;NA;0;NA;20
