stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BARI (Politecnico);2013;1;0;0;0;0.4;0;8.6;0;0;0;13;0;55.2
BARI (Politecnico);2013;2;0;0;0.8;0.6;0;1.4;0;0;0;0;0;6
BARI (Politecnico);2013;3;0;0.6;0;4.4;0;0;0;0;0;0;0;0.2
BARI (Politecnico);2013;4;0;0;0;0;0;2;0;0;0;0;0;0
BARI (Politecnico);2013;5;0;0;0;0;0.2;0;0;0;0;2.2;7.4;0
BARI (Politecnico);2013;6;0;0.4;1;0;0.4;0;0;0;0;0.4;0.6;0
BARI (Politecnico);2013;7;0.2;0;1.4;0;0;0;0;0;0;1.6;0;0
BARI (Politecnico);2013;8;0;3.2;0.2;0;0.2;0;0;0;0;0;0;0
BARI (Politecnico);2013;9;0;4;0;0;0;0;0;0;0;0;0;0
BARI (Politecnico);2013;10;4.6;0;0.8;0;0;1;0;3.6;0.6;0;0.2;0
BARI (Politecnico);2013;11;0;0;3;0;0.8;0;0;0;1.6;0;23.6;0
BARI (Politecnico);2013;12;2.6;1.8;3;0;0;0;0;0;5.4;1.2;46;0
BARI (Politecnico);2013;13;0;6.4;0.4;0;1.6;0;0;0;0;0;6.4;0
BARI (Politecnico);2013;14;0;20.8;13.2;0;0;0;1.6;0;0;0;0.4;0
BARI (Politecnico);2013;15;9.8;0;0;0;0;0;0;0;0;0;0.2;0
BARI (Politecnico);2013;16;0;2.2;0;0;0;0;0;0;0;6.6;1;0
BARI (Politecnico);2013;17;8;0;0;0;2.2;0;0;0;0;0;0.4;0
BARI (Politecnico);2013;18;0.4;1;9.8;0;0;0;0;0;0;0;0;0
BARI (Politecnico);2013;19;0.2;0.2;0;0;0;0;0;0;0;0;9.4;0
BARI (Politecnico);2013;20;4;0;3.2;0;0;0;0;0;1.8;0;0;0
BARI (Politecnico);2013;21;0;2.8;6.6;2.8;0.2;0;0;0;0;0;0.6;0
BARI (Politecnico);2013;22;0;0;0;13.2;7.4;0;0;0;0;0;0.2;0
BARI (Politecnico);2013;23;2.2;0.2;0;0.2;5.8;0;0;0;0;0;0.4;0
BARI (Politecnico);2013;24;3.8;4.4;0;0;0;0;0;0;0;0;0.8;0
BARI (Politecnico);2013;25;0.6;0;12.6;0;0.4;0;0;0.4;0;0;9.6;0
BARI (Politecnico);2013;26;0;0;1.8;0;0;0;0;0;0;0;20;11.8
BARI (Politecnico);2013;27;0;1.2;0.2;0.4;0;0;0;26.8;0;0;1.6;2.2
BARI (Politecnico);2013;28;0.2;0;0;0;0;0.2;0;0.2;0;0;0;0
BARI (Politecnico);2013;29;0.6;NA;5.6;0;0;8;0;0;0;0;0;0
BARI (Politecnico);2013;30;0;NA;0;0;0;0.2;0;0;22.2;0;16.8;0
BARI (Politecnico);2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;4.6
