stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BARLETTA;2013;1;0;0;0;0.6;0;11.2;0;0;0;0;0;102.4
BARLETTA;2013;2;0;0;5;1;0;0;0;0;0;0;0;6.8
BARLETTA;2013;3;0;2.4;0;2;0;0;0;0;0;0;0;0.8
BARLETTA;2013;4;0;0;0;0;0;2.2;0;0;0;0;0;0
BARLETTA;2013;5;0;0;0.2;0.2;2;0;0;0;0;1.2;7.8;0
BARLETTA;2013;6;0;0;1.6;0;21.2;0;0;0;0;1;0.2;0
BARLETTA;2013;7;0;0;11.8;0;0;0;0;0;0;2;0;0.4
BARLETTA;2013;8;0;2.8;1.2;0;0;0;0;0;0;0.8;0;0
BARLETTA;2013;9;0;6.6;0;0;0;0;0;2.6;2;0;0;0
BARLETTA;2013;10;0.4;0;1;0;0;0;0;2.8;4;0;0.2;0.2
BARLETTA;2013;11;0;0.4;3;0;0;0;0;0;3.4;0;13.4;0
BARLETTA;2013;12;0.4;0.8;3.6;0;3.4;0;0;0;8;5.8;23.8;0
BARLETTA;2013;13;0;3.6;4.2;0;3.4;0;0;0;0;0;1;0
BARLETTA;2013;14;0.8;1.4;8.8;0;0;0;1.4;0;0;0;0;0
BARLETTA;2013;15;0.6;0;2;0;0;0;0;0;0;0;4.4;0
BARLETTA;2013;16;0.2;2.8;0;0;5.6;0;0;0;0;5.2;0;0
BARLETTA;2013;17;2.4;0;0;0;0;0;0;0;0.2;0;0.2;0
BARLETTA;2013;18;0.2;9;1.2;0;0;0;0;0;0;0;1;0
BARLETTA;2013;19;0.8;0;0;0;0;0;0;0;0;0;3;0
BARLETTA;2013;20;0;0;2.4;0;0;0;0;7.4;10.6;0;0.4;0
BARLETTA;2013;21;0;2;2.6;7.2;0.2;0;0;0;0;0;4.2;0
BARLETTA;2013;22;0;0.2;0;16.2;11.4;0;0;0;0;0;2.6;0
BARLETTA;2013;23;4.6;2.4;0;11.2;25.8;0;0;0;0;0;0.8;0
BARLETTA;2013;24;3.2;4.8;0;0;0;0;0;0;0;0;0;0
BARLETTA;2013;25;1.2;0;5;0;1.8;0;0;0;0;0;10.8;0
BARLETTA;2013;26;0;0;2.2;0;1.2;0;0;0;0;0;8.8;1.4
BARLETTA;2013;27;0;0;0;4;0;0;0;30;0;0;6.4;3.2
BARLETTA;2013;28;1.4;0;0.2;0;0;1.2;0;17.4;0;0;0;0
BARLETTA;2013;29;0;NA;2.6;0;0;4;0;0;0;0;0;0
BARLETTA;2013;30;0;NA;0;0;0;0;0;0;2.2;0;9.8;0
BARLETTA;2013;31;0;NA;0.2;NA;0;NA;0;0;NA;0;NA;0.4
