stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BITONTO;2013;1;0;0;0;0.2;0;26.6;0;0;0;1;0;75.2
BITONTO;2013;2;0;0;2.6;0.6;0;0.8;0;0;0;0;0;15.8
BITONTO;2013;3;0;4.4;0;2.6;0;0.2;0;0;0;0;0;0.2
BITONTO;2013;4;0;0;0;0;0;2.2;0;0;0;0;0;0
BITONTO;2013;5;0;0;0;0;0.2;0;0;0;0;1.8;7.2;0
BITONTO;2013;6;0;0.4;0.6;0;0.2;0;0;0;0;0.6;0.8;0
BITONTO;2013;7;0;0;0.4;0;4.2;0;0;0;0;1.8;0;0.8
BITONTO;2013;8;0;1.2;0.4;0;0;0;0;0;0;0;0;0
BITONTO;2013;9;0;3.8;0;0;0;0;0;0;0;0;0;0
BITONTO;2013;10;1.4;0.2;0;0;0;4.6;0;1.2;0.4;0;0;0
BITONTO;2013;11;0;0;1;0;3.8;0;0;0;0.8;0;14.6;0
BITONTO;2013;12;1;0.4;0.2;0;0;0;0;0;1.2;1.2;23.8;0
BITONTO;2013;13;0;4;0.2;0;3.8;0;0;0;0;0;2.8;0
BITONTO;2013;14;0.8;28.4;7.2;0;0;0;3;0;0;0;0.2;0
BITONTO;2013;15;5.4;0;0.2;0;0;0;0;0;0;0;0;0
BITONTO;2013;16;0.4;3.6;0;0;0;0;0;0;0.6;2.2;0.4;0
BITONTO;2013;17;4.6;0;0;0;0;0;0;0;2.4;0;0.6;0
BITONTO;2013;18;0.4;2.6;7;0;0;0;0;0;0.2;0;0;0
BITONTO;2013;19;1.2;0.4;0;0;0;0;0;0;0;0;8.6;0
BITONTO;2013;20;1;0;3;0;0;0;0;0;0;0;0;0
BITONTO;2013;21;4;4;4;6;0.2;0;0;0;0;0;0.2;0
BITONTO;2013;22;0;0;0;2.4;5.8;0;0;0;0;0;0.6;0
BITONTO;2013;23;0;0;0;0.6;5.6;0;0;0;0;0;0.4;0
BITONTO;2013;24;2;0.8;0;0;0;0;0;0;0;0;0;0
BITONTO;2013;25;2.6;0;9.2;0;0.6;0;0;0.2;0;0;14.6;0
BITONTO;2013;26;0;0;1.6;0;0.4;0;0;0;0;0;18.8;2
BITONTO;2013;27;0;0.8;0;1.6;0;0;0;28;0;0;9;3.8
BITONTO;2013;28;1.4;0;0.2;0;0;2.4;0;1;0;0;0;0
BITONTO;2013;29;1;NA;3;0;0;3;0;0;0;0;0;0
BITONTO;2013;30;0;NA;0;0;0;0;0;0;13.2;0;17;0
BITONTO;2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;2.8
