stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CEGLIE MESSAPICA;2013;1;0;0;0;0.6;0;0;0;0;0;1.6;0;42.2
CEGLIE MESSAPICA;2013;2;0.2;0;0.4;4;0;0.6;0;0;0;0;0.4;0.8
CEGLIE MESSAPICA;2013;3;0.2;1.6;0;2.6;0;1;0;0;0;0;0;1.2
CEGLIE MESSAPICA;2013;4;0;0;0;0;0;2.8;0.6;0;0;0;0;0
CEGLIE MESSAPICA;2013;5;0;0;0;0;0;6.6;0;0;0;3.2;4.8;0
CEGLIE MESSAPICA;2013;6;0;2.2;10;0;1.8;0;0;0;0;26.2;9.4;0
CEGLIE MESSAPICA;2013;7;0;0;5.4;14.4;1.2;0;0;0;0;116.4;0;0.4
CEGLIE MESSAPICA;2013;8;0;7.6;0.6;0;0;0;0;0;0;20.6;0;0
CEGLIE MESSAPICA;2013;9;0;1.4;0;0;0;0;0;0;0.8;0.2;0;0
CEGLIE MESSAPICA;2013;10;2.8;0.6;0.2;0;0;0;0;5;0;0;0;0
CEGLIE MESSAPICA;2013;11;0.2;1.6;0;0;4;0;0;0;0;0;17.8;0
CEGLIE MESSAPICA;2013;12;0.4;39;1;0;0;0;0;0;1;1.4;30.6;0
CEGLIE MESSAPICA;2013;13;0.4;12.2;5.8;0;0;0;0;0;1.6;0;14.6;0
CEGLIE MESSAPICA;2013;14;3.8;1.6;6.6;0;0;0;0.6;0;0;0.4;0.8;0
CEGLIE MESSAPICA;2013;15;33.8;0;0;0;0;0;0;0;0;0;5.8;0
CEGLIE MESSAPICA;2013;16;1;1.2;0.2;0;1.4;0;0;0;0;6;0.2;0
CEGLIE MESSAPICA;2013;17;16.6;0.2;0;0;0;0;0;0;0;0;0.2;0
CEGLIE MESSAPICA;2013;18;0;0;19;0;0;0;0;0;0;0;0;0
CEGLIE MESSAPICA;2013;19;0.6;0;0;0;0;0;0;0;0;0;40.8;0
CEGLIE MESSAPICA;2013;20;0.2;0;2;0;0;0;0;0.2;0;0;0;0
CEGLIE MESSAPICA;2013;21;0.2;11;1;0;0;0;0;0;0;0.2;1.6;0
CEGLIE MESSAPICA;2013;22;0;0.4;0;14.8;5.8;0;0;0;0;0.2;0.2;0
CEGLIE MESSAPICA;2013;23;3.6;0.4;0;0.6;2;0;0;0;0;0;2.4;0
CEGLIE MESSAPICA;2013;24;6.6;13;0;0;0;0;0;0;0;0.2;0.4;0
CEGLIE MESSAPICA;2013;25;7.4;0;5.8;0;0.2;0;0;0;0;0.2;2.6;0.2
CEGLIE MESSAPICA;2013;26;4.8;12.2;3;0;0.2;0;0;0;0;0;3;12.8
CEGLIE MESSAPICA;2013;27;1;1.4;3.2;0.4;0;0;0;15;0;0.2;0;0.6
CEGLIE MESSAPICA;2013;28;0;0;5.4;0;0;0;0;3;0;0;0;0
CEGLIE MESSAPICA;2013;29;0;NA;5;0;0;5.4;0;0.2;0;0;0;0
CEGLIE MESSAPICA;2013;30;0;NA;0;0;0;0.2;0;0;2.8;0.2;31;0
CEGLIE MESSAPICA;2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;12.8
