stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CELENZA VALFORTORE;2013;1;0;0;0.2;0.4;0;5.8;0;0;0;6;0.2;103
CELENZA VALFORTORE;2013;2;0.2;8.4;7.4;13.6;1.4;0.2;0;0;0;0;0.2;39
CELENZA VALFORTORE;2013;3;0;8.6;0;14.8;0.4;3.2;0;0;0;0;0;0.2
CELENZA VALFORTORE;2013;4;0.2;0;0;0.2;0.6;3;0;0;0;0;0;0
CELENZA VALFORTORE;2013;5;0;0;0.8;0.8;6;3.6;0;0;0;19;10.8;0
CELENZA VALFORTORE;2013;6;0;1.2;1;0;7.8;0.2;0;0;0;7.8;0.2;0
CELENZA VALFORTORE;2013;7;0;0.8;0.6;0;11.8;0.2;0;0;0;0.4;0;0
CELENZA VALFORTORE;2013;8;0;1.2;0.4;0;0;0;0;0;0;0.2;0;0
CELENZA VALFORTORE;2013;9;0;0;0;0;0.2;0;6.4;11.6;0;1.8;0.2;0
CELENZA VALFORTORE;2013;10;0;3;3.6;0;1;0;0;0;6.8;0;11.6;0.2
CELENZA VALFORTORE;2013;11;5.2;0.8;1.6;0;0;0;1.2;0;0.2;0;14.2;0.2
CELENZA VALFORTORE;2013;12;0.4;10.6;2.2;0;0.6;0;0;0;0;2.4;12.4;0.2
CELENZA VALFORTORE;2013;13;0.2;6.2;5.6;0;0.4;0;8.2;0;0;0;16;0.2
CELENZA VALFORTORE;2013;14;3.2;0;6.8;NA;0;0;0;1.8;0;0.2;3.2;0
CELENZA VALFORTORE;2013;15;0;0.2;1.8;0;0;0;0.2;0.2;0.2;0;0;0
CELENZA VALFORTORE;2013;16;3.2;1;0.4;0;0;0;0;0;10.6;3.4;2.8;0
CELENZA VALFORTORE;2013;17;4.6;0.4;0;0;0;0;0;0;0.4;0.2;3.4;0.2
CELENZA VALFORTORE;2013;18;2.6;5;0;0;0;0;0;0;0;0;0.2;0.2
CELENZA VALFORTORE;2013;19;3;3;0;0;0;0;0.2;0;0;0;10;0
CELENZA VALFORTORE;2013;20;0.4;0;1.6;0;0;0;0;8.4;8.8;0;2;0
CELENZA VALFORTORE;2013;21;4.2;0;2.6;0;4.6;0;0;0;0;0;0;0.2
CELENZA VALFORTORE;2013;22;0;2.2;0;0.8;51.8;0;0;0;0;0;13;0.2
CELENZA VALFORTORE;2013;23;11.2;8.8;0;1.2;20.4;0;0;0;0;0;5.2;0
CELENZA VALFORTORE;2013;24;5.2;0;0;0.2;0;0;0;0;0;0;3.8;0.2
CELENZA VALFORTORE;2013;25;0.6;0;1.8;0;0.8;1.2;1.4;2.6;0;0;4.4;0
CELENZA VALFORTORE;2013;26;0;0;3.2;0.2;0.2;0;0;0;0;0.2;0;0.4
CELENZA VALFORTORE;2013;27;0;0;1.6;3.8;0;2.2;0;14.4;0;0;5.8;0.6
CELENZA VALFORTORE;2013;28;0;0.2;0.2;0;0;0;0;0.8;0.2;0.2;8.6;0.2
CELENZA VALFORTORE;2013;29;0;NA;0;0;0.2;0.4;0;0;29.6;0;2.8;0
CELENZA VALFORTORE;2013;30;0;NA;0;0;0;0;0;0;20.8;0;4;7.4
CELENZA VALFORTORE;2013;31;0;NA;3.2;NA;0;NA;0;0;NA;0;NA;12
