stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CELLINO SAN MARCO;2013;1;NA;NA;NA;NA;0;0;0;0;0;0;0.6;19
CELLINO SAN MARCO;2013;2;NA;NA;NA;NA;0;1;0;0;0;0;0.2;2
CELLINO SAN MARCO;2013;3;NA;NA;NA;NA;2.8;13;0;0;0;0;0.4;0.4
CELLINO SAN MARCO;2013;4;NA;NA;NA;NA;0.2;3.8;0;0;0;0;0.2;0
CELLINO SAN MARCO;2013;5;NA;NA;NA;NA;0;0.2;0;0;0;5.2;23.4;0
CELLINO SAN MARCO;2013;6;NA;NA;NA;NA;1.2;0;0;0;0;1.2;0.2;0.2
CELLINO SAN MARCO;2013;7;NA;NA;NA;NA;0;0;0;0;0;74;0.2;2.4
CELLINO SAN MARCO;2013;8;NA;NA;NA;NA;0;0;0;0;0;0.2;0.4;0
CELLINO SAN MARCO;2013;9;NA;NA;NA;NA;0;0;0;0;0;0.2;0.4;0
CELLINO SAN MARCO;2013;10;NA;NA;NA;NA;0;0;0;0;0;0;0.4;0
CELLINO SAN MARCO;2013;11;NA;NA;NA;NA;5.4;0;0.6;0;0;0;10.8;0
CELLINO SAN MARCO;2013;12;NA;NA;NA;NA;0;0;0;0;1.4;1.2;39;0
CELLINO SAN MARCO;2013;13;NA;NA;NA;NA;0;0;0;0;0;0;16.4;0
CELLINO SAN MARCO;2013;14;NA;NA;NA;NA;0;0;1.8;0;0;0;0;0
CELLINO SAN MARCO;2013;15;NA;NA;NA;NA;0;0;0;0;0;0;3.8;0.6
CELLINO SAN MARCO;2013;16;NA;NA;NA;0;0;0;0;0;2.4;7.2;0;3
CELLINO SAN MARCO;2013;17;NA;NA;NA;0;0;0;0;0;0;0.4;0;0
CELLINO SAN MARCO;2013;18;NA;NA;NA;0;0;0;0;0;0;0;0.2;0.2
CELLINO SAN MARCO;2013;19;NA;NA;NA;0;0;0;0;0;4.6;0;71;0.2
CELLINO SAN MARCO;2013;20;NA;NA;NA;0;0;0;0;0;0;0;0;0
CELLINO SAN MARCO;2013;21;NA;NA;NA;0;0;0;0;0;0;0.2;0;0
CELLINO SAN MARCO;2013;22;NA;NA;NA;0.2;3.4;0;0;0;0;0.2;0;0
CELLINO SAN MARCO;2013;23;NA;NA;NA;0;8;0;0;0;0;0.4;0.2;0.2
CELLINO SAN MARCO;2013;24;NA;NA;NA;0;0;0;0;0.4;0;0.4;0.4;1
CELLINO SAN MARCO;2013;25;NA;NA;NA;0.2;0;0;0;0;0.2;0.4;0.2;0.2
CELLINO SAN MARCO;2013;26;NA;NA;NA;0;0;0;0;0;0;0;0.4;17.2
CELLINO SAN MARCO;2013;27;NA;NA;NA;0.2;0;0;0;13.2;0;0.2;0.2;2.6
CELLINO SAN MARCO;2013;28;NA;NA;NA;0;0;0;0;1.6;0;0.4;0;0.2
CELLINO SAN MARCO;2013;29;NA;NA;NA;0;0;25;0;0;0.2;0.4;0;0
CELLINO SAN MARCO;2013;30;NA;NA;NA;0;0;0;0;0;6;0.2;59.2;0
CELLINO SAN MARCO;2013;31;NA;NA;NA;0;0;0;0.4;NA;NA;NA;NA;19
