stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
DELICETO;2013;1;0;0;0.2;1.4;0;15.2;0;0;0;0.4;0;84.8
DELICETO;2013;2;0;1.4;14.2;10.6;0;0;0;0;0;0;0;NA
DELICETO;2013;3;0;7.6;0;11.8;0.2;0.2;0;0;0;0;0;NA
DELICETO;2013;4;0;0;0;0;0;1;0.2;0;0;0;0;NA
DELICETO;2013;5;0;0;0.2;1.8;0.6;0.2;0;0;0;9.8;7.4;NA
DELICETO;2013;6;0;0.2;0.8;0;5.4;0;0;0;0;5.8;0;NA
DELICETO;2013;7;0;1.6;0.4;0;0;0;0.2;0;0;14.8;0;NA
DELICETO;2013;8;0;0.2;0;0;2.4;0;0;0;0;0;0;NA
DELICETO;2013;9;0;0;0;0.8;0;0;3.2;58.2;4;0.6;0;NA
DELICETO;2013;10;1.2;0;1;0;0;0;3.6;0.6;2.4;0.2;5.8;NA
DELICETO;2013;11;1;0;2.6;0;0;1.8;0.8;0;1;1.2;14.2;NA
DELICETO;2013;12;0;19.2;5;0;10.6;0;3.2;0;6.6;2;8.2;NA
DELICETO;2013;13;4.8;16;2;0;0;0;2.4;0;0;0;14.4;NA
DELICETO;2013;14;4.6;0;11;0;0;0;16.2;0;0;0;0.4;NA
DELICETO;2013;15;1.6;0;1.4;0;0;0;0;0;0;0.2;0;NA
DELICETO;2013;16;3.2;2;0;0;2.2;0;0;0;0.2;3.8;6.6;NA
DELICETO;2013;17;9.6;0.2;0;0;0.4;0;0;0;0;0;6.6;0
DELICETO;2013;18;0;7;0.6;0;0;0;0;0;0;0;0.4;0.2
DELICETO;2013;19;0.2;0;0;0;0;0;1.4;0;0.2;0;3.8;0
DELICETO;2013;20;0;0;1.4;0.2;0;0;0;19.4;3.4;0;3.2;0
DELICETO;2013;21;1.2;0.2;2;1;0.6;0;0;0;0;0;0.2;0
DELICETO;2013;22;1;0.6;0;1.8;66.4;0;0;0;0;0;11.6;0
DELICETO;2013;23;28;4.8;0;0.4;25.6;0.2;0;0;0;0;12.2;0
DELICETO;2013;24;12;1.2;0;0;0;0;0;0;0;0;0.2;0.2
DELICETO;2013;25;0.4;0.8;3.8;0;2.2;0.8;0;1.2;0;0;1.6;0
DELICETO;2013;26;0;0;3;0;0.6;0;0;0;0;0;1;1.2
DELICETO;2013;27;0;0;1;3.6;0;0;0;17.4;0;0;0.4;0
DELICETO;2013;28;0.2;0;2.4;0;0;0;0;0.2;0;0;2.8;0
DELICETO;2013;29;0;NA;0.4;0;0;0.4;0;0;0;0;0.2;0
DELICETO;2013;30;0;NA;0;0;0;0;0;0;6.4;0;1.8;1.2
DELICETO;2013;31;0;NA;1.2;NA;0.2;NA;0;0;NA;0;NA;0
