stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
FASANO;2013;1;0;0;0.2;0;0;4;0;0;0;6.2;0;80.8
FASANO;2013;2;0;0;1.4;1.2;0;2.2;0;0;0;0;0;3.4
FASANO;2013;3;0;0;0;1.2;2.6;0.4;0;0;0;0;0;0.6
FASANO;2013;4;0;0;0;0.2;0;0;0;0;0;0;0;0
FASANO;2013;5;0.2;0;0.4;0;0;0;0;0;0;2.2;1;0
FASANO;2013;6;0;2.2;6.6;0;1;0;0;0;0;5.2;6.4;0
FASANO;2013;7;0.6;0;1;0.2;0.4;0;0;0;0;81.4;0;0.6
FASANO;2013;8;0;3;0.8;0;0;0;0;0;0;23;0;0
FASANO;2013;9;0;2.6;0;3.2;0;0;0;0;0;0;0;0.2
FASANO;2013;10;10;0.2;0;0;0;0;0;10.8;0;0;0;0
FASANO;2013;11;0;0.4;0;0;6.8;0;0;0;0;0;30.6;0
FASANO;2013;12;0.2;24;0;0;0;0;0;0;0;0.6;34.8;0
FASANO;2013;13;0;9.2;0.6;0;1;0;0;0;4.6;0;0.6;0
FASANO;2013;14;7.2;11;4.6;0;0;0;0;0;0;0.6;0.8;0
FASANO;2013;15;30.8;1.4;0;0;0;0;0;0;0;2;3.6;2.8
FASANO;2013;16;0.8;2.4;0;0;0.2;0;0;0;0;6;1.8;0
FASANO;2013;17;6.4;0;0;0;0;0;0;0;0;0;0;0
FASANO;2013;18;0;0;1.6;0;0;0;0;0;0;0;0;0
FASANO;2013;19;1.6;0;0;0;0;0;0;0;0;0;27;0
FASANO;2013;20;0.2;0;2.4;0;0;0;0;0;0;0;0;0
FASANO;2013;21;0.4;8.8;6.2;0;0;0;0;0;0;0;0;0
FASANO;2013;22;0;0.2;0;5.6;0.8;0;0;0;0;0;0;0
FASANO;2013;23;0.4;0;0;1.6;4.8;0;0;0;0;0;0;0
FASANO;2013;24;7.4;7.8;0;0;0;0;0;0;0;0;0;0
FASANO;2013;25;15.8;0;5.2;0;0;0;0;1.2;0;0;3.6;0
FASANO;2013;26;14.4;14.2;15.6;0;0;0;0;0;0;0;5.8;8.2
FASANO;2013;27;1.4;6.8;1.2;0;0;0;0;4.2;0;0;2;0.2
FASANO;2013;28;0;0;1.2;0;0;0;0;5.6;0;0;0;0
FASANO;2013;29;1;NA;5.2;0;0;1.8;0;0;0;0;0;0
FASANO;2013;30;0;NA;0;0;1.6;2.2;0;0;4.4;0;41.8;0
FASANO;2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;11.6
