stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
FOGGIA (Osservatorio);2013;1;0;0;0;2.8;0;2.6;0;0;0;0.2;0;64.6
FOGGIA (Osservatorio);2013;2;0;0;3.4;6;0;0;0;0;0;0.2;0;5.4
FOGGIA (Osservatorio);2013;3;0;5;0;1.8;0;2.2;0;0;0;0;0;2.6
FOGGIA (Osservatorio);2013;4;0;0;0;0;0.2;0;0;0;0;0;0;0
FOGGIA (Osservatorio);2013;5;0;0;0.8;0.8;4.8;0;0;0;0;5.2;8.2;0
FOGGIA (Osservatorio);2013;6;0;0;2.8;0;2.6;0;0;0;0;1;0;0
FOGGIA (Osservatorio);2013;7;0;0.6;0.8;0;0;0;0;0;0;6.8;0;0
FOGGIA (Osservatorio);2013;8;0;3;0.6;0;0;0;1.2;0;0;26.8;0;0
FOGGIA (Osservatorio);2013;9;0;0;0;0;0;0;0;25.2;0.6;13.8;0;0
FOGGIA (Osservatorio);2013;10;0;0;1.6;0;8.2;0;0;0;1.8;0;5.2;0
FOGGIA (Osservatorio);2013;11;0.6;0;1;0;0.2;0;0;0;0.2;0;15.4;0
FOGGIA (Osservatorio);2013;12;2.6;6.4;1.4;0;0;0;0;0;0.6;0.2;9;0
FOGGIA (Osservatorio);2013;13;0.4;23.2;1.6;0;1.8;0;0;0;0;0;6;0
FOGGIA (Osservatorio);2013;14;2.4;0;6.4;0;0;0;8.6;0;0;0;0.6;0
FOGGIA (Osservatorio);2013;15;0;0;0;0;0;0;0;0;0;0;0;1.6
FOGGIA (Osservatorio);2013;16;0;0.6;0;0;0.6;0;0;0;6.2;6.6;0.4;0.2
FOGGIA (Osservatorio);2013;17;7;1.2;0.4;0;0;0;0;0;3.6;0;3.8;0
FOGGIA (Osservatorio);2013;18;5.6;4;0.2;0;0;0;0;0;0;0;0;0
FOGGIA (Osservatorio);2013;19;0.8;0.2;0;0;0;0;0;0;0;0;4.4;0
FOGGIA (Osservatorio);2013;20;0;0;4;0;0;0;0;2.2;0;0;2.2;0
FOGGIA (Osservatorio);2013;21;0.4;0.4;1.4;0;0.2;0;0;0;0;0;0.8;0
FOGGIA (Osservatorio);2013;22;0;0.2;0;1.2;6;0;0;0;0;0;5;0
FOGGIA (Osservatorio);2013;23;19.2;4.6;0;0;34.4;0.2;0;0;0;0;1;0
FOGGIA (Osservatorio);2013;24;10.2;1.2;0;0;0.2;0;0;0;0;0;0;0
FOGGIA (Osservatorio);2013;25;1;0;4.6;0;0.4;0;0.8;1;0;0;1.2;0
FOGGIA (Osservatorio);2013;26;0.2;0;2.4;0;0;0;0;0;0;0;7.6;0.6
FOGGIA (Osservatorio);2013;27;0;0;3.8;8.2;0;0.2;0;8.6;0;0.2;1.2;1.4
FOGGIA (Osservatorio);2013;28;0;0;0;0;0;0;0;0;0;0;0;0
FOGGIA (Osservatorio);2013;29;0;NA;1.6;0;0;4.6;0;0;0;0;0;0
FOGGIA (Osservatorio);2013;30;0;NA;0;0;0;0;0;0;5;0.2;11;0
FOGGIA (Osservatorio);2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;2.8
