stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GRAVINA DI PUGLIA;2013;1;NA;NA;NA;NA;0;0;NA;NA;0;0;0.2;111.6
GRAVINA DI PUGLIA;2013;2;NA;NA;NA;NA;0;0;NA;NA;0;0;0.2;13
GRAVINA DI PUGLIA;2013;3;NA;NA;NA;NA;0;0;NA;NA;0;0;0.2;1
GRAVINA DI PUGLIA;2013;4;NA;NA;NA;NA;2;0;NA;NA;0;0;0;0
GRAVINA DI PUGLIA;2013;5;NA;NA;NA;NA;0.2;0;NA;NA;0;7.4;7.2;0.2
GRAVINA DI PUGLIA;2013;6;NA;NA;NA;NA;0;0;NA;NA;0;16;0;0.2
GRAVINA DI PUGLIA;2013;7;NA;NA;NA;NA;0;0;NA;NA;0;0.4;0;0.6
GRAVINA DI PUGLIA;2013;8;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0
GRAVINA DI PUGLIA;2013;9;NA;NA;NA;NA;14.8;0;NA;NA;0.6;6.4;0.2;0.6
GRAVINA DI PUGLIA;2013;10;NA;NA;NA;NA;31;1;NA;NA;0;0;0.8;0.2
GRAVINA DI PUGLIA;2013;11;NA;NA;NA;NA;0;0;NA;NA;3.4;0;31.4;0
GRAVINA DI PUGLIA;2013;12;NA;NA;NA;NA;0;0;NA;NA;0.2;4;19.2;0
GRAVINA DI PUGLIA;2013;13;NA;NA;NA;NA;0;0;NA;NA;0;0;14;0.2
GRAVINA DI PUGLIA;2013;14;NA;NA;NA;NA;12.4;0;NA;NA;0;0;8.6;0.2
GRAVINA DI PUGLIA;2013;15;NA;NA;NA;NA;0;0;NA;NA;0;0;0.2;0.2
GRAVINA DI PUGLIA;2013;16;NA;NA;NA;NA;0;0;NA;NA;0.4;8;8.4;0.2
GRAVINA DI PUGLIA;2013;17;NA;NA;NA;NA;0;0;NA;NA;0;0.2;0;0.2
GRAVINA DI PUGLIA;2013;18;NA;NA;NA;NA;0;0;NA;NA;0;0;0.2;0.4
GRAVINA DI PUGLIA;2013;19;NA;NA;NA;NA;0.4;0;NA;NA;0;0;12.6;0.2
GRAVINA DI PUGLIA;2013;20;NA;NA;NA;NA;0;1;NA;NA;0;0;0.8;0.2
GRAVINA DI PUGLIA;2013;21;NA;NA;NA;NA;0;0;NA;NA;0;0;1.2;0.2
GRAVINA DI PUGLIA;2013;22;NA;NA;NA;NA;0;0;NA;NA;0;0;3;0.2
GRAVINA DI PUGLIA;2013;23;NA;NA;NA;NA;0;4.2;NA;NA;0;0;3.2;0
GRAVINA DI PUGLIA;2013;24;NA;NA;NA;NA;0;0;NA;NA;0;0;0.4;0
GRAVINA DI PUGLIA;2013;25;NA;NA;NA;NA;0;0;NA;NA;0;0.2;1.6;0.2
GRAVINA DI PUGLIA;2013;26;NA;NA;NA;NA;0;0.2;NA;NA;0;0.2;2.4;3.4
GRAVINA DI PUGLIA;2013;27;NA;NA;NA;NA;0;1.2;NA;NA;0;0;0;3
GRAVINA DI PUGLIA;2013;28;NA;NA;NA;NA;0;0;NA;NA;0;0;0;0.2
GRAVINA DI PUGLIA;2013;29;NA;NA;NA;NA;NA;4;0;0;0;0;0;0
GRAVINA DI PUGLIA;2013;30;NA;NA;NA;NA;NA;0;0;0;17.6;0;10.4;0.2
GRAVINA DI PUGLIA;2013;31;NA;NA;NA;NA;0;0;NA;NA;NA;0.8;NA;3.8
