stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MANDURIA;2013;1;0;0.2;0.2;0.2;0;0;0;0;0;NA;0.2;30.4
MANDURIA;2013;2;0.2;0;0.2;7.6;0;0;0;0;0;NA;0.2;3.8
MANDURIA;2013;3;0.2;0.4;0;3.6;1.6;0;0;0;0;NA;0;2
MANDURIA;2013;4;0.2;0;0;0;0;7;0.2;0;0;NA;0;0
MANDURIA;2013;5;0;0;0;0.2;0;3.8;0.2;0;0;NA;2.4;0
MANDURIA;2013;6;0;1.8;10.6;0;0.4;0;0;0;6.8;NA;0.2;0
MANDURIA;2013;7;0;0.2;3.8;1.6;0;0;0;0;0;NA;0;0
MANDURIA;2013;8;0;10.6;2.8;0;37.8;0;0;0;0;NA;0.4;0
MANDURIA;2013;9;0;1.2;0;0;0;0;6.4;0;0;NA;0.2;0
MANDURIA;2013;10;2.2;4.8;0;0;0;0;0;16.4;0;NA;0;0
MANDURIA;2013;11;0.8;0.2;0;0;9.6;0;0;0;0;NA;17.2;0
MANDURIA;2013;12;0;25.2;3.4;0;0;0;10.4;0;1.8;NA;33.6;0
MANDURIA;2013;13;0;11.8;3.6;0;0;0;0;0;0;NA;24.8;0
MANDURIA;2013;14;3.2;0.2;7.6;0;0;0;1.8;0;0;NA;0;0
MANDURIA;2013;15;27;0.4;0;0;0;0;0;0;0;NA;1;0
MANDURIA;2013;16;0.4;4;0;0;0.6;0;0;0;0.4;NA;1.2;1
MANDURIA;2013;17;9.4;0.2;0;0;0;0;0;0;0;NA;0.4;0
MANDURIA;2013;18;0;0;30;0;0;0;0;0;0;NA;0.2;0
MANDURIA;2013;19;0;0;0;0;0;0;11.4;0;0;NA;82.2;0
MANDURIA;2013;20;0.4;1.8;1.4;0;0;0;0;0;0;NA;0;0
MANDURIA;2013;21;1.2;27.6;0.2;0;0;0;0;0;0;NA;1.2;0
MANDURIA;2013;22;0.6;3.6;0;1.8;3.4;0;0;0;NA;NA;0.2;0
MANDURIA;2013;23;3;0.4;0;0.2;3;0;0;0;NA;0;0.6;0
MANDURIA;2013;24;10.8;5.4;0;0;0;0;0;0;NA;0.4;2.8;0
MANDURIA;2013;25;7.4;0;0.8;0;0;0;0;0;NA;0.2;0;6.2
MANDURIA;2013;26;0.6;2.8;0.2;0;0;0;0;0;NA;0.2;3.4;11.6
MANDURIA;2013;27;0;1;1;0.4;0;0;0;0.4;NA;0;0;0.8
MANDURIA;2013;28;0;0;3.2;0;0;0;0;0;NA;0;0.4;0
MANDURIA;2013;29;0;NA;2.4;0;0;0.8;0;0;NA;0.2;0.2;0
MANDURIA;2013;30;0;NA;0;0;0.2;2;0;0;NA;0.2;31.6;0
MANDURIA;2013;31;0.2;NA;0.2;NA;0;NA;0;0;NA;0.2;NA;12
