stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MERCADANTE;2013;1;0.2;0;0.2;0.4;0;3.8;0;0;0;0;0.2;136.4
MERCADANTE;2013;2;0.2;0;10;0.2;0.4;5.2;0;0;0;0;0.2;33.6
MERCADANTE;2013;3;0.2;1;0;3;0;17;0;0;0;0;0.2;2
MERCADANTE;2013;4;0.2;0;0.2;0.2;0;0.2;5.8;0;0;0;0;0
MERCADANTE;2013;5;0;0;0.2;0;0.4;7.6;0.2;0;0;3.6;2.4;0.2
MERCADANTE;2013;6;0;0.2;8;0;0.2;0.2;0;0;0;3.8;0.2;0.2
MERCADANTE;2013;7;0;0;1.6;0.2;0;0;0;0;0;17.4;0;0
MERCADANTE;2013;8;0;0.4;0.6;0;0;0;0;0;0;0;0;0
MERCADANTE;2013;9;0;4;0.4;0;0;0;0;1;0;0;0;0.2
MERCADANTE;2013;10;14.4;1.8;0;0;0;1.6;0;0.2;0.2;0;0.2;0.2
MERCADANTE;2013;11;0;0.2;2.2;0;2.4;0.6;0;0;0.8;0;20.6;0
MERCADANTE;2013;12;1;1;4.8;0;3.4;0;1.8;0;3.2;5;16.2;0
MERCADANTE;2013;13;0;5.6;0.6;0;3;0;0;0;0;0.2;11.8;0
MERCADANTE;2013;14;0.6;5.6;6.4;0;0;0;5.4;0;0;0.4;1.8;0.2
MERCADANTE;2013;15;13.8;0.2;0.2;0;0;0;0;0;0;0;0.2;0.2
MERCADANTE;2013;16;1.6;1.4;0;0;0;0;0;0;1.2;5.6;5.8;0
MERCADANTE;2013;17;4.2;0;0;0;0;0;0;0;0;0;0;0.2
MERCADANTE;2013;18;0;0.6;5.6;0;0;0;0;0;0;0;0.2;0.2
MERCADANTE;2013;19;1.6;1.4;0;0;0;0;16.8;0;0;0;21.4;0.2
MERCADANTE;2013;20;0;0;2;0;0;0;0;0.2;0;0;0;0.2
MERCADANTE;2013;21;5.4;2.8;5;14;0.2;0;0;0;0;0.2;0.8;0
MERCADANTE;2013;22;0;0.2;0;4;4;0;0;0;0;0.2;1.4;0.2
MERCADANTE;2013;23;0;0;0;0.6;1.4;0;0;0.2;0;0;3.2;0.2
MERCADANTE;2013;24;4.2;6.2;0;0;0;0;0;0;0;0.2;13.6;0
MERCADANTE;2013;25;4.2;0;9;0;0.2;0;0;4.4;0;0.2;5.2;0
MERCADANTE;2013;26;0;0;6.6;0;0;0;0;12.8;0;0.4;18.2;6
MERCADANTE;2013;27;0;0.6;2;0.8;0;0;0;7.2;0;0.2;5.6;6
MERCADANTE;2013;28;1.2;0;2.6;0;0;1.4;0;0.2;0;0;0;0.2
MERCADANTE;2013;29;1.2;NA;0.6;0;0;1.2;0;0;0.4;0;0;0
MERCADANTE;2013;30;0;NA;0;0;0.2;0;0;0;9.2;0;17.6;0
MERCADANTE;2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;9.2
