stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MOTTOLA;2013;1;0;0;0.2;0.2;0;2.6;0;0;0;0;0;53.4
MOTTOLA;2013;2;0.2;0;1.2;4.8;0;3.2;0;0;0;0;0;12.8
MOTTOLA;2013;3;0;0;0;2;2.4;2.4;0;0;0;0;0.2;0.4
MOTTOLA;2013;4;0.2;0;0;0.2;0;2.2;3.6;0;0;0;0;0
MOTTOLA;2013;5;0;0;0;0;0;1.4;0;0;0;6.2;1.2;0
MOTTOLA;2013;6;0;4;15;0;0.8;0;0;0;0;28.8;0.2;0.2
MOTTOLA;2013;7;0.2;0;0.8;0;0;0;0;0;0;4.6;0;0
MOTTOLA;2013;8;0;2.8;1.2;0;1.4;0;0;0;0;67.8;0;0
MOTTOLA;2013;9;0;2;0.2;0;0;0;0;0;1;0.2;0.2;0.4
MOTTOLA;2013;10;1;1.2;0;0;0;0;0;2;0;0;0;0
MOTTOLA;2013;11;0;2.8;0;0;11.8;0;21.4;0;0;0.2;20;0
MOTTOLA;2013;12;0.2;14.6;0.4;0;0.4;0;1;0;2.4;2.4;35;0
MOTTOLA;2013;13;1;10.8;2.2;0;0;0;0;0;2.6;0.2;11.8;0
MOTTOLA;2013;14;0;0.6;5;0;0;0;1.8;0;0;0;5.8;0
MOTTOLA;2013;15;33;0.2;0.8;0;0;0;0;0;0;0;1;0
MOTTOLA;2013;16;1.4;1.4;0;0;1.2;0;0;0;0.6;5;2.4;0
MOTTOLA;2013;17;17.8;0;0;0;0;0;0;0;0;0;0;0
MOTTOLA;2013;18;0;0.2;11.4;0;0;0;0;0;0;0;0;0
MOTTOLA;2013;19;2;0.2;0;0;0;0;10;0;0;0;20.4;0
MOTTOLA;2013;20;0.6;0;5.8;0;0;0;0;0;0;0;0;0
MOTTOLA;2013;21;0.6;20.4;1.8;0;0;0;0;0;0;0;0.4;0
MOTTOLA;2013;22;0;0.2;0;5.6;1.4;0;0;0;0;0;0.6;0
MOTTOLA;2013;23;0.2;0;0;4.4;0.2;1.8;0;0;0;0;1.8;0
MOTTOLA;2013;24;3.4;8.6;0;0;0;0;0;0;0;0.2;1.4;0
MOTTOLA;2013;25;17.4;0;15.2;0;0;0;0;0;0;0;0.2;1.6
MOTTOLA;2013;26;0;0;2.2;0;0.4;0;0;0;0;0;9.4;15.4
MOTTOLA;2013;27;0;1.6;3.8;0.4;0;0;0;14.8;0;0;1;4
MOTTOLA;2013;28;1.2;0;1.8;0;0;0;0;0;0;0;0;0
MOTTOLA;2013;29;0;NA;1.6;0;0;0;0;0;0;0.2;0;0
MOTTOLA;2013;30;0;NA;0;0;1;0;0;0;6.8;0;12.6;0
MOTTOLA;2013;31;0;NA;0;NA;0.2;NA;0;0;NA;0;NA;7.2
