stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
NARDO';2013;1;0;0.4;0;0.2;0;2.2;0;0;0;0;0.2;15.2
NARDO';2013;2;0.2;0;0;16.2;0;2.8;0;0;0;0;0.2;5.8
NARDO';2013;3;0.2;0;0;2.2;0;0;0;0;0.2;0;0.2;4.2
NARDO';2013;4;0.2;0;0;0;0;13.2;0;0;0;0;0.2;0
NARDO';2013;5;0;0;0;0;0;0;0;0;0;5;18.2;0
NARDO';2013;6;0.4;1.8;6;0;0.2;0;0;0;15;3.8;1;0.2
NARDO';2013;7;0;0.6;13;12;0.4;0;0;0;0;107.4;0;0
NARDO';2013;8;0;4;2.2;0;0;0;6;0;0;3.6;0.4;0
NARDO';2013;9;0;3.6;0.2;0;0;0;0;0;0;0.2;0.4;0
NARDO';2013;10;4.8;1.4;0;0;3.8;0;0;0;0;0;0.6;0
NARDO';2013;11;0;1.8;0.6;0;0.8;0;0;0;0;0.2;13.4;0
NARDO';2013;12;0;15.8;1.2;0;0.6;0;0;0;8.6;0;44.4;0
NARDO';2013;13;0;7.2;5.2;0;0;0;0;0;0;0;22;0
NARDO';2013;14;1;6.4;13.2;0;0;0;0;0;0;0;0.2;0.2
NARDO';2013;15;25.8;0.2;1.6;0;0;0;0;0;0;0;0.2;0.2
NARDO';2013;16;0.6;7.8;0;0;0.4;0;0;0;0.8;18;2;0
NARDO';2013;17;4.6;1.8;0;0;0;0;0;0;0;0;7.6;0
NARDO';2013;18;0;0.2;16.6;0;0;0;0;0;0;0;0.2;0
NARDO';2013;19;1.4;0;0;0;0;0;0;0;0;0;71.8;0.2
NARDO';2013;20;0;0;0;0;0;0;0;0;0;0;0.2;0
NARDO';2013;21;0;4.6;2.6;0;0;0;0;0;0;0.2;0;0
NARDO';2013;22;4.8;7.6;0;1.6;0.4;0;0;0;0;0.2;1.8;0.2
NARDO';2013;23;1.4;0;0;0;1.8;0.4;0;0;0;0.4;0;0.2
NARDO';2013;24;3;0.6;0;0;0;0;0;0;0;0.2;13.6;0.6
NARDO';2013;25;17.6;2;1.6;0;0;0;0;0;0;0.4;0.2;0
NARDO';2013;26;3.2;11.8;0;0.2;0;0;0;0;0;0;0.4;12.8
NARDO';2013;27;0;0.6;0.4;0;0;0;0;0;0;0.2;0;1.6
NARDO';2013;28;0;0;1.8;0;0;0;0;6.8;0;0.2;0;0.2
NARDO';2013;29;0.2;NA;0.8;0;0;6.2;0;0;0;0.4;0;0.2
NARDO';2013;30;0;NA;0;0;0;0;0;0;1;0.2;48.8;0
NARDO';2013;31;0;NA;0;NA;0;NA;0;0;NA;0.4;NA;17.2
