stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
POLIGNANO A MARE;2013;1;0;0;0;0.4;0;14;0;0;0;23;0;65.4
POLIGNANO A MARE;2013;2;0;0;2;0.2;0;8;0;0;0;0;0;2.8
POLIGNANO A MARE;2013;3;0;2.6;0;3.2;0;0;0;0;0;0;0;1
POLIGNANO A MARE;2013;4;0;0;0;0.2;0;5;0;0;0;0;0;0
POLIGNANO A MARE;2013;5;0.6;0;0;0;0;0;0;0;0;2.8;0;0
POLIGNANO A MARE;2013;6;0;0.4;2.4;0;0.2;0;0;0;0;3.4;2.8;0
POLIGNANO A MARE;2013;7;0;0;1.4;0;0;0;0;0;0;23.8;0;0
POLIGNANO A MARE;2013;8;0;0.8;0.4;0;0;0;0;0;0;10.2;0;0
POLIGNANO A MARE;2013;9;0;4.4;0;0.2;0;0;0;0;0;0;0;0
POLIGNANO A MARE;2013;10;10.8;0;0.8;0;0;0.4;0;1.2;0;0;0;0.2
POLIGNANO A MARE;2013;11;0.2;0;14;0;0.4;0;0;0;0;0;12.8;0
POLIGNANO A MARE;2013;12;0.8;16.4;0.6;0;1;0;0;0;9;0;33.2;0
POLIGNANO A MARE;2013;13;0;7.8;0.2;0;0.2;0;0;0;0;0;0.6;0
POLIGNANO A MARE;2013;14;1;24.4;2.6;0;0;0;1;0;0;0.2;0.2;0
POLIGNANO A MARE;2013;15;26.8;0;0;0;0;0;0;0;0;0.8;1;0
POLIGNANO A MARE;2013;16;0.2;7.6;0;0;0.4;0;0;0;0;5.6;0.2;0
POLIGNANO A MARE;2013;17;5.6;0.6;0;0;0;0;0;0;1.4;0;0;0
POLIGNANO A MARE;2013;18;0.8;1;5.2;0;0;0;0;0;0;0;0.2;0
POLIGNANO A MARE;2013;19;1.8;1.2;0;0;0;0;0;0;0;0;16.8;0
POLIGNANO A MARE;2013;20;1.4;0;5.8;0;0;0;0;0;0;0;0;0
POLIGNANO A MARE;2013;21;0.6;7.4;11.6;0;0;0;0;0;0;0;0;0
POLIGNANO A MARE;2013;22;0;0.8;0;4;2;0;0;0;0;0;1.6;0
POLIGNANO A MARE;2013;23;0.4;0;0;2.6;6;0;0;0;0;0;0.2;0
POLIGNANO A MARE;2013;24;1.8;4.2;0;0;0;0;0;0;0;0;0.4;0
POLIGNANO A MARE;2013;25;16.6;0;5;0;0;0;0;0;0;0;5.4;0
POLIGNANO A MARE;2013;26;0;6.6;1.2;0;0;0;0;0;0;0;16.4;5.6
POLIGNANO A MARE;2013;27;2.4;17.2;0.2;0.4;0;0;0;47;0;0;2.4;1.4
POLIGNANO A MARE;2013;28;0;0;0;0;0;0;0;0;0;0;0;0
POLIGNANO A MARE;2013;29;2.6;NA;7.8;0;0;51.4;0;0;0;0;0.2;0
POLIGNANO A MARE;2013;30;0;NA;0;0;5.8;0;0;0;6;0;17;0
POLIGNANO A MARE;2013;31;0;NA;0;NA;1;NA;0;0;NA;0;NA;5.6
