stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
PRESICCE;2013;1;0;0.2;0.2;0;0;1;0;0;0;0;0;18.8
PRESICCE;2013;2;0.4;0;0.2;20.2;0;1.4;0;0;0;0;0;35.6
PRESICCE;2013;3;0;0;1;1.6;0;0;0;0;0;0;0;1
PRESICCE;2013;4;0.2;0;0;0.2;0;6.2;0;0;0;0;0;0
PRESICCE;2013;5;0.6;0;0;0;0.2;1;0;0;0;2.4;18.6;0
PRESICCE;2013;6;0;2.6;9.8;0;0;0;0;0;5.8;10.4;0.4;0
PRESICCE;2013;7;0;2;43.6;6.4;0;0;0;0;0;80;0;0
PRESICCE;2013;8;0;5;1.8;0;0;0;0;0;0;20.8;0;0
PRESICCE;2013;9;0;0.6;0;0;0.8;0;0;0;0;0;0.2;0.2
PRESICCE;2013;10;1.2;0.8;0;0;0;0;1;1.8;0;0;4;0.2
PRESICCE;2013;11;1.6;3;0;0.2;0;0;0;0;0;0;11.6;0
PRESICCE;2013;12;0;6.4;1.2;0;8.8;0;13.2;0;6.4;0;64.2;0
PRESICCE;2013;13;0;8.2;8.6;0;1.4;0;0;0;0;0;26.8;0
PRESICCE;2013;14;1.2;5;16.6;0;0;0;0;0;0;0;0;0
PRESICCE;2013;15;6.6;0;9;0;0;0;0;0;0;0;0;0
PRESICCE;2013;16;4.6;8.4;0;0;0;0;0;0;0;0;12.8;0
PRESICCE;2013;17;11;0.4;0;0;0;0;0;0;0;0;43.8;0
PRESICCE;2013;18;4.8;1.4;24;0;0;0;0;0;0;0;0.2;0
PRESICCE;2013;19;1.4;0.2;0;0;0;0;0;0;0;0;25.2;0
PRESICCE;2013;20;4.8;0;0.2;0;0;0;0;0;0;0;7.2;0
PRESICCE;2013;21;0;7.2;1.6;0;0;0;2.2;0;0;0;0;0
PRESICCE;2013;22;0.8;1.8;0;3.8;1.2;0;0;52.2;0;0;8;0
PRESICCE;2013;23;0;0;0;2.4;1.4;0;0;0;0;0;6.6;0
PRESICCE;2013;24;3.6;0;0;0;0.4;0;0;0;0;0;15;0.6
PRESICCE;2013;25;15.4;0.8;2;0;0;0;0;0;0;0;0.4;0
PRESICCE;2013;26;2.4;0.8;1.4;0;0;0;0;0;0;0;0.4;11.4
PRESICCE;2013;27;0;0;1.4;0;0;0;0;0;0;0;0.2;0
PRESICCE;2013;28;0;1;1.6;0;0;0;0;0.2;0;0;0;0
PRESICCE;2013;29;0.2;NA;0.2;0;0;0;0;0;0;0;0;0
PRESICCE;2013;30;0;NA;0;0;0.2;0;0;0;17.2;0;47.6;0
PRESICCE;2013;31;0;NA;0.4;NA;0;NA;0;0;NA;0;NA;13.6
