stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TALSANO;2013;1;0;0;0;0.6;0;1.2;0;0;0;0.2;0;40.4
TALSANO;2013;2;0;0;1.8;5.8;0;0;0;0;0;0;0;0.4
TALSANO;2013;3;0;0;0;5.8;0.8;0;0;0;0;0;0;0
TALSANO;2013;4;0;0;0;0.2;0;0.2;0.2;0;0;0;0;0
TALSANO;2013;5;0;0;0;0;0.2;0.2;0;0;0;3.2;0.6;0
TALSANO;2013;6;0;3;6.2;0;0;0;0;0;1.8;3.6;0;0
TALSANO;2013;7;0;0;0.6;0;0;0;0;0;0;17.6;0;0
TALSANO;2013;8;0;4.8;1.4;0;0.2;0;38.6;0;0;0.2;0;0
TALSANO;2013;9;0;1;0.2;0;0;0;0;0;0;0;0.2;0.2
TALSANO;2013;10;0.6;2.6;0;0;0;0.4;0;4.8;0;0;0;0
TALSANO;2013;11;0.6;0;0;0;1.2;0.6;0;0;0;0;19.6;0
TALSANO;2013;12;0;19.6;0.6;0;2.2;0;2.2;0;1.8;4;59.2;0
TALSANO;2013;13;0;8;0.8;0.2;0;0;0;0;0;0;21;0
TALSANO;2013;14;0.2;0.4;6.2;0;0;0;0;0;0;0;0.2;0
TALSANO;2013;15;32.4;0;0;0;0;0;0;0;0;0;12;0
TALSANO;2013;16;0;13;0;0;0.8;0;0;0;0;5.6;11.2;0
TALSANO;2013;17;15;3;0;0;0;0;0;0;0;0;0.6;0
TALSANO;2013;18;0.4;0;9.8;0;0;0;0;0;0;0;0;0
TALSANO;2013;19;0.4;0.2;0;0;0;0;0;0;0;0;26;0
TALSANO;2013;20;0.2;0;1.6;0;0;0;0;0;0.6;0;0;0
TALSANO;2013;21;0.2;12;0.2;0;0;0;0.2;0;0;0;1.4;0
TALSANO;2013;22;0.8;0.4;0;0.4;4.6;0;0;0;0;0.2;0;0
TALSANO;2013;23;2.6;0;0;0.8;1.8;0;0;0;0;0;0.8;0
TALSANO;2013;24;5.2;2.8;0;0;0;0;0;0;0;0.4;0;0
TALSANO;2013;25;1.8;0;1.2;0;0;0;0;0;0;0.2;0.2;0.8
TALSANO;2013;26;2;0;0.4;0;0;0;0;0;0;0.2;4;4.6
TALSANO;2013;27;0;0.8;1.6;0.8;0;0;0;0;0;0.2;0;1.2
TALSANO;2013;28;0;0;3;0;0;0;0;0;0;0;0;0
TALSANO;2013;29;0;NA;5;0;0;1;0;0;0;0.2;0.2;0
TALSANO;2013;30;0;NA;0;0;0;0;0;0;3.6;0.2;14.6;0
TALSANO;2013;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;10.2
