stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TAVIANO;2013;1;0;0.2;0.2;0;0;4;0;0;0;0;0.2;18.6
TAVIANO;2013;2;0.2;0.2;0;17.8;0;1;0;0;0;0;0.2;8
TAVIANO;2013;3;0.2;0;0;3;0;0;0;0;0;0;0.2;2.6
TAVIANO;2013;4;0.2;0;0;0.2;0;0;0;0;0;0;0;0
TAVIANO;2013;5;0.8;0;0.2;0;1;0;0;0;0;2.2;18.4;0
TAVIANO;2013;6;0;2;10.6;0;0;0;0;0;11.8;5;0.4;0
TAVIANO;2013;7;0;0.2;15.2;9.8;0;0;0;0;0;146.6;0;0
TAVIANO;2013;8;0;4;3.2;0;0;0;0;0;0;16.6;0;0
TAVIANO;2013;9;0;1.2;0;0;0;0;0;0;0;0.2;0.2;0.4
TAVIANO;2013;10;0.6;1.2;0;0;0;0;0;0.6;0;0;2;0
TAVIANO;2013;11;0.4;2.2;0.2;0;0.4;0;0;0;0;0.4;16.8;0
TAVIANO;2013;12;0.4;10.2;0.6;0;3;0;0;0;19;0.4;31.8;0
TAVIANO;2013;13;0;8.4;4.2;0;0.4;0;0;0;0.2;0;16.8;0
TAVIANO;2013;14;1.2;9;20;0;0;0;0;0;0;0;0;0
TAVIANO;2013;15;17.8;0;2.2;0;0;0;0;0;0;0;0;0
TAVIANO;2013;16;0.2;2.6;0;0;0;0;0;0;0.2;9.8;4.2;0
TAVIANO;2013;17;5;0.4;0;0;0;0;0;0;0;0;17.4;0
TAVIANO;2013;18;2.8;0;17;0;0;0;0;0;0;0;0;0
TAVIANO;2013;19;1.6;0;0;0;0;0;0;0;0;0;23.2;0
TAVIANO;2013;20;0.4;0;0;0;0;0;0;0;0;0;0;0
TAVIANO;2013;21;0;4.2;3;0;0;0;0;0;0;0;0;0
TAVIANO;2013;22;2;2.6;0;1.8;1.2;0;0;0;0;0.2;7.6;0
TAVIANO;2013;23;0;0.2;0;1.8;1.6;0;0;0;0;0.2;8;0
TAVIANO;2013;24;3.8;0;0;0;0.2;0;0;0;0;0.4;5.2;0.2
TAVIANO;2013;25;14.6;0.2;3;0;0;0;0;0;0;0.2;0.2;1
TAVIANO;2013;26;2;3.6;1.2;0;0;0;0;0;0;0.2;0.6;11.2
TAVIANO;2013;27;0;0.6;0.2;0;0;0;0;0;0;0;0;0
TAVIANO;2013;28;0;0.4;1.4;0;0;0;0;0;0;0.4;0;0
TAVIANO;2013;29;0.2;NA;0.2;0;0;0;0;0;0;0.2;0;0.2
TAVIANO;2013;30;0;NA;0;0;0.4;0;0;0;4.6;0.2;43.8;0
TAVIANO;2013;31;0;NA;0.2;NA;0;NA;0;0;NA;0.2;NA;12
