stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TORREMAGGIORE;2013;1;0;0;0;1.6;0;3.2;0;0;0;13.4;0;68.2
TORREMAGGIORE;2013;2;0;0;3.8;6.2;0.2;0.6;0;0;0;0;0;7.8
TORREMAGGIORE;2013;3;0;5;0;2.4;0;0.4;0;0;0;0;0;0
TORREMAGGIORE;2013;4;0;0;0;0;0;0.8;0.4;0;0;0;0;0
TORREMAGGIORE;2013;5;0;0;1.2;1.8;3.2;0;0;0;0;10.2;NA;0
TORREMAGGIORE;2013;6;0.4;1;1;0;4.2;0;0;0;0;3;0;0
TORREMAGGIORE;2013;7;0;0;1.8;0;1.2;0;0;0;0;4;0;0.2
TORREMAGGIORE;2013;8;0;10.8;0.4;0;0;0;0;0;0;12.4;0;0
TORREMAGGIORE;2013;9;0;0.8;0;0;0;0;0;4.4;0;0;0;0
TORREMAGGIORE;2013;10;0;0;2.6;0;0.6;0;0;0;7.8;0;NA;0
TORREMAGGIORE;2013;11;2.8;0;0.2;0;0.4;0;0;0;0;0;NA;0
TORREMAGGIORE;2013;12;1.8;5;1.6;0;1;0;0;0;0;1;NA;0
TORREMAGGIORE;2013;13;0.2;20;3.4;0;4.2;0;0;0;0;0;NA;0
TORREMAGGIORE;2013;14;0.6;0;4.4;0;0;0;32.8;0;0;0.2;0;0
TORREMAGGIORE;2013;15;0;1.6;0.6;0;0;0;0;0;0;0;1.4;2.2
TORREMAGGIORE;2013;16;0.4;2.4;0;0;0.6;0;0;0;7;0;2.8;0
TORREMAGGIORE;2013;17;8.8;0;0;0;0;0;0;0;8.4;0;4.2;0
TORREMAGGIORE;2013;18;22.6;3.2;0.2;0;0;0;0;0;0;0;0.2;0
TORREMAGGIORE;2013;19;0.4;0.8;0;0;0;0;0;0;0;0;5.8;0
TORREMAGGIORE;2013;20;0.2;0;2.8;0;0;0;0;6;1.6;0;1.2;0
TORREMAGGIORE;2013;21;0;0;2.8;0.4;2.6;0;0;0;0;0;1;0
TORREMAGGIORE;2013;22;0;0.4;0;0;21.2;0;0;0;0;0.2;3.6;0.2
TORREMAGGIORE;2013;23;4.8;3.6;0;0;26.2;0;0;0.8;0;0.2;1.2;0
TORREMAGGIORE;2013;24;15.4;0;0;0;0.2;0;0;0;0;0;0;0
TORREMAGGIORE;2013;25;1;0.2;6.2;0;0;0;0;1.6;0;0;4.4;0
TORREMAGGIORE;2013;26;0.2;0;4.4;0;0;0;0;0;0;0;15.6;0.6
TORREMAGGIORE;2013;27;0;0;0.4;6.4;0;0;0;6.8;0;0;2.8;8.2
TORREMAGGIORE;2013;28;0;0;0.2;0;0;0;0;2.4;0;0.2;0;0
TORREMAGGIORE;2013;29;0.8;NA;0.4;0;0;0.2;0;0;7.6;0;0;0
TORREMAGGIORE;2013;30;0;NA;0;0;0;0;0;0;33;0.4;1.2;6.6
TORREMAGGIORE;2013;31;0.2;NA;0.4;NA;0;NA;0;0;NA;0;NA;5
