stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
TROIA;2013;1;0;0;0;0.4;0;4.6;0;0;0;0.4;0;89.6
TROIA;2013;2;0;4.8;8.4;18.8;0.4;0.2;0;0;0;0;0;19
TROIA;2013;3;0;11.4;0;4.4;0.2;6.4;0;0;0;0;0;13.4
TROIA;2013;4;0;0;0;0;0;1.6;0.2;0;0;0;0;0
TROIA;2013;5;0;0;0.2;1.8;33.8;9.8;0;0;0;18;17;0
TROIA;2013;6;0;0.2;0.6;0;3;0;0;0;0;2.8;0;0.4
TROIA;2013;7;0;0.6;0.2;0;4.8;0;0;0;0;4.4;0;0
TROIA;2013;8;0;3.6;0;0;0.2;0;0;0;0;1.8;0;0
TROIA;2013;9;0;0.2;0;0;0;0;0;22.4;1;0.6;0;0
TROIA;2013;10;0;0;0.8;0;0;0;0;0;5.2;0;8;0
TROIA;2013;11;0.6;0;1.2;0;0;1.4;1.6;0;0.8;0.6;11.4;0
TROIA;2013;12;0.2;13.8;2.6;0;0.2;0;0.2;0;0.2;1;6.4;0
TROIA;2013;13;2.8;13;2.4;0;0;0;9;0;0;0;6.8;0
TROIA;2013;14;7;0;12;0;0;0;4;1.4;0;0;1.2;0
TROIA;2013;15;0;0;2.4;0;0;0;0.2;0;0;0;0;0.2
TROIA;2013;16;1;1.6;0;0;0.2;0;0;0;2.2;9;0.8;0
TROIA;2013;17;6.6;3.4;0;0;0.4;0;0;0;0.4;0;10.8;0
TROIA;2013;18;1.2;7;0.2;0;0;0;0;0;0;0;0.2;0
TROIA;2013;19;0;0;0;0;0;0;1.2;0;0.2;0;1.8;0
TROIA;2013;20;0;0;0.2;0;0;0;0;2.2;2.4;0;3.4;0
TROIA;2013;21;0.6;0.2;2;1.2;1;0;0;0;0;0;0.4;0
TROIA;2013;22;3;1.2;0;0.2;24.8;0;0;0;0;0;10.4;0
TROIA;2013;23;12.4;9.8;0;0;26.6;0;0;2.8;0;0;5.8;0
TROIA;2013;24;10.6;0;0;0.2;0.2;0;0;0.6;0;0;0;0
TROIA;2013;25;0.8;0.4;5.6;0;2.4;0.4;0.4;1.4;0;0;5.2;0
TROIA;2013;26;0;0;7.2;0;0.4;0;0;0;0;0;9.6;2.8
TROIA;2013;27;0;0;3.6;1.4;0;0;0;13.4;0;0;1.8;0.2
TROIA;2013;28;0;0;1.4;0;0;0;0;0;0;0;2.6;0
TROIA;2013;29;0.6;NA;0;0;0;0;0;0;0;0;0;0
TROIA;2013;30;0;NA;0;0;0;0;0;0;7.8;0;10.6;2.4
TROIA;2013;31;0;NA;3.6;NA;0;NA;0;0;NA;0;NA;0
