stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
VOLTURINO;2013;1;0;0;0;0;0;4;0;0;0;1.4;0;100.8
VOLTURINO;2013;2;0;5.8;5.8;9.6;1.6;0.2;0;0;0;0;0;27.6
VOLTURINO;2013;3;0;6.6;0;5.4;0;7.2;0;0;0;0;0;3.4
VOLTURINO;2013;4;0;0;0;0;0;1.4;0;0;0;0;0;0
VOLTURINO;2013;5;0;0;0.8;4;4.2;7.8;0;0;0;17;27.4;0
VOLTURINO;2013;6;0;1.4;0.6;0;5;0.2;0;0;0;8.6;0;0
VOLTURINO;2013;7;0;1.6;1;0;5.6;0;0;0;0;0.2;0;0
VOLTURINO;2013;8;0;1.8;0.4;0;5.4;0;0;0;0;0.6;0;0
VOLTURINO;2013;9;0;0.6;0;0;0;0;0;11.6;1.6;2.2;0;0
VOLTURINO;2013;10;0;1.2;1.6;0;0;0;0;0;3;0.2;8.6;0
VOLTURINO;2013;11;4;0.8;8;0;0;0.6;3.2;0;0.2;3;13.8;0
VOLTURINO;2013;12;0.6;15;6;0;2;0;0;0;0;1.6;9;0
VOLTURINO;2013;13;1;11.6;4.6;0;0.8;0;2.2;0;0;0.2;18.4;0
VOLTURINO;2013;14;8;0;9.6;0;0;0;1.6;0.6;0;0;2.6;0
VOLTURINO;2013;15;0;0;2;0;0;0;0;0;0;0.2;0;0
VOLTURINO;2013;16;4.2;1.8;0.2;0;0.6;0;0;0;8.2;7;0;0.2
VOLTURINO;2013;17;6.6;0.6;0;0;0;0;0;0;1.6;0;11.8;0
VOLTURINO;2013;18;3.6;7.4;0.2;0;0.2;0;0;0;0.2;0;0.2;0
VOLTURINO;2013;19;1.8;2;0;0;0.2;0;8;0;0;0;5.4;0
VOLTURINO;2013;20;1;0;1.2;0;0;0;0;18.6;10.4;0;2.2;0
VOLTURINO;2013;21;2.6;0;0.6;0;3.2;0;0;0;0;0;1.6;0
VOLTURINO;2013;22;1.2;1.2;0;0.2;58.6;0;0;0;0.2;0;11.6;0
VOLTURINO;2013;23;20;9.6;0;0;10.8;0;0;6;0;0;9.4;0
VOLTURINO;2013;24;8.2;0.2;0;0;0;0;1.2;7.6;0;0;0.4;0
VOLTURINO;2013;25;0.8;0;5.2;0;0.8;1.6;8.8;3.6;0;0;1.4;0
VOLTURINO;2013;26;0;0;6.8;0;0.4;0.2;0;0;0;0;0;4.6
VOLTURINO;2013;27;0;0;4.4;1.6;0;0;0;10.2;0;0;10.4;0.4
VOLTURINO;2013;28;0;0;1.2;0;0;0;0;0;0;0;18;0.2
VOLTURINO;2013;29;0;NA;0;0;0;0.4;0;0;1.6;0;5.2;0
VOLTURINO;2013;30;0;NA;0;0;0;0;0;0;15;0;5;13.2
VOLTURINO;2013;31;0;NA;6;NA;0.4;NA;0;0;NA;0;NA;2
