stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
i FAETO;2013;1;0;0;0;2;0;10;0;0;0;2.4;0;100.8
i FAETO;2013;2;0.4;7.8;10.6;34.2;0.6;0.2;0;0;0;0;0;75.8
i FAETO;2013;3;0;9;0;9.8;0;0.6;0;0;0;0;0;17.2
i FAETO;2013;4;0;9;0;0;0.2;3.8;2.6;0;0;0;0;0
i FAETO;2013;5;0;0.2;0.4;6.4;21.8;4.2;0;0;0;12.8;13.6;0
i FAETO;2013;6;0.2;3;0.8;0;3.8;1.2;0;0;0;4.2;0;0
i FAETO;2013;7;0;3.6;5.4;0;0.6;0;0;0;0;0;0;0
i FAETO;2013;8;0;3;3.6;0;5.8;0;0;0;0;0;0.2;0
i FAETO;2013;9;0;1.2;0;1.4;0;0;0;54.8;7.8;2;0;0
i FAETO;2013;10;0;4.6;3.6;0;0;0;69.6;0.2;9;0;17.8;0
i FAETO;2013;11;4.2;1;4.2;0;0;3.2;33;0;1.2;1;12.2;0
i FAETO;2013;12;0.4;38.4;11.8;0.2;33;0.2;6.4;0;4.6;3;13.8;0.2
i FAETO;2013;13;6;14.8;7.4;0;0;0;2.2;0;0;0.4;17.6;0.2
i FAETO;2013;14;19.4;0;13.6;0;0;0;58.6;2.8;0;0;2.6;0
i FAETO;2013;15;0.2;0.2;2.8;0;0;0;0;0;0;0;0;0.2
i FAETO;2013;16;5.6;1;2.2;0;0.6;0;0;0;2.8;3.4;1.4;0
i FAETO;2013;17;10.4;1.8;0;0;0.6;0;0;0;2.8;0.2;7.4;0
i FAETO;2013;18;0.4;2.8;1;0;0.2;0;0;0;0;0;0.6;0
i FAETO;2013;19;1.6;4.4;0;0;0;0;56.2;0;0;0;6;0
i FAETO;2013;20;3;0.2;3;0;0;0;0;9.6;5.6;0;5.2;0
i FAETO;2013;21;1.8;0.2;3;0;1;0;0;0;0;0;3;0
i FAETO;2013;22;2.8;5.4;0;0.2;28.6;0;0;0;0.2;0;29;0
i FAETO;2013;23;14;10.4;0;0;20.2;0.4;0;0;0;0;13.8;0
i FAETO;2013;24;20.6;2.6;0;0;0.2;0.2;0;0;0;0;0.4;0.2
i FAETO;2013;25;1.2;0;12.2;0;4.2;5.6;0;2.2;0;0;1.6;0
i FAETO;2013;26;1;0;9;0;1;0;0;0;0;0;0;13.2
i FAETO;2013;27;0;0;4.4;5.6;0;0.4;0;26;0;0;5.8;0.6
i FAETO;2013;28;0.4;0;2;0;0;0;0;0;0;0;13.2;0.2
i FAETO;2013;29;0.4;NA;0.4;0;1.4;0;0;0;1.6;0.2;13.8;0
i FAETO;2013;30;0;NA;4.8;0;1;0;0;0;17;0.2;8.2;4
i FAETO;2013;31;0;NA;18.4;NA;5;NA;0;0;NA;0;NA;0.2
