stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ANDRETTA;2015;1;1.6;8;0.4;0.2;0;0;0;0;0;0.8;0.2;0.2
ANDRETTA;2015;2;0.8;6.8;0.2;0;0;0;0;0.4;0;0;0;0.2
ANDRETTA;2015;3;0;9.6;0;0.2;0;0;0;0;0;0.2;0;0.2
ANDRETTA;2015;4;1.8;15.8;3.8;12;0;0;0;0.2;0;0;0;0.2
ANDRETTA;2015;5;2.8;6.6;3;7.2;0;0;0;0;8.6;2.2;0;0
ANDRETTA;2015;6;0;4.8;7;4.8;0;0;0;0;0;0;0.2;0
ANDRETTA;2015;7;0;1.4;0.8;1.8;0;0;0;0;0;1.2;0;0
ANDRETTA;2015;8;0;0.2;0;2.4;0.2;1.8;0;0;0;0;0;0.2
ANDRETTA;2015;9;0.2;0;0;0;0.6;0.8;0;0.8;1.4;7.6;0.2;0
ANDRETTA;2015;10;0;1.8;0;0;0;0;0;0.4;1.4;18.6;0.2;3
ANDRETTA;2015;11;1.2;0;0;0;0;0;0;4.4;1.6;40.8;0;0.4
ANDRETTA;2015;12;0;0.8;2;0;0;0;0;5;0;0;0;0
ANDRETTA;2015;13;0;0;0;0;0;0;0;0;0;0;0.2;0.2
ANDRETTA;2015;14;0;0;0;0;0.2;0;0;0;0;1.4;0;0.2
ANDRETTA;2015;15;0.2;0;0.6;0;0;0;0;1.6;0;28;0;0.2
ANDRETTA;2015;16;0.2;0;0;0;0;0;0;6;0;0;0;0.2
ANDRETTA;2015;17;0;0.4;5.4;0;0;7;0;0;0;0;0;0
ANDRETTA;2015;18;19.8;0.4;0.2;0;0;0;0;0.2;0;0;0.4;0.2
ANDRETTA;2015;19;5.2;0;0;0.2;0;0;0;0.6;0;6.8;0;0
ANDRETTA;2015;20;1.2;0;0;0;0;3.4;0;1;15.2;29;0;0.2
ANDRETTA;2015;21;4.4;1;0;0;3.2;0;0;0;1.8;0.6;9.4;0
ANDRETTA;2015;22;12.2;20.8;26.2;0;3;0;0;0;0;9.6;0.6;0
ANDRETTA;2015;23;3.4;1.6;2.8;0;0;0;34.4;0;0.4;1.2;0;0
ANDRETTA;2015;24;4;0.4;0.4;0;9.6;0;9.2;0;18.8;0;7.4;0.2
ANDRETTA;2015;25;0;6;8.8;0;0.2;0;0;0;0.2;0;2.8;0.2
ANDRETTA;2015;26;0.4;1.2;3.8;0;3.8;0;0.2;0;0;0;10.8;0
ANDRETTA;2015;27;0;4;0.2;4.8;1;0;0;1;0;0;6.2;0
ANDRETTA;2015;28;0.6;0;1.8;16.6;0;0.2;0.2;0;0;0.2;0;0
ANDRETTA;2015;29;3.6;NA;0;3.6;0;0;0;0;0;26.4;0;0.2
ANDRETTA;2015;30;32;NA;0;0.2;0;0;0;0;0;5.2;0.2;0.4
ANDRETTA;2015;31;5;NA;0.2;NA;0;NA;0;0;NA;0.8;NA;0
