stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ATELLA;2015;1;6;8.8;0;0;0;0;0;0;0;0.2;0;0
ATELLA;2015;2;0;3;0;0;0;0;0;0;0;0;0;0.2
ATELLA;2015;3;0.2;2.4;0;0;0;0;0;0;0;0;0;0
ATELLA;2015;4;0.2;2.8;2.2;0;0;0;0;0;0;0;0;0.2
ATELLA;2015;5;0.4;1.4;7.6;12.6;0;0;0;0;2.4;1;0;0
ATELLA;2015;6;0;4.8;56.4;7.2;0;0;0;0;0;0;0;0
ATELLA;2015;7;0;0;0.8;1.2;0;0;0;0;0;0.4;0.4;0.2
ATELLA;2015;8;0;1;1.4;0;0;1.4;0;0;0;0;0;0
ATELLA;2015;9;0;7.4;0;0;5.6;0;0;16.4;1.4;2.8;0;0
ATELLA;2015;10;0;2;0;0;1.8;0;0;0.2;2;15.2;0;2.6
ATELLA;2015;11;0.6;0;0;0;0;3.8;0;6;0;18.8;0;0.2
ATELLA;2015;12;0;0.4;4;0;0;0;0;3.2;0.2;0;0;0.2
ATELLA;2015;13;0;0;0;0;0;0;0;0;0;0;0.4;0
ATELLA;2015;14;0;0;0;0;0;0;0;3.2;0;0;0.2;0.2
ATELLA;2015;15;0;0;0;0;0;0;0;0.8;0;9.8;0;0
ATELLA;2015;16;0.2;0;0;0;0;0;0;0.2;0;0;0;0.2
ATELLA;2015;17;0;0.2;2.2;0;0;37.8;0;0;0;0;0.2;0
ATELLA;2015;18;9.4;3.6;0;0;0;0;0;0;0;0;0;0.2
ATELLA;2015;19;5;0;0;0;0;0.4;0;0;0;3.4;0.2;0
ATELLA;2015;20;0.4;0;0;0;0;6;0;0;27.4;27.4;0;0
ATELLA;2015;21;0.2;0.2;0;0;0.2;0;0;0;5.4;1.6;4.2;0.2
ATELLA;2015;22;15.6;10.6;15.2;0;8;0;3.4;0;0;18.2;0;0
ATELLA;2015;23;2.2;0.4;7.6;0;0;0;0.4;0;0;1;0;0
ATELLA;2015;24;8.6;0.2;0.2;0;6.6;0;0.2;0;18;0;5.6;0
ATELLA;2015;25;0;8.8;6.2;0;0.2;0;0;0;0;0;4.6;0.8
ATELLA;2015;26;1;0.4;0;0;6.8;0;0;0;0.2;0;15.6;0
ATELLA;2015;27;0;8.2;2.6;2.6;2.8;0;0;0;0;0.2;5.4;0.2
ATELLA;2015;28;1;0.2;6.4;10.6;0;0;0;0;0;0;0;0
ATELLA;2015;29;7.4;NA;0;3;0;0;0;0;0;18.2;0.2;0
ATELLA;2015;30;36.8;NA;0;0;0;0;0;0;0;16.2;0.2;0.2
ATELLA;2015;31;2.2;NA;0;NA;0;NA;0;0;NA;0.6;NA;0
