stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASAMASSIMA;2015;1;11.8;0.8;0;0;0;0;0;0;0;0;0;0
CASAMASSIMA;2015;2;0;2;0;0;0.4;0;0;0;0;0.4;0;0.2
CASAMASSIMA;2015;3;0;0;0;0;0;0;0;0;0;4.2;0;0.2
CASAMASSIMA;2015;4;0.2;0.2;2.8;0;0;0;0;0;1;0.4;0.2;0
CASAMASSIMA;2015;5;0.6;0.6;3.8;6.2;0;0;0;0;0.6;0.2;0;0.2
CASAMASSIMA;2015;6;0.4;0.8;43.6;4.6;0;0;0;0;0;0.4;0.2;0.2
CASAMASSIMA;2015;7;0;0;7.4;11.6;0.8;0;0;0;0;13.4;0;0
CASAMASSIMA;2015;8;0;5;0;0;0;0;0;0;0;0;0;0.2
CASAMASSIMA;2015;9;0.2;0.2;0;0;0;0;0;0;1.6;2.8;0;0.2
CASAMASSIMA;2015;10;0;5.8;0;0;0;0;0;0;2.6;5.8;0;1.2
CASAMASSIMA;2015;11;2.2;0.2;0;0;0;0;0;13.2;0;2.6;0;0.2
CASAMASSIMA;2015;12;0.2;1.6;6.6;0;0;1.2;0;0;0;0;0;0
CASAMASSIMA;2015;13;0;0;0;0;0;0;0;0;0;0.2;0.2;0.2
CASAMASSIMA;2015;14;0;0;0;0;0;0;0;0;0;0;0.2;0
CASAMASSIMA;2015;15;0;0;0;0;0;0;0;0.8;0;0.2;0;0.2
CASAMASSIMA;2015;16;0;0;0;0;0;0;0;0;0;9.4;0.2;0
CASAMASSIMA;2015;17;0;0;0;0;0;19.2;0;0;0;0;0.2;0
CASAMASSIMA;2015;18;11.4;0;0;0;2.8;3;0;0;0;0;0.2;0
CASAMASSIMA;2015;19;3.6;0;0.2;0;13.6;0;0;0;0;0;0.2;0
CASAMASSIMA;2015;20;1.2;0;0;0;0;14.6;0;0.4;29.4;15.6;0;0.2
CASAMASSIMA;2015;21;2;0.4;0;0;1.6;0.2;0;0;17.6;3;2;0.4
CASAMASSIMA;2015;22;15.6;28;4.2;0;5.2;0;0;0.4;0;34.6;0;0.2
CASAMASSIMA;2015;23;1;8.2;11;0;0;0;0;0;0;11.6;4.8;0
CASAMASSIMA;2015;24;6.6;2.6;0.2;0.2;6.6;3.4;2.4;0;6;0;1;0.2
CASAMASSIMA;2015;25;5.6;6.2;14.2;0;0;0;0;0;0;0.2;8;0
CASAMASSIMA;2015;26;2.2;1;0;0;5;0;0;0;1.2;0;13.2;0
CASAMASSIMA;2015;27;0.2;29.8;33.8;1.4;0;0;0;0;0;0.2;12.2;0
CASAMASSIMA;2015;28;0;0.2;12.8;1.8;0;0.4;0;0;0;0.2;7.8;0
CASAMASSIMA;2015;29;0;NA;0;0.2;0;0;0;0;0;4.2;0;0.4
CASAMASSIMA;2015;30;12.6;NA;0;2.8;0;0;0;0;0;5.6;0;0.2
CASAMASSIMA;2015;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
