stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;1;12.4;9.8;0;0;0;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;2;0.8;1;0;0;0.6;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;3;0;2;0;0;0;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;4;0;3.4;0.8;1.4;0;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;5;0;0;2.6;15.4;0;0;0;0;3.2;2;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;6;0;1.4;28.8;4.8;0;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;7;0;0;0.2;0;0;0;0;0;0;0.8;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;8;0;7.6;0.2;0;0;0.8;0;0;0;0.2;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;9;0;0.4;0;0;0;0.4;0;2.8;1;4;0;0.2
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;10;0;0;0;0;8;6.4;0;10.6;1.4;15.6;0;0.6
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;11;0.2;0;0;0;0;0;0;18.4;0;13.2;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;12;0;0;3.2;0;0;0.2;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;13;0;0;0;0;0;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;14;0;0;0;0;0;0;0;0;0;0;0.2;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;15;0;0;0;0;0;0;0;9.6;0;18.6;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;16;0;0;0;0;0;0;0;0;0;0;0;0.2
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;17;0;0;2.8;0;0;9.8;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;18;10;1.8;0.2;0;0;0;0;0;0;0;0.2;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;19;7.6;0;0;0.4;5.6;2.6;0;0;0;2;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;20;0.2;0;0;0;0;26;0;0;23.2;23.8;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;21;0;0;0;0;0.4;0;0;0;1.4;3.2;1.2;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;22;20;5;23.2;0;10.8;0;0;0;0;21.2;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;23;11;2.2;11.8;0;0;0;1.2;0;0;0;0.2;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;24;7;0;0;9.4;3.6;0.2;0.2;0;18.2;0;5;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;25;1.8;13.4;2;0;0;0;0;0;0.2;0;5.8;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;26;0.2;0.4;0;0;0.8;0;0;0;0;0;12;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;27;0;23;0.6;3.2;3;0;0;2.8;0;0;3.2;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;28;0.2;0;1.8;7.4;0;0;0;0;0;0;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;29;1;NA;0;1.6;0;0;0;0;0;14.2;0;0
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;30;27.2;NA;0;0;0;0;0;0;0;7.2;0;0.2
DIGA ABATE ALONIA SUL TORRENTE RENDINA;2015;31;2.4;NA;0;NA;0;NA;0;0;NA;0.2;NA;0
