stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;1;0;2.4;0;0;0;0;0;0;0;0.4;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;2;0;0;0;0;0.6;0;0;0.6;0;6;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;3;0;2.2;0;0;0;0;0;0;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;4;0;5.2;3.8;0.6;0;0;0;0;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;5;0.4;1.2;20.6;7.6;0;0;0;0;0;0.4;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;6;0;0.8;7.4;1.8;0;0;0;0;0;0;0;0.2
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;7;0;0;0;0;0;0;0;0;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;8;0;2.4;0;0.2;0;3.4;0;0;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;9;0;0.2;0;0;0;16.6;0;0;0;47.8;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;10;0;0.4;0;0;0;0;0;14;1.4;22.4;0;0.6
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;11;1;0.4;0;0;0;0;0;10.6;0;3.6;0;1.6
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;12;0;2.6;0.8;0;0;0;0;6.6;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;13;0;0;0;0;0;0;6.2;0;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;14;0;0;0;0;0;0;0;0;0;7.2;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;15;0;0;0.6;0;0;0;0;0.2;0;77;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;16;0;0;0;0;0;0;0;1;0;0;0;1.4
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;17;0;0.6;4;0;0;27.8;0;0;0;0;0.2;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;18;17;0;0;0;0;0;0;0;0;0;0.2;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;19;2.8;0;0;3.2;0;0;0;2.2;0;22.4;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;20;0.6;0;0;0;0;7.6;0;0;11.6;1.6;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;21;0.4;0;0;0;6.4;0.2;0;0.4;0.2;1;0;0.2
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;22;27.8;11;9;0;3;0;0;0;0;3;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;23;9.4;0;1.4;0;0;0;0;0;0;0.2;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;24;5.6;0;0;0.6;2.8;1.4;2.6;0;33.2;0;1.4;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;25;0;9.6;14.2;0;0;0;1.2;0;0;0;0.4;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;26;0;0;0;0;14;0;0;0;0;0;12.6;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;27;0;3.8;2.6;2.4;0;0;0;0;0;0;15.8;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;28;0.6;0;3.6;2.2;0;0;0;0;0;0;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;29;0;NA;0;0.2;0;0;0;0;0;12.6;0;0
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;30;3.6;NA;0;0.4;0;0;0;0;0;5.4;0;0.2
DIGA TORREBIANCA SUL TORRENTE CELONE;2015;31;5;NA;0;NA;0;NA;0;0;NA;0;NA;0
