stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GINOSA;2015;1;0;0.8;0;0;0;0;0;0;0;0;0;0
GINOSA;2015;2;0;2.8;0;0;0.6;0;0;0;0;31.8;0;0
GINOSA;2015;3;0;0;0;0;0;0;0;2.6;0;3.4;0;0
GINOSA;2015;4;0.4;0.2;1.4;0;0;0;0;0;0;0.2;0;0
GINOSA;2015;5;0.2;0;4;9;0;0;0;0;0;0;0;0.2
GINOSA;2015;6;0;3.6;9;0.4;0;0;0;0;0;0;0;0
GINOSA;2015;7;0;0;4;1;0;0;0;0;1.2;0.2;0;0
GINOSA;2015;8;0;0.8;0;0;0;20.2;0;1.6;0;3.2;0;0
GINOSA;2015;9;0;0;0;0;3.2;5.8;0;0;2;3.6;0;0
GINOSA;2015;10;0;1.6;0;0;0;0;0;5.6;0;26.4;0;0
GINOSA;2015;11;0;0.8;0;0;0;0;0;9.8;0;1.8;0;0
GINOSA;2015;12;0;1.8;4.2;0;0;0;0;26.4;0;0;0;0
GINOSA;2015;13;0;0;0;0;0;0;0;0;0;0;0;0
GINOSA;2015;14;0;0;0;0;0;0;0;0;0;0;0;0
GINOSA;2015;15;0;0;0;0;0;0;0;0;0;3;0;0
GINOSA;2015;16;0;10.6;0;0;0;0;0;0.4;0;0;0;0
GINOSA;2015;17;0;0;9;0;0;28.6;0;0;0;0;0;0
GINOSA;2015;18;13;0;0.8;0;0.8;0;0;0;0;0;0;0
GINOSA;2015;19;9.6;0;0;0;1.2;0;0;0.8;0;0.2;0;0
GINOSA;2015;20;1.2;0;0;0;0;3.4;0;0.2;5.6;2.2;0;0
GINOSA;2015;21;1.2;1.2;0;0;1;0;0;0;7.6;8.8;0.4;0
GINOSA;2015;22;25.6;13.4;23.2;0;12;0;0;0;0;15.4;0.2;0
GINOSA;2015;23;4.8;1.6;0.8;0;0;0;0;0;0;0.4;5.4;0
GINOSA;2015;24;0;3;3.4;3.4;25.8;2.2;0;0;5.6;0;1.8;0
GINOSA;2015;25;0;3.2;20.2;0.4;0;0.2;0;0;0;0;4;0
GINOSA;2015;26;0;3.6;0;0;0;0;0;0;0;0;12.8;0
GINOSA;2015;27;0;9;21.2;0;0;0;0;0;0;0;2.2;0
GINOSA;2015;28;0;0;1.4;1;0;0;0;0;0;0;0;0
GINOSA;2015;29;0;NA;0;0.8;0;0;0;0;0;7;0;0
GINOSA;2015;30;10;NA;0;8.2;0;0;0;0;0;8.8;0;0
GINOSA;2015;31;0.2;NA;0;NA;0;NA;0;0;NA;0.6;NA;0
