stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ISOLE TREMITI (SAN NICOLA);2015;1;0;1.8;0;0;0;0.2;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;2;0;18;0;0;0.4;0.2;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;3;0;0.4;0;0;0;0;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;4;0;1.2;2.2;2.4;0;0;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;5;1.4;11.4;33.2;9;0;0;0;0;3.6;0.6;0;0
ISOLE TREMITI (SAN NICOLA);2015;6;0;0;0.6;3.6;0;0;0;0;0;0;0;0.2
ISOLE TREMITI (SAN NICOLA);2015;7;0;0;0;0;0;0.2;0;0;0;5.4;0;0.2
ISOLE TREMITI (SAN NICOLA);2015;8;0;6.4;0;0;0;0.2;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;9;0;1;0;0;0;0;0;0;0;8.2;0;0
ISOLE TREMITI (SAN NICOLA);2015;10;0;1.4;0.4;0;0.6;0;4;0;0;42;0;0.2
ISOLE TREMITI (SAN NICOLA);2015;11;3.4;0;0;0;0;0;0;26.8;0;3;0.2;0
ISOLE TREMITI (SAN NICOLA);2015;12;0;0.6;1;0.2;0;0;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;13;0;0;0;0;0;0;0;0;0;4.4;0;0
ISOLE TREMITI (SAN NICOLA);2015;14;0;0;0;0;0;0;0;2.6;0;6.6;0;0
ISOLE TREMITI (SAN NICOLA);2015;15;0;0;0;0;0;0;0;0;0;9;0;0
ISOLE TREMITI (SAN NICOLA);2015;16;0;0;0;0;0;0;0;12.2;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;17;0;0;0;0;0;11.2;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;18;16.2;0;0.2;1.2;0;0;0;0;0;0;0;0
ISOLE TREMITI (SAN NICOLA);2015;19;4.4;0;0;4.2;0.2;0;0;1.8;0.2;1.8;0;0
ISOLE TREMITI (SAN NICOLA);2015;20;0.8;0;0;0;0;3.2;0;0.4;3.8;0.2;0;0
ISOLE TREMITI (SAN NICOLA);2015;21;0;0.2;0;0;1.2;0;0;0;0;1.8;0;0.2
ISOLE TREMITI (SAN NICOLA);2015;22;1;5.2;7;0;9.4;0;0;0;0;1.6;0.2;0
ISOLE TREMITI (SAN NICOLA);2015;23;10.6;5.6;0.4;0;0;0;1.8;0;0;0;0.8;0
ISOLE TREMITI (SAN NICOLA);2015;24;6.8;0.2;0;3.2;0;1.2;0;0;9.6;0;4.8;0.2
ISOLE TREMITI (SAN NICOLA);2015;25;0.6;7.6;9.4;0;0;0;0;0;4.8;0;0.4;0
ISOLE TREMITI (SAN NICOLA);2015;26;0;3.6;0;0;0;0;0;0;0;0;53.8;0
ISOLE TREMITI (SAN NICOLA);2015;27;7.2;0.8;2.8;2.4;0;0;0;0;0;0;21.6;0
ISOLE TREMITI (SAN NICOLA);2015;28;2.6;0;0.4;0.8;0;0;0;0;0.2;0.2;1;0
ISOLE TREMITI (SAN NICOLA);2015;29;0;NA;0;0;0;0;0;0;0;18;0;0
ISOLE TREMITI (SAN NICOLA);2015;30;0.4;NA;0;0;0;0;0;0;0;2.2;0;0
ISOLE TREMITI (SAN NICOLA);2015;31;5;NA;0;NA;0;NA;0;0;NA;0;NA;0
