stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LATIANO;2015;1;0;0;0;0;0;0;0;0;0;2.8;0;0
LATIANO;2015;2;0;3.4;0.2;0;0;0;0;0;0;0;0;0.2
LATIANO;2015;3;0;0;0;0;0;0;0;0;0;0.2;0.2;0.4
LATIANO;2015;4;0;0;1;0;0;0;0;0;0;0.2;0.4;0.2
LATIANO;2015;5;0.2;0.2;22.2;7;0;0;0;0;0;0;0;0.2
LATIANO;2015;6;13.4;4;18.8;5.6;0;0;0;0;0;0.2;0.2;0.2
LATIANO;2015;7;0;0;1;0.6;0;0;0;0;0.6;1.2;0;0.2
LATIANO;2015;8;0;5.6;0;0;0;0.2;0;0;0;2;0.2;0.2
LATIANO;2015;9;0;1;0;0;0;0.2;0;0;2.4;2.4;0;0
LATIANO;2015;10;0;0.2;0;0;0;0;0;0;0.2;17.8;0;0
LATIANO;2015;11;0.2;1.2;0;0;0;0;0;6.2;0.6;1.8;0;0
LATIANO;2015;12;0;0;0;0;0;0;0;8.6;0;0;0;0
LATIANO;2015;13;0;0;0;0.2;0;0;0;0;0;0;0;0.2
LATIANO;2015;14;0;0;0;0;0;0;0;0;0;0;0;0.2
LATIANO;2015;15;0;0;0;0;0;0;0;0;0;7.4;0;0
LATIANO;2015;16;0;0.2;0;0;0;0;0;4.4;0;5.6;0.2;0.2
LATIANO;2015;17;0;0;0.4;0;0;12.4;0;0;0;0;0.2;0
LATIANO;2015;18;11.2;0;0.6;0;10;0.2;0;0;0;0;0;0
LATIANO;2015;19;20.2;0;0;0;30;0;0;0;0;0;0.2;0.8
LATIANO;2015;20;4.2;0;0;0;0;3.2;0;0;54.4;0.2;0;0.2
LATIANO;2015;21;25.4;3.4;0;0;0.2;0.2;0;0;14.2;5;0;0.2
LATIANO;2015;22;9.6;43.4;4;0;0.2;0;0;0;0;34.4;0.8;0.2
LATIANO;2015;23;5.4;1.4;17;0;0;0;0;0;0;0;8.8;0
LATIANO;2015;24;14.6;11.6;0;0.2;3.6;2;13;0;5.2;0;1.8;0.4
LATIANO;2015;25;0;10.2;12.8;0;0.4;0;0;0;0;0;8.2;0
LATIANO;2015;26;0;7;0.8;0;6.8;0;0;0;0;0;59.4;0
LATIANO;2015;27;1;25;10.8;0.2;0.2;0;0;0;0;0;1.6;0.4
LATIANO;2015;28;0.4;4;5;0.6;0;0;0;0;0;0;0.6;0
LATIANO;2015;29;4.6;NA;0;0.4;0;0;0;0;0;8;0;0
LATIANO;2015;30;6.4;NA;0;7.8;0;0;0;0;0;5.4;0.2;0
LATIANO;2015;31;1.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
