stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LIZZANO;2015;1;0;0.2;0;0;0;0;0;0;0;0;0;0
LIZZANO;2015;2;0;5.4;0;0;0.2;0;0;0;0;0;0;0
LIZZANO;2015;3;0;0;0;0;0;0;0;1.8;0;6.8;0;0
LIZZANO;2015;4;0;0;0.4;0;0;0;0;0;0;0.2;0;0.2
LIZZANO;2015;5;0.4;5.6;19.4;1.6;0;0;0;0;0;0;0;0
LIZZANO;2015;6;0.8;1.2;13.4;0.4;0;0.4;0;0;0;0;0;0
LIZZANO;2015;7;0;0;1;0.6;0;0;0;0;6.6;16.8;0;0.2
LIZZANO;2015;8;0;0.2;0;0.2;0;0.8;0;0;0;0.2;0;0
LIZZANO;2015;9;0;0.6;0;0;0.6;0.4;0;0.2;2;1.8;0;0
LIZZANO;2015;10;0;0.2;0.2;0;0;0;0;0;0;30.8;0;0
LIZZANO;2015;11;0;0;0.6;0;0;0;0;20.4;0;0;0;0.2
LIZZANO;2015;12;0;0;0;0;0;0;0;24.8;0;0;0;0
LIZZANO;2015;13;0;0;1.4;0;0;0;0;0;0;0;0;0
LIZZANO;2015;14;0;0;0;0;0;0;0;0;0;0;0;0
LIZZANO;2015;15;0;0;0;0;0;0;0;0;0;2.2;0;0
LIZZANO;2015;16;0;5;0;0;0;0;0;4;0;4.4;0;0
LIZZANO;2015;17;0;0;3.2;0;0;13.4;0;0;0;0;0;0
LIZZANO;2015;18;13.2;0;1;0;1.8;0;0;0;0;0.2;0.2;0
LIZZANO;2015;19;12.2;0;0;0;3.4;0;0;0;0;0;0;0
LIZZANO;2015;20;4.2;0;0;0;0;0;0;0.2;14.4;2;0;0
LIZZANO;2015;21;13.8;7.2;0;0;0.4;0;0;0;18;14.2;0;0.2
LIZZANO;2015;22;5.2;29.2;3.4;0;0;0;0;0;0;31.4;0.6;0
LIZZANO;2015;23;3.8;2;17;0;0;0;0;0;0;0.2;3.6;0
LIZZANO;2015;24;2.8;14.8;0.8;0;0;3.2;15.6;0;0;0;2.8;0.2
LIZZANO;2015;25;1.2;4.8;6.6;0;0;0;0;0;0;0;7.4;0
LIZZANO;2015;26;0;3.2;3.4;0.2;0;0;0;0;0;0;18.6;0
LIZZANO;2015;27;0.4;40.8;9.2;0;0;0;0;0;0;0;0.6;0
LIZZANO;2015;28;0;1.4;0.6;1;0;0;0;0;0;0;0.6;0
LIZZANO;2015;29;0;NA;0;0.2;0;0;0;0;0;13.4;0;0.2
LIZZANO;2015;30;2.6;NA;0;6.8;0;0;0;0;0;6.8;0;0
LIZZANO;2015;31;3;NA;0;NA;0;NA;0;0;NA;0;NA;0
