stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONTE SANT'ANGELO;2015;1;0;6.8;0;0;0;0;0;0;0;0;0;0
MONTE SANT'ANGELO;2015;2;0;0;0;0;0.6;0;0;0.6;0;0.8;0;0
MONTE SANT'ANGELO;2015;3;0;1.4;0;0;0;0;0;0.2;0;0;0;0
MONTE SANT'ANGELO;2015;4;0.8;2.4;3.4;5.4;0;0;0;0;0;0;0;0
MONTE SANT'ANGELO;2015;5;0;3.6;7.4;10.2;0;0;0;0;0.4;0;0;0
MONTE SANT'ANGELO;2015;6;0;0.8;2.8;2.6;0;0;0;0;0;0.2;0;0
MONTE SANT'ANGELO;2015;7;0;0.2;0;0;0;0;0;0.6;0;0.2;0;0
MONTE SANT'ANGELO;2015;8;0;0.4;0;0;0;0;0;1.2;0;0;0;0
MONTE SANT'ANGELO;2015;9;0;0;0;0;0;0;0;0;0;20;0;0
MONTE SANT'ANGELO;2015;10;0;0.8;0;0;0;0;3.2;5;7.6;45;0;0
MONTE SANT'ANGELO;2015;11;5.8;0;0;0;0;0;0;2;0;3.6;0;0.2
MONTE SANT'ANGELO;2015;12;2.6;0;1.2;0;0;0;0;0;0;0.4;0;0
MONTE SANT'ANGELO;2015;13;0;0;0;0;0;0;0;0;0;0.4;0;0
MONTE SANT'ANGELO;2015;14;0;0;0;0;0;0;0;0;0;1.4;0.2;0
MONTE SANT'ANGELO;2015;15;0;0;1.4;0;0;0.6;0;1.2;0;91.2;0;0
MONTE SANT'ANGELO;2015;16;0;1.8;0.2;0;0;0;0;0.8;0;0;0;0
MONTE SANT'ANGELO;2015;17;0;0;0;0;0;5.8;0;0;0;0;0;0
MONTE SANT'ANGELO;2015;18;11.8;0;0;0;0;0.4;0;0;0;0;0;0
MONTE SANT'ANGELO;2015;19;4;0;0;0;0;0;0;0;0;7.2;0;0
MONTE SANT'ANGELO;2015;20;0.6;0;0;0;0;12.2;0;0;17.8;2;0.2;0.2
MONTE SANT'ANGELO;2015;21;0;0;0;0;5.8;0.6;0;0;4.8;0.4;0;0
MONTE SANT'ANGELO;2015;22;13.2;31.8;20.2;0;8.4;0;0;3.2;0;4.8;0;0
MONTE SANT'ANGELO;2015;23;20.2;0;2.2;0;1;0;0;0;0;0;2;0
MONTE SANT'ANGELO;2015;24;7.6;5.2;0;0.6;7.4;0;0;0;36.2;0;4;0
MONTE SANT'ANGELO;2015;25;0;7.6;34.8;1;0;0;0;0;2;0;0.4;0.2
MONTE SANT'ANGELO;2015;26;0;1.8;0;0;2;0;3.6;0;0.2;0;25;0
MONTE SANT'ANGELO;2015;27;1.2;3.4;0.6;7.6;0;0;0;0;0.6;0;65;0
MONTE SANT'ANGELO;2015;28;0.6;0;0;2;0;0;0;0;1.4;0;0.2;0
MONTE SANT'ANGELO;2015;29;1;NA;0;0.4;0;0;0;0;0;12.6;0.2;0
MONTE SANT'ANGELO;2015;30;5.4;NA;0;2.8;0;0;0;0;0;18;0;0
MONTE SANT'ANGELO;2015;31;10.4;NA;0;NA;0;NA;0;0;NA;0;NA;0
