stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ORTANOVA;2015;1;12.8;4.4;0;0;0;0;0;0;0;0;0;0
ORTANOVA;2015;2;0;0.8;0;0;0.6;0;0;0.2;0;0;0;0
ORTANOVA;2015;3;0;0.4;0;0;0;0;0;0;0;0;0;0
ORTANOVA;2015;4;0;2.4;2.4;1;0;0;0;0;0.2;0;0;0
ORTANOVA;2015;5;0.2;5.4;5;4.2;0;0;0;0;0;0.8;0;0
ORTANOVA;2015;6;0;1;20.2;3.2;0;0;0;0;0;0.2;0;0
ORTANOVA;2015;7;0;0;0;0;0;0;0;0;0;0;0;0.2
ORTANOVA;2015;8;0;6.6;0;0.2;0;0;0;0;0;0;0;0
ORTANOVA;2015;9;0;0.2;0.2;0;0.2;2;0;0;0;5.6;0;0
ORTANOVA;2015;10;0;0;0;0;0;0;0;4.4;1.4;21.4;0;0.2
ORTANOVA;2015;11;1.2;0;0;0;0;0;0;0;0;2;0;0.2
ORTANOVA;2015;12;0;0;0.6;0;0;0;0;0;0;0;0;0
ORTANOVA;2015;13;0;0;0;0;0;1;0;0;0;0;0;0
ORTANOVA;2015;14;0;0;0;0;0;0;0;1.2;0;0;0.2;0
ORTANOVA;2015;15;0;0;0.4;0;0;0;0;2.6;0;45.4;0;0
ORTANOVA;2015;16;0;0;0;0;0;0;0;0.6;0;0;0;0
ORTANOVA;2015;17;0;0;2.8;0;0;15.8;0;0;0;0;0;0
ORTANOVA;2015;18;9.6;0;0;0;0;0;0;0;0;0;0;0
ORTANOVA;2015;19;8.2;0;0;1;0;0;0;0;0.2;23.6;0;0
ORTANOVA;2015;20;0.4;0;0;0;0;33.6;0;0;25.4;8.6;0;0
ORTANOVA;2015;21;0.2;0;0;0;3.8;0;0;0;3.6;1.2;0;0
ORTANOVA;2015;22;27.4;3.8;19.8;0;8.8;0;0;0;0;11.2;0;0
ORTANOVA;2015;23;14.2;0.2;5.8;0;0;0;0.2;0;0;0;0;0
ORTANOVA;2015;24;4;0.4;0;3.6;17.2;0.8;0;0;20.6;0;2.6;0
ORTANOVA;2015;25;0;5.8;13.8;0;0;0;0.8;0;0;0;2.2;0
ORTANOVA;2015;26;0;0.4;0;0;4.2;0;0;0;0;0;13.4;0
ORTANOVA;2015;27;0;4.6;0.4;5.8;6.6;0;0;0;0;0;12.2;0
ORTANOVA;2015;28;0.2;0;2.8;1.8;0;0;0;0;0;0;0;0
ORTANOVA;2015;29;0;NA;0;0.2;0;0;0;0;0;11.2;0;0
ORTANOVA;2015;30;4.8;NA;0;0;0;0;0;0;0;0.8;0;0
ORTANOVA;2015;31;2.6;NA;0;NA;0;NA;0;0;NA;0;NA;0
