stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
OTRANTO;2015;1;0;4.6;3.2;0;0;0;0;0;0.2;0;0;0
OTRANTO;2015;2;0;3;0;0;0;0;0;0;0;0;0;0
OTRANTO;2015;3;0;1.4;0;0;0;0;0;0;0;6.2;0;0
OTRANTO;2015;4;0;2;0.4;0;0;0;0;0;0;2.6;0;0
OTRANTO;2015;5;0;0;32.4;0.8;0;0;0;0;0;0;0;0
OTRANTO;2015;6;2.2;4.8;33;0.2;0;0;0;0;0;0;0;0
OTRANTO;2015;7;0;6.8;0;0.8;0;0;0;0;0;2.2;0;0.2
OTRANTO;2015;8;0;0.6;0;0;0;0;0;0.2;0;0.4;0.4;0
OTRANTO;2015;9;0;0.4;0;0;0;0;0;0;8.2;5.4;0;0
OTRANTO;2015;10;0;0;2.4;0;0;0;0;4;0;85.8;0;0
OTRANTO;2015;11;0;0;0;0;0;0;0;0;0;0;0;0
OTRANTO;2015;12;0;0;0;0;0;0;0;3.6;0;0;0;0
OTRANTO;2015;13;0;0;0;0;0;0;0;0;0;0;0;0.2
OTRANTO;2015;14;0;0;0;0;0;0;0;0;0;0;0;0
OTRANTO;2015;15;0;0.4;0;0;0;0;0;0;0;12;0;0
OTRANTO;2015;16;0;7.8;0;0;0;0;0;0;0;6.8;0;0
OTRANTO;2015;17;0;0;0;0;0;15;0;0;0;0;0;0
OTRANTO;2015;18;3.2;0;0.4;0;2.8;8;0;0;0;0;0;0
OTRANTO;2015;19;4.8;0;0.6;0;0.4;0;0;0;0;0;0.2;0
OTRANTO;2015;20;6.6;0;0;0;0;8.6;0;1;20.4;6;0.2;0
OTRANTO;2015;21;26.4;4.2;0;0;0;1.8;0;0.2;24;7.6;0;0
OTRANTO;2015;22;8.6;73.8;8.8;0;0;0;0;0;0;2.4;0;0.2
OTRANTO;2015;23;11.2;12;12.4;0;0;0;0;0;0;0;6.2;0
OTRANTO;2015;24;16;2.2;0;0;8.4;3.2;0;0;9;0;4.8;0.2
OTRANTO;2015;25;0.4;16.2;41.6;0;0.2;0;0;0;0.2;0;41.6;0
OTRANTO;2015;26;18;15.2;12.8;0;0;0;0;0;0;0;25.4;0
OTRANTO;2015;27;24.6;15;24;0;0.8;0;0;0;0;0;1.8;0.2
OTRANTO;2015;28;1.2;4.4;3;0;0;0.2;0;0;0;0;0.6;0
OTRANTO;2015;29;0;NA;0;0;0;0;0;0;0;20;0;0
OTRANTO;2015;30;4.8;NA;0;2.2;0;0;0;0;0;1.6;0;0
OTRANTO;2015;31;11;NA;0;NA;0;NA;0;0.2;NA;0;NA;0
