stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
PANNI;2015;1;0;5.2;0;0;0;0;0;0;0;3.6;0;0
PANNI;2015;2;0;1.8;0.4;0;0.2;0;0;0.4;0;7.6;0;0.4
PANNI;2015;3;0;7;0;0;0;0;0;0;0;0.2;0.2;0
PANNI;2015;4;3.2;7.6;4;2.2;0;0;0;0;4.2;0.2;0;0
PANNI;2015;5;2.2;5.6;10.4;9;0;0.2;0;0;0.4;0.2;0;0
PANNI;2015;6;0.8;1.6;12.6;2.2;0;0;0;0;0;0;0;0
PANNI;2015;7;0;0.4;1.2;1.2;0;0;0;0;0;3.2;0;0
PANNI;2015;8;0;0.6;0;1.8;0;9.6;0;0;0;0.2;0;0.2
PANNI;2015;9;0;0.2;0.4;0;0;3.8;0;10.6;0.4;10.4;0;0
PANNI;2015;10;0;1;0.2;0;0;0;0;14.2;1;40.6;0;2.6
PANNI;2015;11;0.8;1.2;0;0;0;0;0;14.2;0;16.8;0;0.4
PANNI;2015;12;0;4.2;2.4;0;0;0;0;0.2;0;0;0;0
PANNI;2015;13;0;0;0;0;0;0;0;0;0;0;0;0.2
PANNI;2015;14;0;0;0;0;0;0;0;0;0;8.4;0;0
PANNI;2015;15;0;0;2.6;0;0;0;0;9.4;0;73.6;0;0.2
PANNI;2015;16;0.2;0;0.2;0;0;0;0;1.6;0;0;0;2
PANNI;2015;17;0;0.4;9;0;0;15.8;0;0;0;0;0.4;0
PANNI;2015;18;30;0;2.4;0;0;0;0;0;0;0.2;0;0.2
PANNI;2015;19;5;0;0;1.2;0;0;0;5.2;0;16;0.6;0
PANNI;2015;20;1.4;0;0;0;0;30.2;0;0.2;6.4;27.6;0;0
PANNI;2015;21;2.6;0;0;0;1.8;0.2;0;0;2;1.4;5;0
PANNI;2015;22;33.6;20.4;21.4;0;3.2;0;0;0;0;7.8;3.8;0
PANNI;2015;23;17.4;3;11.6;0;0;0;59.4;0;0.2;0.4;0.2;0
PANNI;2015;24;10.4;0.2;0.2;0;16.8;0;0.8;0;19.6;0;5;0.2
PANNI;2015;25;0.2;21.8;25.2;0;0.2;0;0;0;0;0;6.2;0.2
PANNI;2015;26;0.4;0.8;2.4;0;27.6;0;0;0;0;0;20.6;0
PANNI;2015;27;0;12.8;1;5.2;0.2;0;0;1.6;0;0;26.8;0
PANNI;2015;28;0.2;0;3.4;6.8;0;0;0;0;2.4;1.6;0;0
PANNI;2015;29;3.8;NA;0;1.2;0;0;0;0;0;18.2;0;0
PANNI;2015;30;21;NA;0;0;0;0;0;0;0;10;0;0
PANNI;2015;31;8.6;NA;0;NA;0;NA;0;0;NA;1;NA;0
