stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SANNICANDRO GARGANICO;2015;1;5;2.2;0;0;0;0;0;0;0;0.4;0;0
SANNICANDRO GARGANICO;2015;2;0;7.6;0;0;0.2;0;0;0;0;0.4;0;0
SANNICANDRO GARGANICO;2015;3;0;0.2;0;0;0;0;0;0;0;0;0;0
SANNICANDRO GARGANICO;2015;4;0.4;1.6;3.8;0.4;0;0;0;0;1.2;0;0;0
SANNICANDRO GARGANICO;2015;5;1;8.6;48;17;0;0;0;0;0.8;0;0;0
SANNICANDRO GARGANICO;2015;6;0;0;13.8;9.8;0;0;0;0;0;0;0;0
SANNICANDRO GARGANICO;2015;7;0;0;0;0;0;0;0;0;0;4.8;0;0
SANNICANDRO GARGANICO;2015;8;0;19.4;0;0;0;0;0;0;0;0;0;0
SANNICANDRO GARGANICO;2015;9;0;0;0;0;0;0;0;0;0;17.2;0;0
SANNICANDRO GARGANICO;2015;10;0;0.6;0.2;0;0;0;0;0;0.2;30.2;0;1.4
SANNICANDRO GARGANICO;2015;11;2.2;0;0;0;0;0;0;1;0;19;0;1.2
SANNICANDRO GARGANICO;2015;12;0;0.2;1.2;0;0;0;0;36.6;0;0.2;0;0
SANNICANDRO GARGANICO;2015;13;0;0;0;0;0;0;0;0;0;0.4;0;0
SANNICANDRO GARGANICO;2015;14;0;0;0;0;0;0;0;0;0;8.8;0;0
SANNICANDRO GARGANICO;2015;15;0;0;0;0;0;0;0;0;0;14.8;0;0
SANNICANDRO GARGANICO;2015;16;0;0;0;0;0;0;0;10.6;0;0;0;0.2
SANNICANDRO GARGANICO;2015;17;0;0;0;0;0;4.4;0;0;0;0;0;0
SANNICANDRO GARGANICO;2015;18;12.2;0;0;0;0;0.2;0;0;0;0;0;0
SANNICANDRO GARGANICO;2015;19;7.2;0;0;5;0;0;0;8.4;0.6;5.8;0;0
SANNICANDRO GARGANICO;2015;20;0.2;0;0;0;0;17;0;0;28;7.8;0;0
SANNICANDRO GARGANICO;2015;21;2.6;0;0;0;5.4;0;0;1;0.2;0.2;0;0
SANNICANDRO GARGANICO;2015;22;9.4;4.2;9.2;0;7.4;0;0;3.6;0;2.8;1.6;0
SANNICANDRO GARGANICO;2015;23;4;19.2;7.2;0;0;0;2;0;0;0;0.6;0
SANNICANDRO GARGANICO;2015;24;6.8;1;0;0.2;0;1;0;0;13.2;0;20.4;0
SANNICANDRO GARGANICO;2015;25;2.6;3.2;13.8;0;0;0;0;0;0.2;0;1.4;0
SANNICANDRO GARGANICO;2015;26;3.8;2.6;0;0;4.2;0;0;0;0;0;52.2;0
SANNICANDRO GARGANICO;2015;27;7.2;15.2;6;1.4;0;0;0;0;0;0;59.2;0
SANNICANDRO GARGANICO;2015;28;17.6;0;4.6;4.8;0;0;0;0;6.8;0.2;2;0
SANNICANDRO GARGANICO;2015;29;0;NA;0;0.6;0;0;0;0;0;24;0.4;0
SANNICANDRO GARGANICO;2015;30;0.8;NA;0;0;0;0;1.2;0;0;17;0;0
SANNICANDRO GARGANICO;2015;31;4;NA;0;NA;0;NA;0;0;NA;0;NA;0
