stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SANTERAMO IN COLLE;2015;1;6;1.6;0;0;0;0;0;0;0;0;0;0
SANTERAMO IN COLLE;2015;2;0.2;2.6;0;0;0.6;0;0;0;0;5.4;0;0
SANTERAMO IN COLLE;2015;3;0;0.2;0.4;0;0;0;0;0;0;0.2;0;0.2
SANTERAMO IN COLLE;2015;4;0.2;0.4;2.6;0;0;0;0;0;0;0.2;0;0.2
SANTERAMO IN COLLE;2015;5;0.6;11.6;6;6.8;0;0;0;0;0;0.2;0;0.2
SANTERAMO IN COLLE;2015;6;0.2;1;37.2;2.8;0;0;0;0;0;0.2;0;0
SANTERAMO IN COLLE;2015;7;0;0;6.6;4;0;0;0;0;0;0;0;0.2
SANTERAMO IN COLLE;2015;8;0;5.4;0;0;0;0.2;0;0;0;4.8;0;0.2
SANTERAMO IN COLLE;2015;9;0;0.2;0;0;0;6.6;0;0;2.2;3;0;0.2
SANTERAMO IN COLLE;2015;10;0;3;0;0;0;0;0;1.4;0.4;22.8;0;0.6
SANTERAMO IN COLLE;2015;11;0.6;1;0;0;0;0;0;0.6;0;5.4;0;0.2
SANTERAMO IN COLLE;2015;12;0;1.2;4.8;0;0;0;0;1.2;0;0.2;0;0
SANTERAMO IN COLLE;2015;13;0;0;0;0;0;0;1.8;0;0;0;0.2;0
SANTERAMO IN COLLE;2015;14;0;0;0;0;0;0;0;0;0;0;0;0
SANTERAMO IN COLLE;2015;15;0;0.2;0;0;0;0;0;4.4;0;2.8;0;0.2
SANTERAMO IN COLLE;2015;16;0;7.4;0;0;0;0;0;0;0;1.8;0.2;0
SANTERAMO IN COLLE;2015;17;0;0;4;0.2;0;11.2;0;0;0;0;0.2;0
SANTERAMO IN COLLE;2015;18;21.4;0;0.2;0;0.2;0;0;0;0;0;0.2;0
SANTERAMO IN COLLE;2015;19;4.4;0;0;0;8.4;0;0;0.8;0;0.6;0;0
SANTERAMO IN COLLE;2015;20;0.4;0;0;0;0;15.4;0;0;1.6;8.8;0;0
SANTERAMO IN COLLE;2015;21;1.2;1.6;0;0;3;0;0;0;14.6;4;1.8;0.4
SANTERAMO IN COLLE;2015;22;28;49.8;21;0;8.2;0;0;0;0;20.8;0.2;0
SANTERAMO IN COLLE;2015;23;1.6;3.8;2.4;0;0;0;0;0;0;5;4.8;0
SANTERAMO IN COLLE;2015;24;2.6;5.2;0.4;1.4;2.4;4.6;51.2;0;8.2;0;1.6;0
SANTERAMO IN COLLE;2015;25;0;5.6;32.2;0;0;0;0;0;0;0;5.6;0
SANTERAMO IN COLLE;2015;26;0;2;0.4;0;0;0;21.8;0;0;0.2;13;0
SANTERAMO IN COLLE;2015;27;0;18;32.4;1.8;0.2;0;0;0;0;0.2;2.2;0
SANTERAMO IN COLLE;2015;28;0.4;2.4;8.8;1.8;0;0;0;0;0;0.4;0.2;0.4
SANTERAMO IN COLLE;2015;29;0;NA;0;0.2;0;0;0;0;0;4.2;0;0
SANTERAMO IN COLLE;2015;30;16.8;NA;0;0.4;0;0;0;0;0;7.2;0;0
SANTERAMO IN COLLE;2015;31;2.4;NA;0;NA;0;NA;0;0;NA;0.8;NA;0
