stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN PIETRO VERNOTICO;2015;1;0;2;0.6;0;0;0;0;0;0;0;0;0.2
SAN PIETRO VERNOTICO;2015;2;0;3.4;0;0;0;0;0;0;0;0;0;0
SAN PIETRO VERNOTICO;2015;3;0;0;0;0;0.2;0;0;0;0;3.4;0;0.2
SAN PIETRO VERNOTICO;2015;4;0;0;0.4;0;0;0;0;0;0;0.2;0;0.4
SAN PIETRO VERNOTICO;2015;5;0;0;29;2;0;0;0;0;0;0;0;0.4
SAN PIETRO VERNOTICO;2015;6;8;7.6;16.6;1;0;0;0;0;0;0;0.2;0.2
SAN PIETRO VERNOTICO;2015;7;0;1.6;1.6;9.4;0;0.8;0;0;0;6.2;0;0.4
SAN PIETRO VERNOTICO;2015;8;0;3.8;0;0;0;0;0;0;0;0;0;0
SAN PIETRO VERNOTICO;2015;9;0;1;0;0;0;0;0;0;4.4;7.2;0;0
SAN PIETRO VERNOTICO;2015;10;0;0;0;0;0;0;0;0;1.2;17.6;0;0
SAN PIETRO VERNOTICO;2015;11;0.2;0;0.8;0;0;0;0;46;0;0.6;0;0
SAN PIETRO VERNOTICO;2015;12;0;0;7.6;0.2;0;0;0;9.8;0;0;0;0
SAN PIETRO VERNOTICO;2015;13;0;0;0;0.2;0;0;0;0.2;0;0;0;0
SAN PIETRO VERNOTICO;2015;14;0;0;0;0;0;0;0;0;0;0;0;0
SAN PIETRO VERNOTICO;2015;15;0;0;0;0;0;0;0;0;0;1;0;0
SAN PIETRO VERNOTICO;2015;16;0.2;0;0;0;0;0;0;3;0;0.2;0;0
SAN PIETRO VERNOTICO;2015;17;0;0;0.4;0;0;19.8;0;0;0;0;0;0
SAN PIETRO VERNOTICO;2015;18;1.8;0;0.4;0;13.4;3.6;0;0;0.4;0.2;0;0
SAN PIETRO VERNOTICO;2015;19;14.4;0;0.2;0;23.2;0;0;0;0;0.2;0;0.2
SAN PIETRO VERNOTICO;2015;20;2.2;0;0;0;0;0.2;0;0;28.4;0.4;0;0
SAN PIETRO VERNOTICO;2015;21;17.8;2;0;0;0.2;0;0;0;23.8;22.2;0.2;0.4
SAN PIETRO VERNOTICO;2015;22;10.8;29.6;2.4;0;0.4;0;0;0;0;25.8;0;0.2
SAN PIETRO VERNOTICO;2015;23;8;2;21.4;0;0;0;0;0;0;0.6;16.4;0
SAN PIETRO VERNOTICO;2015;24;6.4;5.6;0.2;0;2.8;0;0.2;0;4.2;0;9;0.2
SAN PIETRO VERNOTICO;2015;25;0;9;9.6;0;0.6;0;0;0;0;0;11;0.2
SAN PIETRO VERNOTICO;2015;26;2;9.2;6.8;0.2;1.4;0;0;0;0;0;23.2;0
SAN PIETRO VERNOTICO;2015;27;7.2;18.6;14;0;0;0;0;0;0;0;3;0.2
SAN PIETRO VERNOTICO;2015;28;0.4;8.4;2;0.4;0;0;0;0;0;0.2;1.2;0
SAN PIETRO VERNOTICO;2015;29;0;NA;0;0.8;0;0;0;0;0;26.8;0;0
SAN PIETRO VERNOTICO;2015;30;4;NA;0;0.8;0;0;0;0;0;3.4;0;0
SAN PIETRO VERNOTICO;2015;31;0.6;NA;0;NA;0;NA;0;0.2;NA;0;NA;0
