stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN VITO DEI NORMANNI;2015;1;0;0.2;0;0;0;0;0;0;0;1.6;0;0
SAN VITO DEI NORMANNI;2015;2;0;2;0;0;0.2;0;0;0;0;0;0;0
SAN VITO DEI NORMANNI;2015;3;0;0;0;0;0;0;0;0;0;0.2;0;0.2
SAN VITO DEI NORMANNI;2015;4;0;0;0.2;0;0;0;0;0;0;0;0;0.4
SAN VITO DEI NORMANNI;2015;5;0.2;0.6;20.4;2.8;0;0;0;0;0;0;0;0.2
SAN VITO DEI NORMANNI;2015;6;10.8;3.8;29.4;5.6;0;0;0;0;0;0;0;0.2
SAN VITO DEI NORMANNI;2015;7;0;0.2;0.2;1.4;0;0;0;0;0;3.6;0;0.4
SAN VITO DEI NORMANNI;2015;8;0;6.2;0;0;0;0;0;0;0;5.8;0;0
SAN VITO DEI NORMANNI;2015;9;0;1;0;0;0;0;0;0.2;0;2.4;0;0
SAN VITO DEI NORMANNI;2015;10;0;0.2;0;0;0;0;0;0.2;0;23.6;0;0
SAN VITO DEI NORMANNI;2015;11;0.2;1.2;1.8;0;0;0;0;6.4;0.2;0.4;0;0
SAN VITO DEI NORMANNI;2015;12;0;0;0.2;0;0;0.2;0;11.4;0;0;0;0
SAN VITO DEI NORMANNI;2015;13;0;0;0;0;0;0;0;0;0;0;0;0
SAN VITO DEI NORMANNI;2015;14;0;0;0;0;0;0;0;0;0;0;0;0
SAN VITO DEI NORMANNI;2015;15;0;0;0;0;0;0;0;0;0;5.8;0;0
SAN VITO DEI NORMANNI;2015;16;0;0.4;0;0;0;0;0;1.6;0;25.8;0.2;0
SAN VITO DEI NORMANNI;2015;17;0;0;0;0;0;6;0;0;0;0;0;0
SAN VITO DEI NORMANNI;2015;18;11.8;0;0;0;8;4.2;0;0;0;0.2;0;0
SAN VITO DEI NORMANNI;2015;19;19.8;0;0;0;8.2;0;0;0;0;0;0;1
SAN VITO DEI NORMANNI;2015;20;4;0;0;0;0;6;0;0;36.4;1.4;0;0
SAN VITO DEI NORMANNI;2015;21;20.2;2.4;0;0;0.2;0.4;0;0;39;6.4;0;0.2
SAN VITO DEI NORMANNI;2015;22;13;39.4;6.2;0;0;0.2;0;0;0;48.2;0.6;0.2
SAN VITO DEI NORMANNI;2015;23;4.4;0.8;11.8;0;0;0;2.6;0;0;1.4;4.2;0
SAN VITO DEI NORMANNI;2015;24;19.4;14.4;0;0.8;20.4;5.2;2.2;0;10.4;0;1.2;0.4
SAN VITO DEI NORMANNI;2015;25;0;8.2;13.6;0;0;0;0;0;0;0;13.4;0
SAN VITO DEI NORMANNI;2015;26;0;7.4;1;0;1.4;0;0;0;0;0.2;52.4;0
SAN VITO DEI NORMANNI;2015;27;0.4;21.6;17;0.2;0;0;0;0;0;0.2;21.6;0
SAN VITO DEI NORMANNI;2015;28;0;4.6;5.2;0;0;0;0;0;0;0.2;1;0
SAN VITO DEI NORMANNI;2015;29;0.8;NA;0;0;0;0;0;0;0;23.4;0;0
SAN VITO DEI NORMANNI;2015;30;3.4;NA;0;2.4;0;0;0;0;0;6.4;0;0
SAN VITO DEI NORMANNI;2015;31;1;NA;0;NA;0;NA;0;0;NA;0;NA;0
