stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
VOLTURARA APPULA;2015;1;1.8;1.6;0.2;0;0;0;0;0;0;1.4;0.2;0.2
VOLTURARA APPULA;2015;2;10;0.4;0;0;0;0;0;0.6;0;3.6;0;0.2
VOLTURARA APPULA;2015;3;0;5.6;0;0.2;0;0;0;0;0;0;0.4;0.2
VOLTURARA APPULA;2015;4;0.6;4.6;6.4;3.6;0;0;0;0;1.8;0.2;0;0.2
VOLTURARA APPULA;2015;5;0.8;2.6;25.6;34.6;0;0;0;0;0.4;0.2;0.2;0
VOLTURARA APPULA;2015;6;1.8;0.4;34.6;9.2;0;0;0;0;0;0;0.2;0.4
VOLTURARA APPULA;2015;7;0;0.6;0.4;9.8;0;0;0;0;0;1.8;0.2;0.2
VOLTURARA APPULA;2015;8;0;2;0;1.6;0;26.8;0;0;0;0.4;0;0
VOLTURARA APPULA;2015;9;0.4;0;0.6;0;0;1;0;0;0.8;20.4;0;0.2
VOLTURARA APPULA;2015;10;0;5.4;0;0;0;0;0;0;0.2;35;0.2;6.4
VOLTURARA APPULA;2015;11;1.4;0.4;0;0;0;0;0;24.6;0;10.4;0;1.4
VOLTURARA APPULA;2015;12;0;1.4;8;0;0;0;0;0;0;0.2;0.4;0
VOLTURARA APPULA;2015;13;0;0;0.2;0;0;0;0;0;0;0;0.4;0.2
VOLTURARA APPULA;2015;14;0;0;0;0;0;0;0;0;0;9.2;0;0.4
VOLTURARA APPULA;2015;15;0.4;0;3.2;0;0;0.2;0;0;0;39.4;0;0.2
VOLTURARA APPULA;2015;16;0.2;0;0;0;0.4;0;0;0.2;0;0;0.2;6.8
VOLTURARA APPULA;2015;17;0;2.2;5.4;0;0;8;0;0;0;0;0.2;0
VOLTURARA APPULA;2015;18;41.4;0;0;0;0;1.2;0;0;0;0.2;0.2;0
VOLTURARA APPULA;2015;19;3;0;0;3.6;0;0;0;18;0;30;0.2;0
VOLTURARA APPULA;2015;20;2.6;0;0;0;0;8.2;0;0.4;29.8;0.2;0.4;0.2
VOLTURARA APPULA;2015;21;0.8;0;0;0;0.4;0.2;0;1.6;0;4;1.8;0
VOLTURARA APPULA;2015;22;26.8;10.8;4.8;0;0;0;0;0.2;0;8.6;0.2;0
VOLTURARA APPULA;2015;23;24;2.4;3.6;0;0;0;0;0;0;0;1.2;0
VOLTURARA APPULA;2015;24;28.6;0.2;0;0;6.2;0;5.6;0.6;33.4;0;5.6;0
VOLTURARA APPULA;2015;25;1.4;24.2;35.4;0;0;0;10;0;0;0.2;4.2;0.2
VOLTURARA APPULA;2015;26;0.6;2.6;6.8;0;1.2;0;0.2;0;0.2;0.2;40.2;0.2
VOLTURARA APPULA;2015;27;0;10.6;4.4;1.2;0;0;0;0;0;0.2;68.4;0.2
VOLTURARA APPULA;2015;28;3.6;0;1.4;3.2;0;0;0;0;2;0.4;0;0
VOLTURARA APPULA;2015;29;1.6;NA;0;1.6;0;0;0;0;0;11.4;0.2;0.2
VOLTURARA APPULA;2015;30;6;NA;0;0;0;0;0.4;0;0;23.8;0;0.4
VOLTURARA APPULA;2015;31;14.6;NA;0;NA;0;NA;0;0;NA;0;NA;0
