stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ACQUAVIVA DELLE FONTI;2016;1;NA;NA;NA;NA;NA;NA;0;0;15.2;0;0;0
ACQUAVIVA DELLE FONTI;2016;2;NA;NA;NA;NA;NA;NA;0;0;0;0.4;0;0
ACQUAVIVA DELLE FONTI;2016;3;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;4;NA;NA;NA;NA;NA;NA;0;0;0;0.6;0;0
ACQUAVIVA DELLE FONTI;2016;5;NA;NA;NA;NA;NA;NA;0;0;4.4;0;0.2;0.4
ACQUAVIVA DELLE FONTI;2016;6;NA;NA;NA;NA;NA;NA;15.2;46.8;5.4;0;0;0.2
ACQUAVIVA DELLE FONTI;2016;7;NA;NA;NA;NA;NA;NA;0;26;13.6;18.6;25;0
ACQUAVIVA DELLE FONTI;2016;8;NA;NA;NA;NA;NA;0;0;0;20.6;0;6;0
ACQUAVIVA DELLE FONTI;2016;9;NA;NA;NA;NA;NA;0;0;0;17.6;0;0;0
ACQUAVIVA DELLE FONTI;2016;10;NA;NA;NA;NA;NA;0.6;0;0;8;0;0.2;0
ACQUAVIVA DELLE FONTI;2016;11;NA;NA;NA;NA;NA;0;0;0.8;0;0.6;0;0.2
ACQUAVIVA DELLE FONTI;2016;12;NA;NA;NA;NA;NA;0.4;0;0;0;3;4;2
ACQUAVIVA DELLE FONTI;2016;13;NA;NA;NA;NA;NA;6.2;0;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;14;NA;NA;NA;NA;NA;1.4;0;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;15;NA;NA;NA;NA;NA;0;7;0;0;0;6.4;0
ACQUAVIVA DELLE FONTI;2016;16;NA;NA;NA;NA;NA;0.2;11;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;17;NA;NA;NA;NA;NA;0;0;0;1.2;0;0;0
ACQUAVIVA DELLE FONTI;2016;18;NA;NA;NA;NA;NA;0;0;0;15.6;21.8;0.2;0
ACQUAVIVA DELLE FONTI;2016;19;NA;NA;NA;NA;NA;2.6;0;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;20;NA;NA;NA;NA;NA;0;0;0;0.2;0;0;1.2
ACQUAVIVA DELLE FONTI;2016;21;NA;NA;NA;NA;NA;0;0;0;9.4;2.4;0;0
ACQUAVIVA DELLE FONTI;2016;22;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;23;NA;NA;NA;NA;NA;0;0;0.2;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;24;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
ACQUAVIVA DELLE FONTI;2016;25;NA;NA;NA;NA;NA;0;0.6;0;0;0;1;0
ACQUAVIVA DELLE FONTI;2016;26;NA;NA;NA;NA;NA;0;0;0;0;0.4;0;0
ACQUAVIVA DELLE FONTI;2016;27;NA;NA;NA;NA;NA;0;0;0;0;3.6;0.2;5.4
ACQUAVIVA DELLE FONTI;2016;28;NA;NA;NA;NA;NA;0;0.2;0;0;0;6.2;2
ACQUAVIVA DELLE FONTI;2016;29;NA;NA;NA;NA;NA;0;0;0;0;0;0.6;0.2
ACQUAVIVA DELLE FONTI;2016;30;NA;NA;NA;NA;NA;0;0;0;0;0;0;0.2
ACQUAVIVA DELLE FONTI;2016;31;NA;NA;NA;NA;NA;NA;0;0;NA;0;NA;0
