stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ALBERONA;2016;1;0;0;9.6;0;6;1.8;0.6;10.6;0.2;0;0;0
ALBERONA;2016;2;0.2;0;0;0.2;23.4;0;0;0;0;24.2;0;0
ALBERONA;2016;3;2.4;0;1.6;0.2;10.6;3.2;0;0;0;0;3.2;0
ALBERONA;2016;4;3;9.4;0;0;0;0.2;0;0;0;0;0.2;0
ALBERONA;2016;5;1.2;0;0;0;0;0.6;0;0;62.6;1.8;0;0
ALBERONA;2016;6;2.2;0;4.4;0;0;0;3.6;12.6;1;2.4;4.2;0
ALBERONA;2016;7;0.8;0;0.2;0;0;0;0;15.6;13.6;14.6;16.8;2.2
ALBERONA;2016;8;0.2;0.2;0;1.8;0;2.8;0;0;1.2;0;17.8;0
ALBERONA;2016;9;0;0.2;2.8;4;0;0.4;0;0;17;0.4;2.4;0
ALBERONA;2016;10;0.6;4;0.2;33.4;0;0.6;1.2;0;2.8;0;0.4;0
ALBERONA;2016;11;0;6.2;5.2;0;2.2;0;0;15.8;3.4;4.8;25.2;0
ALBERONA;2016;12;0;0.6;17;0;3.4;3.6;0;0;0.8;0;0.2;0.4
ALBERONA;2016;13;1;7.6;6;0;4;0;0;0;0;0;0;0
ALBERONA;2016;14;0;3.2;1.4;0;8.8;0;0;0;0;0.2;1;0
ALBERONA;2016;15;7.8;5.2;2.4;0;8.8;0;25.8;0;0;12;0.2;1
ALBERONA;2016;16;2;0.8;10.2;0;1.2;0;9;0;6.8;0;0;1.4
ALBERONA;2016;17;0.2;0;37.8;0;9;0;0;0;0;0;0;0
ALBERONA;2016;18;0;4.6;35.6;0;0;1.2;0;10.6;5.8;7.6;0;0
ALBERONA;2016;19;3;0;0;0;0;18.8;0;0.2;1.6;0;0;0
ALBERONA;2016;20;0;0.4;0;0;11.4;0;0;0;0.8;0.4;0;1.4
ALBERONA;2016;21;2;0;0;0;0;0;0;0;4.8;3.2;0;0.2
ALBERONA;2016;22;1.2;0;0.6;0;0;0;0;0.4;1;1;0;0
ALBERONA;2016;23;1.4;0;22.6;4;0;2.8;0;0.4;0;0;0;0
ALBERONA;2016;24;0;0;1.8;0;0;0;1.2;0;0;0;0;0.2
ALBERONA;2016;25;0;0;0;27.8;0;0;4.4;0;0;0;6.8;0
ALBERONA;2016;26;0;1.8;0;0;0;0;0;0;0;5.6;0;0
ALBERONA;2016;27;0;0;0;0;0;0;0;0;0;21;0;1.4
ALBERONA;2016;28;0;1.4;0.2;0;0;0;22;0;0;0;8.6;0.4
ALBERONA;2016;29;0;17.8;0;0.8;0;0;0;0;0;0;0;0
ALBERONA;2016;30;0;NA;0;0.2;0;0;0;0;0;0;0;0
ALBERONA;2016;31;0;NA;0;NA;0;NA;0;13.4;NA;0;NA;0
