stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ANDRIA;2016;1;0;0;0.2;0;5.6;0;0;0;0;0;0;0
ANDRIA;2016;2;0;0;0;0;25;0;0;0;0;6.6;0;0
ANDRIA;2016;3;6.4;0;0.2;0;7.4;0;0;0;0;0;1.2;0
ANDRIA;2016;4;1.6;2;0.8;0;0.6;0;0;0;0;0;0;0
ANDRIA;2016;5;0.4;0;0;0;0;0;0;0;5.8;0;0;0.2
ANDRIA;2016;6;2.2;0;0;0;0;0;0.6;14.6;0.6;0.2;0;0
ANDRIA;2016;7;0.2;0;0.2;0;0;0;0;4.6;26.8;16;26.8;0.2
ANDRIA;2016;8;0;0;1.6;40.2;0;0;0;0.4;34.4;0;12.6;0
ANDRIA;2016;9;0;0;0;0.6;0;7.2;0;0;9.2;2.6;0.2;0
ANDRIA;2016;10;0;0;7.2;14.4;0;6.4;0;0;10;0;1.4;0.2
ANDRIA;2016;11;0;8.2;4.2;0;1;0;0;4;8;1.4;4;0
ANDRIA;2016;12;0;1;19;0;0.8;17.6;0;0;0;1.6;6.6;1.8
ANDRIA;2016;13;0;4;8.4;0;0;10.8;0;0;0;0;0;0.2
ANDRIA;2016;14;0;0;10.4;0;5.4;0;0;0;0;0;0;0
ANDRIA;2016;15;0.4;11;0.6;0;0;0;0.8;0;0;0;0;0
ANDRIA;2016;16;11.2;0;8.2;0;0.6;0;44.6;0;0;0;0;0.2
ANDRIA;2016;17;7.4;0;10.6;0;2.6;0;0.4;0;3.2;0;0;0
ANDRIA;2016;18;0.2;15.2;4.2;0;0;0;0;0;7.6;6.6;0.2;0
ANDRIA;2016;19;0;0;0;0;0;4.8;0;0;0.2;0;0;0
ANDRIA;2016;20;0;0;0;0;51.8;0;0;0;0.2;0;0;4
ANDRIA;2016;21;1;0;0;0;13.8;0;0;0;2.8;3.2;0;0
ANDRIA;2016;22;0.2;0;1.6;0;0;0;0;0;0;0;0;0.2
ANDRIA;2016;23;0;0;5;1.8;0;0;0;0;0;0;0;0
ANDRIA;2016;24;1.2;0;3;0.2;0.8;0;0;0;0;0.2;0;0
ANDRIA;2016;25;0;0;0;1.4;0;0;0;0;0;0;0.8;0
ANDRIA;2016;26;0;0;0;0;0;0;0;0;0;1.6;0;0
ANDRIA;2016;27;0;0;0;0;0;0;0;0;0;9;0;2
ANDRIA;2016;28;0;0;0;0;0;0;0.2;0;0;0;6.2;0.8
ANDRIA;2016;29;0;0.2;0;0.2;0;0;0;0;0;0;0.2;0
ANDRIA;2016;30;0;NA;0;0;0;0;0;0;0;0.2;0;0
ANDRIA;2016;31;0;NA;0;NA;0;NA;0;0.2;NA;0;NA;0
