stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BORGO LIBERTÀ;2016;1;0;0;2.4;0;4.4;0;0;0;0;0;0;0
BORGO LIBERTÀ;2016;2;0;0;0;0;20;0;11.8;0;0;15.4;0;0
BORGO LIBERTÀ;2016;3;4.6;0;2;0;7;0;0;0;0;0;5.4;0
BORGO LIBERTÀ;2016;4;0.4;2;0.2;0.2;0;0;0;0;0;0;0;0
BORGO LIBERTÀ;2016;5;0.2;0;0;0;0;0.2;0;0;19;0;0;0
BORGO LIBERTÀ;2016;6;0.4;0;0.2;0.2;0;2.6;7.6;11.4;0.2;0;0;0
BORGO LIBERTÀ;2016;7;1;0;0;0.2;0;0.4;0;16.2;16.6;17;20;0
BORGO LIBERTÀ;2016;8;0;0;0;2.4;0;0;0;0;30.8;0;11.4;0
BORGO LIBERTÀ;2016;9;0;0;12.4;4.4;0;0;0;0;1.4;0.6;1.6;0
BORGO LIBERTÀ;2016;10;0;0;0.6;18.2;0;0.2;0;0;60.4;0;0;0
BORGO LIBERTÀ;2016;11;0;8;9.4;0;6.2;0;0;0.6;35.4;1.4;8.4;0
BORGO LIBERTÀ;2016;12;0;1.4;40.4;0;0.2;0.6;1.6;0;1;0.6;8.8;0.4
BORGO LIBERTÀ;2016;13;0;2.2;31.6;0;0.6;11.8;0;0;0;0;0;0
BORGO LIBERTÀ;2016;14;0;1.4;1.4;0;7.4;0;0;0;0;0;0;0
BORGO LIBERTÀ;2016;15;0.8;6.8;1.4;0;0.2;0;11.6;0;0;0;0;0
BORGO LIBERTÀ;2016;16;7;0;2.4;0;1.8;0;7.4;0;1;0.2;0;0
BORGO LIBERTÀ;2016;17;0.8;0;9.8;0;2.8;0;0;0;0;0;0;0
BORGO LIBERTÀ;2016;18;0;12.2;10;0;0;0;0;2;11.6;11;0;0
BORGO LIBERTÀ;2016;19;0;0;0;0;0;1.2;0;0.2;1;0;0;0
BORGO LIBERTÀ;2016;20;0;0;0;0;3.6;0;0;0;2.4;0;0;3.8
BORGO LIBERTÀ;2016;21;0.4;0;0;0;1.2;0;0;0;7.4;2.2;0;0
BORGO LIBERTÀ;2016;22;0.2;0;5.6;0;0;0;0;0;0;0.2;0;0
BORGO LIBERTÀ;2016;23;0;0;0.8;7.2;0;0;0;0;0;0.2;0.2;0
BORGO LIBERTÀ;2016;24;6;0;5;3;0;0;0.8;0;0;0.2;0;0
BORGO LIBERTÀ;2016;25;0;0;0;6.2;0;0;10.6;0;0;0.2;0.8;0
BORGO LIBERTÀ;2016;26;0;0.6;0;0;0;3.8;0;0;0;2.4;0;0
BORGO LIBERTÀ;2016;27;0;0;0;0;0;0;0;0;0;19.2;0;0
BORGO LIBERTÀ;2016;28;0;0;0;0;0;0;25.6;0;0;0;7.4;0
BORGO LIBERTÀ;2016;29;0;1.4;0;0.6;0;0;0;0;0;0;0;0
BORGO LIBERTÀ;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
BORGO LIBERTÀ;2016;31;0;NA;0;NA;0;NA;0;2.2;NA;0;NA;0
