stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
BOVINO;2016;1;0;0;9.8;0;7.4;0.2;3.6;2.4;0;0;0;0
BOVINO;2016;2;0.4;0;0;0.2;29.2;0.2;0;0;0;14;0;0
BOVINO;2016;3;6.8;0;5.4;0;17.4;0;0;0;0;0;3;0
BOVINO;2016;4;3.8;6.4;0;0;0;0;0;0;0;0.4;0;0
BOVINO;2016;5;2.6;0;0;0;0;0.2;0;0;32.2;0;0;0.2
BOVINO;2016;6;2.2;0;8.8;0;0;8.8;0.2;4;0;0.2;1.2;0
BOVINO;2016;7;1.4;0;0.4;0;0;0.2;0;29.2;15.6;25;21.8;0
BOVINO;2016;8;0.2;0;0;7.8;0;0;0;0;13.4;0;13.2;0
BOVINO;2016;9;0;0;1.6;3.6;0;5;0;0;7.2;0.4;1.8;0
BOVINO;2016;10;0.8;1.2;7.2;23;0;0;0.2;0;8.2;0.4;0.6;0
BOVINO;2016;11;0;9.6;12.8;0;0.4;0;1.4;5.8;44.6;6;16.4;0
BOVINO;2016;12;1.6;1.2;73;0;6.8;0.4;0;0.2;1.2;0;8.4;0.2
BOVINO;2016;13;0;14;33.2;0;0;5.6;0;0;5;0;0;0
BOVINO;2016;14;0;4.6;1;0;8.2;0;0;0;0;0.2;1.2;0.2
BOVINO;2016;15;4;8.4;1;0;0;0.2;21.2;0;0;3.4;0;0.2
BOVINO;2016;16;2;0.4;8.2;0;11.6;0.2;2.8;0;1.2;0;0;0.2
BOVINO;2016;17;0;0;34.8;0;11.2;0;0;0;0;0.2;0;0
BOVINO;2016;18;0.4;8;40.4;0;0;0;0;1.6;20.2;4.8;0;0
BOVINO;2016;19;0.8;0.2;0;0;6.4;4.2;0;22.8;5.4;0;0;0
BOVINO;2016;20;0;0.2;0;0;19.8;0;0;0;2.2;1.6;0;2.4
BOVINO;2016;21;0.2;0;0;0;0.4;0;0;0;7.6;1.2;0;0.2
BOVINO;2016;22;0.6;0;1.4;0;0;0;0;0;0;1;0;0
BOVINO;2016;23;0;0;14.6;9.4;0;18.2;0;2.4;0;0.4;0;0
BOVINO;2016;24;0;0;2.8;1.8;2;0;4.4;0;0;0;0;0
BOVINO;2016;25;0;0;0;10.4;0;1;16;0;0;0;2.4;0
BOVINO;2016;26;0;1.4;0;0;0;0;0;0;0;6.6;0;0
BOVINO;2016;27;0;0;0;0;0;0;0;0;0;33.2;0.2;0
BOVINO;2016;28;0;0;0;0.2;0;0;0.8;0;0;0;7;1
BOVINO;2016;29;0;7.4;0;0.4;0;0;0;0;0;0;0;0
BOVINO;2016;30;0;NA;0;0;0;0;0;0;0;0;0.2;0
BOVINO;2016;31;0.2;NA;0;NA;0;NA;0;18.2;NA;0;NA;0
