stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CALITRI;2016;1;0;0;14.8;0;6.4;1.2;2.2;0;0;0;0;0
CALITRI;2016;2;0.4;0.2;0;0;5.8;0;0;0;0;11.2;0;0
CALITRI;2016;3;15.8;0;6.8;0;5;0;0;0;0;0;0;0
CALITRI;2016;4;0;1;0;0;0;0;0;0;0;1.2;0;0
CALITRI;2016;5;4.6;0;0;0;2.2;0.6;0;0;6.4;0;0;0
CALITRI;2016;6;1;0;12.2;0;0;3;0.4;4.4;0.6;0.6;8.4;0
CALITRI;2016;7;0.4;0;0.4;0;0;0;0.2;12.8;2.6;19;42.6;0
CALITRI;2016;8;0.2;0;0.8;10.4;0;0.2;0;0;7.2;0.2;10.4;0
CALITRI;2016;9;0;0;0;5.4;0;4.6;0;0;5;1;0;0
CALITRI;2016;10;1.8;1.2;1.2;2.8;0;1.4;6.6;0.2;5.4;4;3.2;0
CALITRI;2016;11;0;7.8;0.6;0;2.8;0;2.4;0.6;47.2;2.4;10.6;0
CALITRI;2016;12;0;0.2;20.4;0;0.4;0.2;0;0;11.4;0.2;15;0.2
CALITRI;2016;13;0.8;34.6;10.2;0;0.4;12;0;0;17.8;0;0;0
CALITRI;2016;14;0;5.2;0;0;5.4;0.2;0;0;1.4;0;1.6;0
CALITRI;2016;15;7.4;16.4;3.2;0;0;0;4.8;0;0.2;0.8;0.4;0.2
CALITRI;2016;16;2.8;0;1.6;0;7.8;0;2.4;0;5.4;0;0;0
CALITRI;2016;17;0;0;9;0;13;0;0;0;0.8;0;0;0
CALITRI;2016;18;0.2;6;3.8;0;0.2;0;0;0.4;5.4;2.8;0;0
CALITRI;2016;19;0;0;0;0;2.6;4;0;0.2;2.8;0;0;0
CALITRI;2016;20;0;2.4;0;0;23.4;0;0;0;0.2;1.2;0;3.8
CALITRI;2016;21;0.2;0.2;0;0;0.8;0;0;0;1;1.4;0;0
CALITRI;2016;22;0;0;4;0;0;0;0;0;0;0.2;0;0
CALITRI;2016;23;0.8;0;5.6;22.4;0;8.4;0;2.8;0;0.4;0;0
CALITRI;2016;24;0.8;0;1.8;2.8;1.2;0;9.4;0;0;0;0;0
CALITRI;2016;25;0;0.2;0;10.8;0;0;20.4;0;0;0;6.8;0
CALITRI;2016;26;0;4.4;0;0;0;0;0;0;0;0.4;0;0
CALITRI;2016;27;0.2;0;0;0;0;0.2;0;0;0;31.4;0;0
CALITRI;2016;28;0;0.2;0;0;0;0;21.6;0;0;0;2.8;1.2
CALITRI;2016;29;0;3.4;0;0;0;0;0.2;0;0;0;0.2;0
CALITRI;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
CALITRI;2016;31;0;NA;0;NA;0;NA;0;5.4;NA;0;NA;0
