stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CANALE DELL'ASSO;2016;1;0;0;0;0;6.6;0;0;0;6.6;0;0;0
CANALE DELL'ASSO;2016;2;0;0;0;0;30.8;0;0;0;0;0;0;0
CANALE DELL'ASSO;2016;3;5.2;0;3;0;8.6;0;0;0;0;0;0;0
CANALE DELL'ASSO;2016;4;3;0.2;0;0;0;0;0;0;0;0;0.2;0
CANALE DELL'ASSO;2016;5;2.4;0.2;0;0.2;0;0;0;0;0;0;0;0
CANALE DELL'ASSO;2016;6;10.6;0;5.2;0;0;0;0;0;15.8;3.2;0;0.2
CANALE DELL'ASSO;2016;7;0;0;2;0;0;0;0;3.6;8;6.2;0.6;0
CANALE DELL'ASSO;2016;8;0;0;0;2;0;0;0;0;17.6;0;0.4;0
CANALE DELL'ASSO;2016;9;0;0;0;0;0;2.6;0;0;36.6;13.6;0.8;0
CANALE DELL'ASSO;2016;10;0.4;0;0;1.8;0;0;0;0;4;0.2;3.2;0
CANALE DELL'ASSO;2016;11;0;1.6;10.2;0;0.8;0;0;0;0.2;4.2;0;0
CANALE DELL'ASSO;2016;12;0.2;5.2;10.4;0;0.6;0;0;0;7.4;0;7.6;0
CANALE DELL'ASSO;2016;13;0;0.2;8.8;0;0;0;0;0;9.4;0;0;0
CANALE DELL'ASSO;2016;14;0;0;0;0;0;0;0;0;0;0;0;0
CANALE DELL'ASSO;2016;15;0.4;0;0.2;0;0;0;0;0;0;0;1.6;0
CANALE DELL'ASSO;2016;16;10.8;0;38.6;0;5.2;0;1.6;0;0;0;0;0
CANALE DELL'ASSO;2016;17;0.2;0;11;0;1;0;0;0;0.4;0;0;0
CANALE DELL'ASSO;2016;18;0;4.6;3.8;0;0;0;0;0;0;17.2;0;0
CANALE DELL'ASSO;2016;19;0;0.2;0.2;0;0;0;0;0;0;1;8;0.2
CANALE DELL'ASSO;2016;20;0;0.2;0;0;2.6;0;0;0;0;2.6;10;0
CANALE DELL'ASSO;2016;21;1;0.2;0;0;1.8;0;0;0;0;7;0.2;0
CANALE DELL'ASSO;2016;22;0;0;0;1.2;0;0;0;0;0;0;0.2;0
CANALE DELL'ASSO;2016;23;0;1.2;1.4;0;0;0;0;0;0;12.2;0.2;0
CANALE DELL'ASSO;2016;24;0;0.8;1.2;0.4;0;0;0;0;0;0;0.2;0.2
CANALE DELL'ASSO;2016;25;0;0.2;0;3.6;0;0;0;0;0;0.2;0.2;0.2
CANALE DELL'ASSO;2016;26;0;0;5.2;0;0;0;0.2;0;0;0.2;9.6;0
CANALE DELL'ASSO;2016;27;0;0.2;0;0;0;0;0;0;0;20.8;5.8;0.6
CANALE DELL'ASSO;2016;28;0;0;0;0;0;0;0;0;0;8.4;0.8;0
CANALE DELL'ASSO;2016;29;0.2;0;0;0;0;0;0;0;0;0;0.6;0
CANALE DELL'ASSO;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
CANALE DELL'ASSO;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
