stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CANOSA DI PUGLIA;2016;1;0;0;0.8;0;5.6;0;0;0;0;0;0;0
CANOSA DI PUGLIA;2016;2;0.2;0;0;0;23.8;0;0;0;0;10.4;0;0
CANOSA DI PUGLIA;2016;3;4;0;0;0;3.4;0;0;0;0;0.2;5.6;0
CANOSA DI PUGLIA;2016;4;0.8;0.2;0;0;0.2;0;0;0;0;0.4;0;0
CANOSA DI PUGLIA;2016;5;0.4;0;0;0;0;0.2;0;0;6.8;0;0;0
CANOSA DI PUGLIA;2016;6;1;0;0;0;0;0;0.4;13.6;0.6;0;0;0
CANOSA DI PUGLIA;2016;7;1;0;0;0;0;0;0;7.4;16.2;11.8;25.2;0
CANOSA DI PUGLIA;2016;8;0;0;1.4;4.6;0;0;0;0;66;0;12.4;0
CANOSA DI PUGLIA;2016;9;0;0;5.2;0.2;0;8.4;0;0;1.8;0.6;0.6;0
CANOSA DI PUGLIA;2016;10;0;0;2;18;0;11.4;0;0;18;0;1.2;0
CANOSA DI PUGLIA;2016;11;0;6;5.8;0;1;0;0;0.6;9.8;1.2;6.6;0
CANOSA DI PUGLIA;2016;12;0;1.8;30.4;0;0.4;0.4;0;0;0;0.4;9.6;0.8
CANOSA DI PUGLIA;2016;13;0;2.8;11.8;0;0;4.2;0;0;0;0;0;0.2
CANOSA DI PUGLIA;2016;14;0;2.2;1.4;0;6.4;0.4;0;0;0;0;0;0
CANOSA DI PUGLIA;2016;15;0.6;5.4;0.6;0;0;0;4.8;0;0;0;0.2;0
CANOSA DI PUGLIA;2016;16;7.2;0;11;0;0.4;0;0.6;0;0;0;0;0.2
CANOSA DI PUGLIA;2016;17;3.6;0.2;9.6;0;1.2;0;0;0;0.4;0;0;0
CANOSA DI PUGLIA;2016;18;0;15.2;5.6;0;0;0;0;0;10.4;11.4;0;0
CANOSA DI PUGLIA;2016;19;0;0;0;0;0;1.6;0;0;0.2;0.2;0;0
CANOSA DI PUGLIA;2016;20;0;0.2;0;0;1.8;0;0;0;3.4;0;0;11.6
CANOSA DI PUGLIA;2016;21;0.6;0;0;0;4.8;0;0;0;4.8;2.2;0;0
CANOSA DI PUGLIA;2016;22;0.6;0;2.6;0;0;0;0;0;0;0;0;0.2
CANOSA DI PUGLIA;2016;23;0;0;1;4.4;0;1;0;0;0;0;0;0
CANOSA DI PUGLIA;2016;24;0;0;6.6;0.6;3;0;1.8;0;0;0.2;0.2;0
CANOSA DI PUGLIA;2016;25;0;0;0;1.6;0;0;0;0;0;0.2;1.8;0
CANOSA DI PUGLIA;2016;26;0;0;0;0;0;0;0;0;0;2.8;0;0
CANOSA DI PUGLIA;2016;27;0;0;0;0;0;0;0;0;0;9.8;0;0.4
CANOSA DI PUGLIA;2016;28;0;4.8;0;0;0;0;0.2;0;0;0;5.2;0.2
CANOSA DI PUGLIA;2016;29;0;2;0;0.4;0;0;0;0;0;0;4.4;3.2
CANOSA DI PUGLIA;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
CANOSA DI PUGLIA;2016;31;0;NA;0;NA;0;NA;0;1.4;NA;0;NA;0
