stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CARPINO;2016;1;NA;NA;NA;NA;2.6;0.4;0;0;0;0;0;0
CARPINO;2016;2;NA;NA;NA;NA;36.2;0.4;0;0;0;9.8;0;0
CARPINO;2016;3;NA;NA;NA;NA;2.6;0;0;0;0;0;3.8;0
CARPINO;2016;4;NA;NA;NA;NA;0;0;0;0;0;0.2;0;0
CARPINO;2016;5;NA;NA;NA;NA;0;0;0;0;1.8;0;0;0
CARPINO;2016;6;NA;NA;NA;NA;0;0;0;7;1.4;0;0;0
CARPINO;2016;7;NA;NA;NA;NA;0;0;0;8.2;16;10.6;10.2;3.2
CARPINO;2016;8;NA;NA;NA;NA;0;0;0;5.4;0.2;0;16.6;0
CARPINO;2016;9;NA;NA;NA;NA;0;11.6;0;0;30.8;0;15.2;0
CARPINO;2016;10;NA;NA;NA;NA;0;0;0;0;8;16.6;1.2;0
CARPINO;2016;11;NA;NA;NA;NA;1;0;0;0;27;6.8;5.4;0
CARPINO;2016;12;NA;NA;NA;NA;8.4;24.8;0;0;0;36.2;4.4;15.6
CARPINO;2016;13;NA;NA;NA;NA;0;1;0;0;5;0;0;0
CARPINO;2016;14;NA;NA;NA;NA;1.8;0;0;0;0;0;0;0
CARPINO;2016;15;NA;NA;NA;NA;2;0;53.2;0;0;11.8;0;1.4
CARPINO;2016;16;NA;NA;NA;NA;0.6;0;18;0;4;0.8;0;0
CARPINO;2016;17;NA;NA;NA;NA;3.2;0;0;0;0;0;0;0
CARPINO;2016;18;NA;NA;NA;NA;0;0;0;0;5.6;9.2;0;0
CARPINO;2016;19;NA;NA;NA;NA;0;14.8;0;0;68.2;0;0;0
CARPINO;2016;20;NA;NA;NA;NA;23;0;0;0;33.8;0;0;1
CARPINO;2016;21;NA;NA;NA;NA;0.8;0;0;0;0.4;7.6;0;0
CARPINO;2016;22;NA;NA;NA;NA;0;0;0;0;0;3;0;0
CARPINO;2016;23;NA;NA;NA;NA;0;8.4;0;0;0;0;0;0
CARPINO;2016;24;NA;NA;NA;NA;0;0;0;0;0;0;0;0
CARPINO;2016;25;NA;NA;NA;NA;0;0;0;0;0;0;0.4;0
CARPINO;2016;26;NA;NA;NA;0;0;0;0;0;0;0.4;0;0
CARPINO;2016;27;NA;NA;NA;0;0;0;0;0;0;13.8;0;0.2
CARPINO;2016;28;NA;NA;NA;0;0;0;0;0;0;0;5.4;0.6
CARPINO;2016;29;NA;NA;NA;1;0;0;0;0;0;0;0.4;0.4
CARPINO;2016;30;NA;NA;NA;0;0;0;0;0;0;0;0;0
CARPINO;2016;31;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0
