stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
COPERTINO;2016;1;0;0;0.4;0;7.6;0;0;0;13.2;0;0;0
COPERTINO;2016;2;0;0;0;0;25.6;0;0;0;0;0;0;0
COPERTINO;2016;3;4.8;0;2.8;0.2;5.2;0;0;0;0;0;0.2;0
COPERTINO;2016;4;3;0.6;0;0;0;0.6;0;0;0;0;0.2;0
COPERTINO;2016;5;3;0;0;0.2;0;0;0;0;0.2;0;0;0
COPERTINO;2016;6;16.8;0;1.6;0;0;0;0;15;19.4;4.4;0;0
COPERTINO;2016;7;0;0;0.2;0;0;0;0;1;0.8;37.8;0.6;0
COPERTINO;2016;8;0;0;0;13.6;0;0;0;0;14.2;0;0.6;0
COPERTINO;2016;9;0;0;0;0;0;0;0;0;24.2;14.2;0;0
COPERTINO;2016;10;0.2;0.4;0;5.2;0;0;0;0;3.2;0;3.4;0
COPERTINO;2016;11;0;2.4;8.4;0;2.4;0;0;0;11.8;3;0;0
COPERTINO;2016;12;0.6;5.6;11.2;0;0.2;0;0;0;11.8;1;6.8;0
COPERTINO;2016;13;0;0.6;8;0;0;3.2;0;0;2;0;0;0
COPERTINO;2016;14;0;0;0;0;0;0;0;0;3;0;0;0
COPERTINO;2016;15;0.4;0;2.2;0;0;0;0.2;0;0;0;1.4;0
COPERTINO;2016;16;13.6;0;28.2;0;2.4;0;2.6;0;0;0;0;0
COPERTINO;2016;17;0.4;0;11.8;0;2;0;0;0;0.2;0;0;0
COPERTINO;2016;18;0.2;5.2;8.4;0;0;0;0;0;0;25;0;0
COPERTINO;2016;19;0;0;0.2;0;0;0;0;0;13.8;0.2;4.8;0.2
COPERTINO;2016;20;0;1.2;0;0;4.4;0;0;0;0;4.2;7;0
COPERTINO;2016;21;0.4;0;0.2;0;1.6;0;0;0;0;11.6;0.2;0
COPERTINO;2016;22;0;0;0;0;0;0;0;0.8;0;0;0.6;0
COPERTINO;2016;23;0;1.6;1;0;0;0;0;0;0;8.4;0.2;0
COPERTINO;2016;24;0;0.8;2.6;0.2;0;0;0;0;0;0.2;0.2;0.2
COPERTINO;2016;25;0;0;0;7.6;0;0;0;0;0;0.2;0.2;0
COPERTINO;2016;26;0;0;0.6;0;0;0;0;0;0;0;9;0
COPERTINO;2016;27;0.2;0;0;0;0;0;0;0;0;14.6;2.8;0.6
COPERTINO;2016;28;0.2;0.2;0;0;0;0;0;0;0;11.2;1.2;0.4
COPERTINO;2016;29;0.2;0.2;0;0;0;0;0;0;0;0;0.2;0
COPERTINO;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
COPERTINO;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
