stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CORIGLIANO;2016;1;0;0;0;0;1.4;16;0;0;30;0;0;0
CORIGLIANO;2016;2;0.4;0;0;0.2;38.8;0.2;0;0;0.2;0;0.2;0
CORIGLIANO;2016;3;4.2;0;3.6;0;9.2;0;0;0;0.2;0.2;0.4;0.2
CORIGLIANO;2016;4;2.6;0.2;1.8;0.2;0;1.2;0;0;0;0;0.2;0
CORIGLIANO;2016;5;2.8;0;0;0;0;0;0;0;0;0;0.2;0
CORIGLIANO;2016;6;9.8;0;1.6;0;0;0;0;0;40;0;0;0
CORIGLIANO;2016;7;0;0;2.8;0;0.2;0;0;0.2;3.2;9.4;2.4;0
CORIGLIANO;2016;8;0;0;0;4.6;0;0.2;0;0.2;19.4;0;1.2;0
CORIGLIANO;2016;9;0.2;0;0;0.2;0;0.6;0;0;34.8;2.2;4.4;0
CORIGLIANO;2016;10;0.2;0;0.4;6.8;0;0;0;0;34.6;19.8;11.4;0
CORIGLIANO;2016;11;0;2.4;9.8;0;1.4;0;0;0;1.4;9.6;0.2;0.2
CORIGLIANO;2016;12;2.8;6.4;17.6;0;0.2;0;0;0;1;0;13.8;0.2
CORIGLIANO;2016;13;0;0.8;19.6;0;0;0;0;0;0.2;0;0;0
CORIGLIANO;2016;14;0;0;0;0;0;0;0;0;6.6;0;0.2;0
CORIGLIANO;2016;15;0.6;0;0;0;0;0;0;0;0.2;0;1.6;0.4
CORIGLIANO;2016;16;13;0;1.8;0;0;0;2.8;0.2;0.2;0;0;0
CORIGLIANO;2016;17;3.4;0;11.4;0;1;0;0;0;0.4;0.2;0;0
CORIGLIANO;2016;18;3.4;4.4;8;0;0;0;0;0;0;2.6;0;0
CORIGLIANO;2016;19;0.4;1;0.2;0;0;0;0;0;0;13.4;0.4;0.4
CORIGLIANO;2016;20;0.4;0;0;0;25.4;0;0;0;0.2;4.6;13;0
CORIGLIANO;2016;21;0.6;0;0;0;2.2;0;0;0.2;49.6;2;0.2;0
CORIGLIANO;2016;22;0;0;0;0;0;0;0;0;0;0.2;0.2;0
CORIGLIANO;2016;23;0;1.2;4.4;0;0;0;0;0.2;0;14.2;0.4;0.4
CORIGLIANO;2016;24;0;2.2;2.2;0.4;0;0.2;0;0;0;0.4;0.2;0.4
CORIGLIANO;2016;25;0;0.2;0;5.6;0;0;0;0;0;0.4;2.6;0
CORIGLIANO;2016;26;0.2;2.8;0.6;0.2;0;0;0;0;0;0.2;15.6;0.4
CORIGLIANO;2016;27;0.2;0.2;0.2;0;0;0;0;0;0;18.2;17.2;0.6
CORIGLIANO;2016;28;0.2;0;0;0;0;0;0;0;0;14.2;1.2;1.2
CORIGLIANO;2016;29;0.4;0.2;0;0.8;0;0;0;0;0.2;0;0.2;0.2
CORIGLIANO;2016;30;0.2;NA;0;0;0;0;0;0;0;0.2;0;0
CORIGLIANO;2016;31;0.2;NA;0;NA;0;NA;0;0.2;NA;0;NA;0
