stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
DIGA LOCONE;2016;1;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0
DIGA LOCONE;2016;2;NA;NA;NA;NA;NA;NA;0;0;0;10.2;0;0
DIGA LOCONE;2016;3;NA;NA;NA;NA;NA;NA;0;0;0;0;1;0
DIGA LOCONE;2016;4;NA;NA;NA;NA;NA;NA;0;0;0;0;1.2;0
DIGA LOCONE;2016;5;NA;NA;NA;NA;NA;NA;0;0;9.4;0;0;0.2
DIGA LOCONE;2016;6;NA;NA;NA;NA;NA;NA;0.2;26.6;1.2;0;0;0.2
DIGA LOCONE;2016;7;NA;NA;NA;NA;NA;NA;0;10.8;16.4;25.6;27.4;0
DIGA LOCONE;2016;8;NA;NA;NA;NA;NA;NA;0;1;25;0;16.8;0
DIGA LOCONE;2016;9;NA;NA;NA;NA;NA;NA;0;0;0.8;12.2;2;0.2
DIGA LOCONE;2016;10;NA;NA;NA;NA;NA;1.4;0;0;14;0;1;0
DIGA LOCONE;2016;11;NA;NA;NA;NA;NA;0;0;0;16.4;1.4;7.4;0.2
DIGA LOCONE;2016;12;NA;NA;NA;NA;NA;1.2;0;0;0.4;2.8;7.6;0
DIGA LOCONE;2016;13;NA;NA;NA;NA;NA;4.8;0;0;0;0;0;0.2
DIGA LOCONE;2016;14;NA;NA;NA;NA;NA;0;0;0;0;0;1;0
DIGA LOCONE;2016;15;NA;NA;NA;NA;NA;0;6.2;0;0;0;0.4;0
DIGA LOCONE;2016;16;NA;NA;NA;NA;NA;0;2.6;0;0;0;0;0
DIGA LOCONE;2016;17;NA;NA;NA;NA;NA;0;0;0;5.6;0;0;0
DIGA LOCONE;2016;18;NA;NA;NA;NA;NA;0;0;0.2;6;5.8;0;0
DIGA LOCONE;2016;19;NA;NA;NA;NA;NA;1.6;0;0;1.4;0.2;0;0
DIGA LOCONE;2016;20;NA;NA;NA;NA;NA;0;0;0;3.2;0;0;2
DIGA LOCONE;2016;21;NA;NA;NA;NA;NA;0;0;0;4;3.4;0;0
DIGA LOCONE;2016;22;NA;NA;NA;NA;NA;0;0;0;0.4;0;0;0.2
DIGA LOCONE;2016;23;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
DIGA LOCONE;2016;24;NA;NA;NA;NA;NA;0;6.8;0;0;0.2;0;0
DIGA LOCONE;2016;25;NA;NA;NA;NA;NA;0;2.6;0;0;0;3.2;0
DIGA LOCONE;2016;26;NA;NA;NA;NA;NA;0;0;0;0;2;0;0
DIGA LOCONE;2016;27;NA;NA;NA;NA;NA;0;0;0;0;29.4;0.2;0.2
DIGA LOCONE;2016;28;NA;NA;NA;NA;NA;0;11.6;0;0;0;3.8;0
DIGA LOCONE;2016;29;NA;NA;NA;NA;NA;0;0.2;0;0.2;0;0.6;3.6
DIGA LOCONE;2016;30;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
DIGA LOCONE;2016;31;NA;NA;NA;NA;NA;NA;0;50;NA;0.2;NA;0
