stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;1;0;0;7;0;5;0;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;2;0;0;0;0;25.4;0;2.2;0;0;18;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;3;5.4;0;0;0;8.4;7.4;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;4;0;1.8;1.2;0.2;0;0.2;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;5;0.4;0;0;0;0;17;0;0;9;0;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;6;3.2;0;0.2;0;0;0;0.4;6.6;0.2;0.6;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;7;0;0;0.6;0;0;0;0;11.6;18.2;11.2;16.8;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;8;0;0;0;0.2;0;0;0;0;19;0;14.8;0.2
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;9;0;0;20.4;1.8;0;0.8;1.4;0;9;0.2;1;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;10;0;0.6;0.4;11.4;0;2.2;0;0;2.6;0;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;11;0;8.4;0;0;1.4;0;0;0.2;5.6;3;13;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;12;0;0.4;9.6;0;2;0;0;0;0;0;3.4;0.2
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;13;0;1.8;4.8;0;0;3.4;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;14;0;1;3;0;2.8;0;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;15;1.8;5;1.6;0;7.6;0;25.8;0;0;0.4;0;0.8
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;16;1.6;0;3.8;0;0.6;0;3.8;0;9.2;0.2;0;0.2
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;17;0.8;0;15;0;8.8;0;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;18;0;9.4;22;0;0;0;0;5.8;16.2;5.4;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;19;0;0;0;0;0;20.4;0;0;4.6;0.2;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;20;0;0.4;0;0;11;0;0;0;2.4;0;0;3.2
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;21;1.2;0;0;0;0.6;0;0;0;9.4;0;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;22;0;0;0.6;0;0;0;0;0;0.4;0.4;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;23;0.4;0;12.2;3.8;0;0.6;0;0;0;0;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;24;0.6;0;0;0.4;0.4;0;1.4;0;0;0;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;25;0;0;0;4.4;0;0;0;0;0;0.2;0.8;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;26;0;1.2;0;0;0;0;0;0;0;2;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;27;0;0;0;0;0;0;0;0;0;12.2;0;0.2
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;28;0;0.2;0;0;0;0;0;0;0;0;2.4;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;29;0;1;0;0.8;0;0;0;0;0;0;0;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;30;0;NA;0;0;0;0;0;0;0;0;0.2;0
FOGGIA (IST. SPERIM. PER CEREALICOLTURA);2016;31;0.2;NA;0;NA;0;NA;0;4;NA;0;NA;0
