stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
FOGGIA (OSSERVATORIO);2016;1;0;0;6.6;0;7.4;0;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;2;0.2;0;0;0;27.2;0;0.8;0;0;12.4;0;0
FOGGIA (OSSERVATORIO);2016;3;4;0;0;0;10.6;4;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;4;0;1.8;1.4;0;0;0;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;5;0.6;0;0;0;0.2;7.6;0;0;7.4;0;0;0
FOGGIA (OSSERVATORIO);2016;6;1.8;0;0;0;0.2;0;0;19;0;0.2;0;0
FOGGIA (OSSERVATORIO);2016;7;0;0;0.8;0;0;0;0;11.6;23.6;10;14.2;0
FOGGIA (OSSERVATORIO);2016;8;0;0;0;0;0;0;0;0;4.6;0;12.2;0
FOGGIA (OSSERVATORIO);2016;9;0;0;17.6;1.8;0;0.6;0.4;0;8;0;0.6;0
FOGGIA (OSSERVATORIO);2016;10;0;0.2;2.2;9.6;0;4.8;0;0;3;0;0.6;0
FOGGIA (OSSERVATORIO);2016;11;0;9.4;0.2;0;1.4;0;0;1.6;13.4;3.2;11;0
FOGGIA (OSSERVATORIO);2016;12;0;0.6;8;0;2;0;0;0;0.8;0;3.8;0
FOGGIA (OSSERVATORIO);2016;13;0;1.8;4.2;0;0;0;0;0;0.2;0;0;0
FOGGIA (OSSERVATORIO);2016;14;0;0.6;1.4;0;2.6;0;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;15;1;4.6;1.6;0;11.8;0;20.6;0;0;2;0;0.6
FOGGIA (OSSERVATORIO);2016;16;1.4;0;0.8;0;0.6;0;2;0;10;0;0;0.2
FOGGIA (OSSERVATORIO);2016;17;0.6;0;16.4;0;6;0;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;18;0;8.4;18.4;0;0;0;0;9.6;12.6;5.2;0;0
FOGGIA (OSSERVATORIO);2016;19;0;0;0;0;0;13.4;0;0;4;0;0;0
FOGGIA (OSSERVATORIO);2016;20;0;1.2;0;0;12;0;0;0;3.8;0;0;4.6
FOGGIA (OSSERVATORIO);2016;21;1;0;0;0;0.4;0;0;0;11.2;0;0.2;0
FOGGIA (OSSERVATORIO);2016;22;0;0;0.8;0;0;0;0;0;0;0.2;0.2;0
FOGGIA (OSSERVATORIO);2016;23;0.2;0;12.6;4.6;0;0.6;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;24;1.2;0;0.2;0.2;0;0;1;0;0;0;0.2;0
FOGGIA (OSSERVATORIO);2016;25;0;0;0;4.4;0;0;0;0;0;0.2;1;0
FOGGIA (OSSERVATORIO);2016;26;0;1.4;0;0;0;0;0;0;0;2;0;0
FOGGIA (OSSERVATORIO);2016;27;0;0;0;0;0;0;0;0;0;11.4;0;2.4
FOGGIA (OSSERVATORIO);2016;28;0;0;0;0;0;0;0;0;0;0;4;0
FOGGIA (OSSERVATORIO);2016;29;0;0.6;0;0.8;0;0;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
FOGGIA (OSSERVATORIO);2016;31;0;NA;0;NA;0;NA;0;3.6;NA;0;NA;0
