stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
FORENZA;2016;1;0;0;2.6;0;1.6;0.2;0;0;0.4;0.4;0;0
FORENZA;2016;2;0;0;0;0.2;12.4;0;2.8;0;0;5;0;0
FORENZA;2016;3;6.8;0;2.2;0.2;14.8;2.2;0;0;0;0;0.6;0
FORENZA;2016;4;3;1.4;0.2;0;1;0;0;0;0;0.6;0;0.2
FORENZA;2016;5;0.6;0;0;0;11;1.4;0;0;3.4;0;0;0
FORENZA;2016;6;1;0;0.6;0;0;0.6;21.2;17.2;1.4;0.2;0;0
FORENZA;2016;7;0.2;0;0;0;0;8.6;0;18.8;2.6;24.6;24;0.2
FORENZA;2016;8;0;0;0;13;0;2;0;0.8;15.6;0.2;10.6;0.2
FORENZA;2016;9;0;0;3.4;8.4;0;0;0.4;0;1.2;1.4;1.6;0
FORENZA;2016;10;0;7.4;4.2;8.6;0;2;0;0;8.8;1.4;4.2;0
FORENZA;2016;11;0;4.6;4.4;0;2.6;0;0.2;1.8;18.8;2.8;7;0
FORENZA;2016;12;0;0.2;40.4;0;0.6;0;0;0;1;2.8;5.2;4
FORENZA;2016;13;1;5.8;11;0;0;16.8;0;0;1.6;0;0;0
FORENZA;2016;14;0;2;8.4;0;2;0;0;0;0;0.2;4.4;0.2
FORENZA;2016;15;1.6;14.4;2.2;0;0;0;14.6;0;0;1;3;0
FORENZA;2016;16;2.4;0;5.2;0;6.6;0.4;7.4;0;0;0;0.2;0.2
FORENZA;2016;17;0.2;0.2;28.4;0;7.4;0;0;0;3.4;0.2;0.2;0
FORENZA;2016;18;0;10.2;4.6;0;0.2;0;0;18.4;6.2;2;0;0.2
FORENZA;2016;19;0;0;0;0;0;0.2;0;1.6;4.6;0.2;0.2;0
FORENZA;2016;20;0;0.2;0;0;12;0;0;0;1.8;0;0.2;2.2
FORENZA;2016;21;0.8;0;0;0;5.2;0;0;0;4.4;4.2;0.4;0
FORENZA;2016;22;0;0;3.6;0;0;0;0;0;0;0;0.2;0.2
FORENZA;2016;23;0;0;12.4;3.2;0;2.4;0;0;0.2;0.6;0.2;0.2
FORENZA;2016;24;1;0;7.6;4.4;0.8;0;8.6;0;0;0;0.2;0
FORENZA;2016;25;0;0;0.2;9.8;0;0;0.8;0;0;0;6.4;0
FORENZA;2016;26;0;0;0;0;0;0;0.2;0;0;0.6;0;0
FORENZA;2016;27;0;0;0;0;0;0;0;0;0.2;23.8;0.6;3
FORENZA;2016;28;0;0;0;0.8;0;0;0;0;0;0;10.6;0.2
FORENZA;2016;29;0.2;0.2;0;0;0;0;0;0;0;0;0.4;0
FORENZA;2016;30;0.2;NA;0;0.2;0;0;0;0;0;0;0;0
FORENZA;2016;31;0.2;NA;0;NA;0;NA;0;5.4;NA;0;NA;0
