stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GALATINA;2016;1;0;0;0;0;2.2;0;0;0;54.8;0;0;0
GALATINA;2016;2;0;0;0;0;33;0;0;0;0;1;0;0
GALATINA;2016;3;4.6;0;6;0.2;8.6;0;0;0;0;0;0;0
GALATINA;2016;4;2.4;1;0;0;1.4;1.2;0;0;0;0;0.2;0
GALATINA;2016;5;2.4;0;0;0;0;0;0;0;0;0;0;0
GALATINA;2016;6;7;0;0.4;0;0;0;0;0;31;0.2;0;0
GALATINA;2016;7;0;0;0.8;0;0.2;0;0;0.6;2.8;5.4;1.2;0
GALATINA;2016;8;0;0;0;7;0;0;0;0;14.2;0;7.2;0
GALATINA;2016;9;0;0;0;0.2;0;0.4;0;0;23;14;2.6;0
GALATINA;2016;10;0;0;0;5.6;0;0;0;0;27;6.6;7;0
GALATINA;2016;11;0;1.8;10.8;0;0.8;0;0;0;5.8;5.6;0;0
GALATINA;2016;12;1.2;4.2;19.6;0;0.2;0;0;0;0.8;0;9.2;0
GALATINA;2016;13;0;0.6;16;0;0;0;0;0;0.2;0;0;0
GALATINA;2016;14;0;0;0;0;0;0;0;0;1.2;0;0;0
GALATINA;2016;15;0.2;0;0;0;0;0;0;0;0;0;1.6;0.8
GALATINA;2016;16;12;0;4;0;0.2;0;3.2;0;0;0.4;0;0
GALATINA;2016;17;0.4;0;11.6;0;0.2;0;0;0;0.4;0;0;0
GALATINA;2016;18;0.6;5.8;10;0;0.2;0;0;0;0;14.8;0;0
GALATINA;2016;19;0;0.4;0.2;0;0;0;0;0;0;6.8;1.2;0
GALATINA;2016;20;0;0;0;0;19.8;0;0;0;0;7.2;18.8;0
GALATINA;2016;21;0.6;0;0.2;0;6.8;0;0;0;15;5.2;0.2;0
GALATINA;2016;22;0.2;0;0;0;0;0;0;0;1.2;0;0.2;0
GALATINA;2016;23;0;1;3.6;0;0;0;0;0;0;14.6;0.2;0
GALATINA;2016;24;0;1.2;2;0.6;0;0;0;0;0;0.2;0.4;0.2
GALATINA;2016;25;0;0;0;4.2;0;0;0;0;0;0.4;0.4;0
GALATINA;2016;26;0;0.4;0.8;0;0;0;0;0;0;0;16.6;0.2
GALATINA;2016;27;0;0;0;0;0;0;0;0;0;16.6;33.6;0.6
GALATINA;2016;28;0;0;0;0;0;0;0;0;0;13.2;0.2;0.2
GALATINA;2016;29;0.2;0.4;0;1;0;0;0;0;0;0;0.6;0.2
GALATINA;2016;30;0.2;NA;0.2;0;0;0;0;0;0;0;0;0
GALATINA;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
