stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
GIOIA DEL COLLE;2016;1;0;0;0;0;4.6;0;0;0;0.6;0;0;0
GIOIA DEL COLLE;2016;2;0.2;0;0;0;20.8;3.8;0;0;0;0;0;0
GIOIA DEL COLLE;2016;3;12.4;0.4;2.8;0;3.8;0.6;0;0;0;0;0;0
GIOIA DEL COLLE;2016;4;2.6;1.4;0.8;0;0.4;0;0;0;0;0;0;0
GIOIA DEL COLLE;2016;5;1.4;0;0;0;0;12.2;0;0;4.2;0;0;0.2
GIOIA DEL COLLE;2016;6;4;0;19.4;0;0;0;18;20.4;4.6;0;0;0.2
GIOIA DEL COLLE;2016;7;0.6;0;0;0;0;0;0;12.4;9.6;15.8;14;0
GIOIA DEL COLLE;2016;8;0.8;1;0;11;0;0;0;0;18;0;9.4;0
GIOIA DEL COLLE;2016;9;0.2;0.2;0;1;0;0;0;0;30.8;0.8;0;0
GIOIA DEL COLLE;2016;10;0;4;2;8.8;0;0.8;0;0;12.8;0.4;0.4;0.2
GIOIA DEL COLLE;2016;11;0;8.8;3.4;0;2.6;0;0;2.6;24.6;2;0;0.2
GIOIA DEL COLLE;2016;12;0.8;5.2;6.8;0;1;4.6;0;0.2;0.6;3.4;6;1.8
GIOIA DEL COLLE;2016;13;0;2.2;2.2;0;0;7.6;0;0;5.8;0;0;0
GIOIA DEL COLLE;2016;14;0;0;0;0;6;7.6;0;0;0;0;0.2;0
GIOIA DEL COLLE;2016;15;0.2;0;2;0;0.6;0;0;0;0;0;4.8;0
GIOIA DEL COLLE;2016;16;6.2;0;5.8;0;0.2;0;5.2;0;0;0;0;0
GIOIA DEL COLLE;2016;17;2.2;0;12;0;6.4;0;0;0.4;0;0.2;0;0
GIOIA DEL COLLE;2016;18;5.8;14.8;34.8;0;0;0;0;0;4;14;0;0
GIOIA DEL COLLE;2016;19;0.4;0;0;0;0;2.2;0;0;0.2;0.2;0.2;0
GIOIA DEL COLLE;2016;20;0;0;0;0;29;0;0;0;0;3.4;0;1
GIOIA DEL COLLE;2016;21;0.6;0;0;0;5.8;0;0;0;11.4;5.2;0.2;0
GIOIA DEL COLLE;2016;22;0.2;0;0.8;0;0;0;0;0;0;0;2.2;0
GIOIA DEL COLLE;2016;23;0;0.2;3.8;0.4;0;0;0;0.6;0;0;0;0
GIOIA DEL COLLE;2016;24;1.2;0;1.4;0.2;1.2;0;0;0;0;0.2;0;0
GIOIA DEL COLLE;2016;25;0;0.2;0;5.8;0.2;0;0.2;0;0;0.2;6.6;0
GIOIA DEL COLLE;2016;26;0;1.4;1;0;0;0;0;0;0;0.4;0.2;0
GIOIA DEL COLLE;2016;27;0;0;0.2;0;0;0;0;0;0;2.6;0;2.2
GIOIA DEL COLLE;2016;28;0;0;0;0.6;0;0;1.4;0;0;0;1.4;3.2
GIOIA DEL COLLE;2016;29;0;1.4;0;0.4;0;0;0;0;0;0;0.4;0.2
GIOIA DEL COLLE;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0.2
GIOIA DEL COLLE;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
