stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LAGOPESOLE;2016;1;0;0;7.2;0;4.2;0;0;0;10.2;0;0.2;0
LAGOPESOLE;2016;2;0.2;0.2;0;0.2;14.2;0;0;0;0;5.4;0;0
LAGOPESOLE;2016;3;10.8;0;5.6;0;26.2;15;0;0;0;0.2;0.2;0
LAGOPESOLE;2016;4;1.2;5.6;0;0;1.2;0;0;0;0;2.8;0;0
LAGOPESOLE;2016;5;1.4;0;0;0;6.6;5.2;0;0;2.6;0.2;0;0
LAGOPESOLE;2016;6;2.8;0;3;0;0.2;2.4;39.6;30;2;0.6;0;0
LAGOPESOLE;2016;7;0.2;0;0.2;0;0;1.2;0;21.4;1.8;33.2;32.4;1
LAGOPESOLE;2016;8;0;0;0;12.6;0;0;0;6.4;13.4;0;15.8;0
LAGOPESOLE;2016;9;0;0;0.6;11.2;0;0;0;0;15.6;3.4;2;0
LAGOPESOLE;2016;10;0.4;14.2;0;8.4;0;0.8;0;0;5.4;2.6;6;0
LAGOPESOLE;2016;11;0.2;9.6;2.2;0;2.8;0;2.6;4.6;51;3.2;19.2;0
LAGOPESOLE;2016;12;1.2;0.2;55.8;0;0.2;0;0;0;5;2.8;9.2;1.6
LAGOPESOLE;2016;13;1.2;8.2;11.8;0;0;40.4;0;0;1.6;0;0;0
LAGOPESOLE;2016;14;0;10.4;1.4;0;4.2;0;0;0;4.6;0;5.8;0
LAGOPESOLE;2016;15;2.2;19.8;3.2;0;0;0;10.2;0;0.2;2.8;3.8;0
LAGOPESOLE;2016;16;9.6;0;12;0;11.8;0.4;17.2;0;0;0;0.2;0
LAGOPESOLE;2016;17;8.8;0;23.4;0;11.4;0;0;0;6;0.2;0.2;0
LAGOPESOLE;2016;18;1;16;9;0;0.2;0;0;2.4;8.8;1.8;0;0.2
LAGOPESOLE;2016;19;0;0;0.2;0;0;3;0;1.2;9.8;0.2;0.2;0
LAGOPESOLE;2016;20;0;0.8;0;0;11.8;0;0;0.2;1.2;0;2.8;3.2
LAGOPESOLE;2016;21;2;0;0;0;10;0;0;0;24.2;2.2;0.2;0
LAGOPESOLE;2016;22;0.8;0;4.2;0;0;0;0;0;2.8;0.2;0.2;0.2
LAGOPESOLE;2016;23;0;0;18.8;5.4;0;34;0;0;0.2;0.4;0.2;0
LAGOPESOLE;2016;24;5.4;0;16.2;16.2;2.8;0;5.2;0;0;0.2;0.2;0
LAGOPESOLE;2016;25;0;0;0;19.4;0;0;4;0;0.2;0;6;0
LAGOPESOLE;2016;26;0;0.8;0;0;0;8.8;0;0;0.2;1.4;0;0.2
LAGOPESOLE;2016;27;0;0;0;0;0;0;0.2;0;0;22.4;0.4;1
LAGOPESOLE;2016;28;0;0;0;0;0;0;0.2;0;0.2;0;4.4;1.8
LAGOPESOLE;2016;29;0.2;1.2;0;0.2;0;0;0;0;0;0;0.2;1.6
LAGOPESOLE;2016;30;0;NA;0;0;0;0;0;0;0.2;0;0;0
LAGOPESOLE;2016;31;0;NA;0;NA;0;NA;0;10.6;NA;0;NA;0
