stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LATERZA;2016;1;0;0;0;0.2;6.4;0;0;0.2;5.8;0;0;0
LATERZA;2016;2;0.4;0;0;0;16.4;1.4;0;0;0;0;0;0
LATERZA;2016;3;10.8;0.2;1.6;0;8.2;2.2;0;0;0;0;0;0
LATERZA;2016;4;2.4;0.2;0.2;0;1.8;0;0;0;0;0;0;0
LATERZA;2016;5;5.6;0;0;0;0;1.6;0;0;0.2;0;0.2;0
LATERZA;2016;6;2.2;0;9;0;0;1.8;17.6;0;0.4;0;0;0.2
LATERZA;2016;7;0.2;0;0;0;0;0;0;31.2;14;14.2;9.2;0
LATERZA;2016;8;0;0;0;1.6;0;0;0;0;37.2;0;11.6;0
LATERZA;2016;9;0.2;0;0;0.8;0;0;0;0;66.4;2.4;0;0
LATERZA;2016;10;0;5.6;2.6;9.4;0;0;0;0;0.4;4.2;0;0.2
LATERZA;2016;11;0;6.4;3;0;0.4;0;0;28.4;13.2;0;0;0.2
LATERZA;2016;12;0.2;7.4;30.6;0;0.4;3.8;0;0;4.2;2.2;7.6;0.2
LATERZA;2016;13;0.2;4;2.2;0;0;22.6;0;0;3.4;0;0;0
LATERZA;2016;14;0;0;0;0;2.2;0;0;0;0;0.2;0.4;0
LATERZA;2016;15;0.6;0;1.8;0;0.2;0;0;0;0.2;0;6.4;0.2
LATERZA;2016;16;4.2;0.2;2.4;0;9;0.2;1;0;0;0.2;0;0
LATERZA;2016;17;7.4;0;51.4;0;61.8;0;0;19.4;0.2;0;0;0
LATERZA;2016;18;5.6;16.2;3.6;0;0;0;0;25.4;0.6;4.8;0;0
LATERZA;2016;19;0.2;0;0;0;0;1.6;0;0;3.6;0;0;0
LATERZA;2016;20;0;0;0;0;18.8;0;0;0;0;0.2;1.6;6
LATERZA;2016;21;0;0;0;0;1.6;0;0;0;17;4.6;1.4;0
LATERZA;2016;22;0;0;2.6;0;0;0;0;0;0;0;0;0
LATERZA;2016;23;0;0.4;7.8;0;0;0;0;0.2;0;0;1.4;0
LATERZA;2016;24;0.4;0;1.8;1.2;0.4;0;0;0;0;0.2;0.2;0
LATERZA;2016;25;0;0;0;1.4;0;0;0;0;0;0.2;4.4;0
LATERZA;2016;26;0;4.8;0;0;0;2.2;0;0;0;0;0.2;0
LATERZA;2016;27;0;0.2;0;0;0;0;0;0;0;1.8;0.2;3
LATERZA;2016;28;0;0.2;0;0.2;0;0;0.4;0;0;0;4;1.6
LATERZA;2016;29;0;0;0;0.4;0;0;0;0;0;0;0;1.4
LATERZA;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0.6
LATERZA;2016;31;0;NA;0.2;NA;0;NA;0;0;NA;0;NA;0
