stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LESINA;2016;1;0;0;1.6;0;1.2;0.4;0;0;0;0;0;0
LESINA;2016;2;0;0;0;0;26.2;0;0;0.8;0;14.2;0;0
LESINA;2016;3;3;0;0.6;0;4.6;0;0;0;0;0;0.8;0
LESINA;2016;4;0.2;4.6;12.2;0;0;0;0;0;0;0.6;0;0
LESINA;2016;5;0.4;0;0;0;0;0;0;0;6.2;0;0.2;0
LESINA;2016;6;0;0;2;0;0;0;0;5.4;0;0.6;0;0
LESINA;2016;7;0;0;0;0.2;0;0;0;0.6;23.2;12.6;3.2;3.2
LESINA;2016;8;0;0;0;0;0;0;0;0;3;0;51;0
LESINA;2016;9;0;0;1.4;1.4;0;4.6;0;0;9.6;0;13.6;0
LESINA;2016;10;0;0;2.2;7.6;0;0;0;0;11;1.8;0.8;0
LESINA;2016;11;0;4.6;0.4;0;0.6;0;0;0;15.4;9.6;4.8;0
LESINA;2016;12;0;0.6;3.6;0;6.6;11.8;0;0;8;5;14.8;7.8
LESINA;2016;13;0;1.4;7;0;0;2.4;0;0;0;0;0;0
LESINA;2016;14;0;0;0.4;0;10;1.8;0;0;0;0;0;0
LESINA;2016;15;3.6;1.2;3.8;0;10.6;0;18.6;0;0;2.2;0.2;0.6
LESINA;2016;16;2;0;3;0;0.8;0;4.2;0;6;0.2;0;0
LESINA;2016;17;0;0;9.6;0;1.2;0;0;0;0;0;0;0
LESINA;2016;18;0;6.2;14.2;0;0;1.2;0;0.6;1.8;4.4;0;0
LESINA;2016;19;0;0;0;0;0;75.2;0;0;24.6;0;0;0
LESINA;2016;20;0;13.4;0;0;4;0;0;0;1.4;0;0;1.8
LESINA;2016;21;3.2;0;0;0;0;0;0;0;3.2;1.6;0;0
LESINA;2016;22;1.8;0;1.2;0;0;0;0;0;5;0.2;0;0
LESINA;2016;23;0.4;0;14.2;4.6;0;0.2;0;0.8;0;0;0;0
LESINA;2016;24;0.2;0;0;0.8;0;0;0;0;0;0;0;0
LESINA;2016;25;0;0;0;4.6;0;0;0;0;0;0;3.4;0
LESINA;2016;26;0;12.4;0.2;0;0;0;0;0;0;9.8;0.2;0
LESINA;2016;27;0;0.2;0;0;0;0;0;0;0;15.4;0;0
LESINA;2016;28;0;0;0;0;0;0;0;0;0;0;4.8;0
LESINA;2016;29;0;5.2;0;0;0;0;0;0;0;0;0;0
LESINA;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
LESINA;2016;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
