stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
LOCOROTONDO;2016;1;0;0;0.2;0;3.4;0;0;0.2;3.2;0;0;0
LOCOROTONDO;2016;2;0.6;0;0.2;0.2;19.8;2;0;0;0.2;0;0;0
LOCOROTONDO;2016;3;8.4;0;0.4;0;0.2;6.2;0;0;0;0;0;0
LOCOROTONDO;2016;4;2.6;2.4;0.4;0;0.2;0;0;0;0;0.4;0;0
LOCOROTONDO;2016;5;0.4;0;0;0;0;3.2;0;0;0.6;0;0.4;0.2
LOCOROTONDO;2016;6;2;0;8.4;0;0;0;7;21.8;9.8;0;0;0.4
LOCOROTONDO;2016;7;0.8;0;1.8;0;0;0;0;12.4;5;9;9.6;0.2
LOCOROTONDO;2016;8;0.2;3.4;0;0;0;0;0;0;27.6;0;16.6;0
LOCOROTONDO;2016;9;0;0.4;0;0;0;0;0;0;35;0.2;0.2;0
LOCOROTONDO;2016;10;0.8;3;10;6;0;0;0;0;15;0.4;0.8;0.4
LOCOROTONDO;2016;11;0;5.8;0.2;0;1;0;0;6.4;21;1.8;0;0.2
LOCOROTONDO;2016;12;1.4;2.8;6.4;0;5.2;0;0;0;0.6;3.6;2;4.4
LOCOROTONDO;2016;13;0.4;3.6;2.4;0;0;15.8;0;0;0.4;0;0;0
LOCOROTONDO;2016;14;0;0.2;7;0;0.2;4;0;0;1.4;0;0;0
LOCOROTONDO;2016;15;0.2;0;0.2;0;0;0;1.2;0;0.2;0;3;0.6
LOCOROTONDO;2016;16;7.6;0;2.8;0;0;0;4.4;0;0;0;0;0
LOCOROTONDO;2016;17;0.4;0;6.6;0;15.4;0;0;0.2;0;0.2;0;0
LOCOROTONDO;2016;18;6.4;17.8;30.8;0;0.2;0;0;0.2;2.4;4.4;0.2;0
LOCOROTONDO;2016;19;1.2;0;0;0;0;0.8;0;0;2;0.2;0.2;0.2
LOCOROTONDO;2016;20;0;1;0;0;21.2;0;0;0;1;17.2;0;0
LOCOROTONDO;2016;21;0;0;0;0;11.4;0;0;0;5.2;12;1.2;0
LOCOROTONDO;2016;22;0.4;0;0.6;0;0;0;0;0;0;0;0.2;0
LOCOROTONDO;2016;23;0;0.6;9.2;2.6;0;0;0;0.2;0;0.2;0;0
LOCOROTONDO;2016;24;3.8;0;1.2;0.2;0.2;0;0;0;0;0.2;0;0
LOCOROTONDO;2016;25;0;0;0;3.2;0;0;0;0;0;0.2;7.6;0
LOCOROTONDO;2016;26;0;0.2;0;0;0;0;0;0;0;0.4;2.2;0
LOCOROTONDO;2016;27;0;0;0;0;0;2.4;0;0;0;3;0.2;4.8
LOCOROTONDO;2016;28;0;0.8;0;0;0;0;0;0;0.2;1;9;3.2
LOCOROTONDO;2016;29;0;0;0;0.2;0;0;0;0;0;0;2.4;0.6
LOCOROTONDO;2016;30;0;NA;0;0.2;0;0;0;0;0;0;0;3.6
LOCOROTONDO;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;1
