stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MASSERIA MONTERUGA;2016;1;0;0;2.8;0;4.8;0;0;0;94;0;0;0
MASSERIA MONTERUGA;2016;2;0.2;0;0;0.2;52;0;0;0;0;0;0;0
MASSERIA MONTERUGA;2016;3;3.6;0;4.6;0.4;3.6;2;0;0;0;0;0;0
MASSERIA MONTERUGA;2016;4;2.6;1.2;0;0;0.2;5.8;0;0;0;0;0;0
MASSERIA MONTERUGA;2016;5;1.8;0;0;0.4;0;0;0;0;1.8;0;0.2;0
MASSERIA MONTERUGA;2016;6;10;0;5.8;0.2;0;0;0;0;5.2;0;0;0
MASSERIA MONTERUGA;2016;7;0;0;1.8;0;0;0;0;3.6;1.2;8.2;1;0
MASSERIA MONTERUGA;2016;8;0;0;0;8.6;0.2;0;0;0;29.6;0;4.6;0
MASSERIA MONTERUGA;2016;9;0;0;0;0;0.2;0;0;0;31.2;15.6;0.4;0
MASSERIA MONTERUGA;2016;10;0.2;0.2;0.2;2.8;0;0;0;0;2;0.2;2.2;0
MASSERIA MONTERUGA;2016;11;0.2;3.4;1.4;0;1.6;0;0;1.4;0.4;3.8;0;0
MASSERIA MONTERUGA;2016;12;0;3.6;9.6;0;0.2;0;0;0;46.6;1;2.8;0
MASSERIA MONTERUGA;2016;13;0;0.6;3;0;0;5.8;0;0;5.4;0;0;0
MASSERIA MONTERUGA;2016;14;0;0;0;0;0;0;0;0;0.4;0;0;0
MASSERIA MONTERUGA;2016;15;0;0.2;6.4;0.2;0.4;0;0;0;0;0;1.6;0
MASSERIA MONTERUGA;2016;16;12.2;0;16.4;0;8.8;0;1.4;0;0.2;0.2;0;0
MASSERIA MONTERUGA;2016;17;0.2;0;11.2;0;2;0;0;0;0.2;0;0;0
MASSERIA MONTERUGA;2016;18;0;7;11.4;0;0;0;0;0;0;16.8;0;0
MASSERIA MONTERUGA;2016;19;0;0.2;0.2;0;0;1;0;0;0.2;0.6;15.6;0
MASSERIA MONTERUGA;2016;20;0;0;0;0;5;0;0;0;0;16.4;3.4;0
MASSERIA MONTERUGA;2016;21;0.2;0;0;0;0.6;0;0;0;0.2;10.6;0;0
MASSERIA MONTERUGA;2016;22;0;0;0;0.4;0;0;0;2.4;0;0;0.2;0
MASSERIA MONTERUGA;2016;23;0;1.8;1.2;0;0;0;0;0;0;23.6;0;0
MASSERIA MONTERUGA;2016;24;0.2;0.8;4;0;0;0;0;0;0;0.2;0.2;0
MASSERIA MONTERUGA;2016;25;0;0;0;29.4;0;0;0;0;0;0.4;32.6;0
MASSERIA MONTERUGA;2016;26;0;0.2;0;0;0;0;0;0;0;0;7.6;0
MASSERIA MONTERUGA;2016;27;0.2;0;0;0;0;0;0;0;0;11;6.4;1.4
MASSERIA MONTERUGA;2016;28;0;0;0;0;0;0;0;0;0;9.8;0.6;0.2
MASSERIA MONTERUGA;2016;29;0.2;0;0;0.2;0;0;0;0;0;0;0.4;0.4
MASSERIA MONTERUGA;2016;30;0;NA;0;0;0;0;0;0;0;0;0;0
MASSERIA MONTERUGA;2016;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
