stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MELENDUGNO;2016;1;0;0;0;0;1.2;0.2;0;0;0.4;0;0;0
MELENDUGNO;2016;2;0.2;0;0;0;21.4;0;0;0;0;0;0;0
MELENDUGNO;2016;3;1.4;0;2;0.2;1.2;0;0;0;0;0;0;0
MELENDUGNO;2016;4;2.2;0;0;0.2;0.2;0;0;0;0;0;0.2;0
MELENDUGNO;2016;5;2.8;0;0;0;0;0.2;0;0;0;0;0.2;0
MELENDUGNO;2016;6;6;0;0.4;0;0;0;0;0;17.6;0;0;0
MELENDUGNO;2016;7;0;0;0.4;0;0;0;0;1;2.6;7.6;1.4;0
MELENDUGNO;2016;8;0;0;0;1.8;0;0;0;0;20.6;0;7.2;0
MELENDUGNO;2016;9;0;0;0;0;0;0;0;0;13;0.4;5.6;0
MELENDUGNO;2016;10;0.2;0;0;12.8;0;0;0;0;36.6;7.8;3.2;0
MELENDUGNO;2016;11;0;1.8;5.8;0;1;0;0;0;0.2;4.6;0;0
MELENDUGNO;2016;12;0.2;4.6;14.4;0;0.2;0;0;0;0;1.4;6.6;2.2
MELENDUGNO;2016;13;0;1;2.6;0;0;0.8;0;0;0;0;0;0
MELENDUGNO;2016;14;0;0;0;0;0;0;0;0;0;0;0;0
MELENDUGNO;2016;15;0;0;3.2;0;0;0;0;0;0;0;0.8;2
MELENDUGNO;2016;16;12;0;1.2;0;0;0;0.6;0;0;0.4;0;0
MELENDUGNO;2016;17;1;0;7;0;2;0;0;0;0.6;0;0;0
MELENDUGNO;2016;18;3.8;4.4;4.4;0;0;0;0;0;0;5.4;0;0
MELENDUGNO;2016;19;0.2;0.4;0.2;0;0;0;0;0;2.6;4.8;0;0
MELENDUGNO;2016;20;0.2;0.2;0;0;17.4;0;0;0;0;4.6;2.6;0
MELENDUGNO;2016;21;0.4;0;0.2;0;3.2;0;0;0;0.4;2.8;0;0
MELENDUGNO;2016;22;1.8;0;0;0;0;0;0;0;0;0;0.2;0
MELENDUGNO;2016;23;0;0.2;2.8;0;0;0;0;0.2;0;3.4;0.2;0
MELENDUGNO;2016;24;0;2;1.2;0.4;0;1.6;0;0;0;0.2;0.2;0
MELENDUGNO;2016;25;0;0.2;0;6.8;0;0;0;0;0;0.2;4.8;0.2
MELENDUGNO;2016;26;0;0.4;0;0;0;0;0;0;0;0.4;8.4;0
MELENDUGNO;2016;27;0;0;0.8;0;0;0;0;0;0;24;19;0
MELENDUGNO;2016;28;0.2;0;0;0;0;0;0;0;0;9.6;3;0.2
MELENDUGNO;2016;29;0.2;0.2;0;0;0;0;0;0;0;0;0;0
MELENDUGNO;2016;30;0.2;NA;0.2;0;0;0;0;0;0;0;0;0
MELENDUGNO;2016;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
